Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
0.0,0.0,3.039588134434213e-09,0.0,0.0018614790575127,0.0052452396561035,0.0097492516501214,0.0,3.03958813443e-09,0.0070969548098447285,0.0097492516501214,0.016777019450168327
59.0,0.0,2.3669229316963646e-09,0.0,0.00151390293253905,0.0042609702642903,0.00790753713312425,0.0,2.3669229317e-09,0.00576842250145078,0.00790753713312425,0.013630347954106215
120.0,0.0,1.8930374414928266e-09,0.0,0.0014486012443771501,0.0040624363463412,0.0075020754390246495,0.0,1.89303744149e-09,0.005505152740371836,0.007502075439024649,0.012965929976727315
179.0,0.0,2.328973500334103e-09,0.0,0.0022024983362437,0.006152223058702049,0.01130074650320025,0.0,2.32897350033e-09,0.008341171133894758,0.01130074650320025,0.019547658460018578
240.0,0.0,3.0728498378831856e-09,0.0,0.00376659857542825,0.010451159001786302,0.0190275244593415,0.0,3.07284983788e-09,0.014178392256606848,0.0190275244593415,0.032936139982133655
299.0,0.0,4.256135839368643e-09,0.0,0.0068329882483169485,0.0187452318220202,0.0336218492728955,0.0,4.25613583937e-09,0.025450134121585307,0.0336218492728955,0.05821630682942925
360.0,0.0,6.260305063233545e-09,0.0,0.013151435261808299,0.03530446061121345,0.0615568596948658,0.0,6.26030506323e-09,0.04799159154484031,0.06155685969486581,0.1065942451654397
419.0,0.0,9.422150514900451e-09,0.0,0.024752963548433402,0.0638814836991106,0.10585804819041889,0.0,9.4221505149e-09,0.08705319121012009,0.10585804819041889,0.18369596618162787
480.0,0.0,1.4615109592889874e-08,0.0,0.045190492255669554,0.10828164619120739,0.16324593829964998,0.0,1.461510959289e-08,0.14857883755324205,0.16324593829964998,0.287569894517286
540.0,0.0,2.260060236905294e-08,0.0,0.07501324570273114,0.15844409502847057,0.20415961427020385,0.0,2.260060236905e-08,0.22157193490068414,0.20415961427020388,0.38049552240963624
599.0,0.0,3.384464396035666e-08,0.0,0.10880430380090483,0.18745070058044488,0.18856158561549824,0.0,3.384464396036e-08,0.2758595614077025,0.18856158561549824,0.4124046506039245
660.0,0.0,5.097338619760197e-08,0.0,0.14061774570080432,0.1773237944732633,0.12348615624533504,0.0,5.09733861976e-08,0.2930066679361246,0.12348615624533504,0.3803105885914436
719.0,0.0,7.29866716654284e-08,0.0,0.15336469446560688,0.12590029632752014,0.05310631180550934,0.0,7.298667166543e-08,0.25995633031372756,0.05310631180550934,0.299257371330656
780.0,0.0,1.0218382452734458e-07,0.0,0.1423409379211421,0.06446940494100317,0.0134889736191382,0.0,1.0218382452734e-07,0.19763370729562496,0.013488973619138202,0.20845688593371092
839.0,0.0,1.3683828505575745e-07,0.0,0.11329359204734468,0.024567149228419904,0.002115723443000983,0.0,1.3683828505576e-07,0.13507744069331376,0.002115723443000983,0.13690749573253364
900.0,0.0,1.789734738406851e-07,0.0,0.07682910870224974,0.006526654598517978,0.00017680861277280524,0.0,1.7897347384069e-07,0.08285432624515614,0.00017680861277280524,0.08301664961516834
959.0,0.0,2.2506860691260263e-07,0.0,0.0461275084834738,0.0013359736073844664,9.350000384211743e-06,0.0,2.250686069126e-07,0.04740185695694994,9.35000038421174e-06,0.04741097814788575
1020.0,0.0,2.771128932401551e-07,0.0,0.024076068796313188,0.00019403897474923326,2.6608882330858563e-07,0.0,2.7711289324016e-07,0.02426543607535719,2.6608882330859e-07,0.02426596609597526
1080.0,0.0,3.3232766963153503e-07,0.0,0.011618523219988075,2.3396679737497372e-05,5.417087778347707e-09,0.0,3.3232766963154e-07,0.011641648064858772,5.41708777835e-09,0.011641981877708806
1139.0,0.0,3.7827542219292206e-07,0.0,0.004947745951838722,2.0921145575947264e-06,6.408368280474974e-11,0.0,3.7827542219292e-07,0.0049498277151449836,6.40836828e-11,0.004950204181935464
1200.0,0.0,4.296402053350081e-07,0.0,0.00199930727446912,1.6100003102925697e-07,5.768163724440001e-13,0.0,4.2964020533501e-07,0.001999467952611616,5.7681637e-13,0.001999896734340792
1259.0,0.0,4.6940483290723016e-07,0.0,0.0007670568094198527,1.0993108201517998e-08,4.218847493575595e-15,0.0,4.6940483290723e-07,0.0007670677940957158,4.21885e-15,0.000767536838867509
1320.0,0.0,5.008532153731095e-07,0.0,0.0002696343490132258,5.963962657062893e-10,0.0,0.0,5.0085321537311e-07,0.0002696349452486826,0.0,0.0002701356634165264
