Time (s),MCU_SEL,REG_DSEE,SRAM_SEL,REG_SET,MCU_SEFI,SRAM_TID,MCU_TID,REG_TID,WDT_TID
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.001861479057512793,3.039588134434213e-09,0.009749251650121497,0.013226126735121798,0.0052452396561035635,0.0,0.0,0.0,0.0
120.0,0.0030278058650781195,4.733845863392729e-09,0.015815074266248553,0.021433621546406843,0.008521940528580697,0.0,0.0,0.0,0.0
179.0,0.00475868154626702,6.825663017419866e-09,0.024753402528170723,0.033499241787752425,0.013370112348785972,0.0,0.0,0.0,0.0
240.0,0.0074328025375655,9.391792864060935e-09,0.038416567272649076,0.051874735683584784,0.020826386645984716,0.0,0.0,0.0,0.0
299.0,0.012291878697123518,1.2971362693186238e-08,0.06280845144685375,0.08446356444420014,0.03427243035235855,0.0,0.0,0.0,0.0
360.0,0.021098779034199447,1.790406454279822e-08,0.10566026581844003,0.14100826681267525,0.05831685029002517,0.0,0.0,0.0,0.0
419.0,0.038594749220740125,2.5491972819653327e-08,0.18592217083658533,0.24433670123442208,0.10488135157478544,0.0,0.0,0.0,0.0
480.0,0.07060470613106622,3.6748365572599116e-08,0.3173763621992778,0.4056867925229342,0.18607981768824639,0.0,0.0,0.0,0.0
540.0,0.1289757337320792,5.472219200543307e-08,0.5124140474358853,0.6245012871079897,0.32144464395720024,0.0,0.0,0.0,0.0
599.0,0.2206311975365285,8.1949570310705e-08,0.7256955907396855,0.8287813381331799,0.5029680077451875,0.0,0.0,0.0,0.0
660.0,0.3465843413338889,1.224114799261464e-07,0.8895372186668817,0.9505620273758888,0.69634604511809,0.0,0.0,0.0,0.0
719.0,0.5018666889381371,1.8389634270590894e-07,0.9726679032303555,0.9926644773054246,0.857615596691714,0.0,0.0,0.0,0.0
780.0,0.6533137302651026,2.683848232570032e-07,0.9957498422779003,0.9994232911125673,0.9481466377731302,0.0,0.0,0.0,0.0
839.0,0.7865485647804213,3.8826399176059814e-07,0.999645850468632,0.999980681816626,0.9865544065737204,0.0,0.0,0.0,0.0
900.0,0.879900914359792,5.420613933685181e-07,0.9999812891639025,0.999999653041737,0.99728093622997,0.0,0.0,0.0,0.0
959.0,0.9402067821849208,7.462109394419683e-07,0.9999994676941776,0.9999999973279978,0.9996077157707564,0.0,0.0,0.0,0.0
1020.0,0.9721559313267396,9.921986071937234e-07,0.9999999891646708,0.9999999999869875,0.999952883444739,0.0,0.0,0.0,0.0
1080.0,0.9883589197775472,1.3004367259222783e-06,0.9999999998718242,0.9999999999999699,0.9999957937202549,0.0,0.0,0.0,0.0
1139.0,0.9953929777667158,1.6568539464567934e-06,0.9999999999988463,1.0,0.9999996768042141,0.0,0.0,0.0,0.0
1200.0,0.9982544116812246,2.0569875703081226e-06,0.9999999999999917,1.0,0.9999999779493701,0.0,0.0,0.0,0.0
1259.0,0.9993915923156539,2.5161343571268097e-06,1.0,1.0,0.9999999988042761,0.0,0.0,0.0,0.0
1320.0,0.9997885253000645,2.995797236122583e-06,1.0,0.9999999999999999,0.9999999999355865,0.0,0.0,0.0,0.0
1379.0,0.9999308610136803,3.5178407878730287e-06,1.0,1.0,0.9999999999970686,0.0,0.0,0.0,0.0
1440.0,0.9999768087472026,4.036317349506913e-06,1.0,1.0,0.9999999999998568,0.0,0.0,0.0,0.0
1499.0,0.9999924832658241,4.574072922947333e-06,1.0,0.9999999999999999,0.9999999999999937,0.0,0.0,0.0,0.0
1560.0,0.9999974323189664,5.084797081387418e-06,1.0,0.9999999999999999,0.9999999999999996,0.0,0.0,0.0,0.0
1620.0,0.9999991295914545,5.593081339578377e-06,1.0,1.0,0.9999999999999999,0.0,0.0,0.0,0.0
1679.0,0.9999996878163863,6.066169628968984e-06,1.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0
