Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
25,inf,121208002.98553234,inf,610.0576509607965,560.9746392707343,476.22306415358685,inf,121208002.98553234,560.9746392707343,476.22306415358685,476.22306415358685
26,inf,98188831.90478218,inf,686.5046248010249,582.1800059410803,693.7239371186449,inf,98188831.90478218,582.1800059410803,693.7239371186449,582.1800059410803
27,inf,27059250.74695148,inf,521.9758835675018,502.1566695129524,305.7664250719049,inf,27059250.74695148,502.1566695129524,305.7664250719049,305.7664250719049
28,inf,56665863.61325145,inf,667.3335529045827,609.3873747413409,686.0274823564665,inf,56665863.61325145,609.3873747413409,686.0274823564665,609.3873747413409
29,inf,26668477.824734263,inf,800.6797820970222,447.03840002951443,705.1743730217459,inf,26668477.824734263,447.03840002951443,705.1743730217459,447.03840002951443
30,inf,29949738.253899995,inf,1012.9276946621172,584.247384448019,436.1286728781029,inf,29949738.253899995,584.247384448019,436.1286728781029,436.1286728781029
31,inf,85628784.94494079,inf,816.2852034509398,654.3751741159224,630.7816102434175,inf,85628784.94494079,654.3751741159224,630.7816102434175,630.7816102434175
32,inf,75365896.4190199,inf,962.9113093209239,691.0996421217999,661.6825951489872,inf,75365896.4190199,691.0996421217999,661.6825951489872,661.6825951489872
33,inf,53683458.63740908,inf,671.4996161426403,402.6968960150139,600.7217274529207,inf,53683458.63740908,402.6968960150139,600.7217274529207,402.6968960150139
34,inf,101860766.18305492,inf,731.7205192510023,660.7824138539194,560.5684874800986,inf,101860766.18305492,660.7824138539194,560.5684874800986,560.5684874800986
35,inf,84001683.07589252,inf,501.155367779365,364.89146334346464,519.3157211368087,inf,84001683.07589252,364.89146334346464,519.3157211368087,364.89146334346464
36,inf,98551368.85991873,inf,826.4269665094465,623.0772646018279,631.9200744563526,inf,98551368.85991873,623.0772646018279,631.9200744563526,623.0772646018279
37,inf,74825870.65075178,inf,736.5558309955685,866.2102651303533,415.9979735079783,inf,74825870.65075178,736.5558309955685,415.9979735079783,415.9979735079783
38,inf,30441135.47679449,inf,1188.0741398807868,864.4276911802417,426.1379575517887,inf,30441135.47679449,864.4276911802417,426.1379575517887,426.1379575517887
39,inf,103547004.81778425,inf,485.3495429421627,431.27494670683654,541.5271342882033,inf,103547004.81778425,431.27494670683654,541.5271342882033,431.27494670683654
40,inf,126177400.7915304,inf,778.9750890436826,497.3394303155569,635.2975343864183,inf,126177400.7915304,497.3394303155569,635.2975343864183,497.3394303155569
41,inf,8144363.380543331,inf,948.8570080974126,585.603621313933,595.3881918381171,inf,8144363.380543331,585.603621313933,595.3881918381171,585.603621313933
42,inf,7835609.052309822,inf,950.8204026254789,624.1360381724762,630.7960737404677,inf,7835609.052309822,624.1360381724762,630.7960737404677,624.1360381724762
43,inf,96994941.58661465,inf,824.5054680260323,730.2303937172112,382.734763786098,inf,96994941.58661465,730.2303937172112,382.734763786098,382.734763786098
44,inf,93604632.8094044,inf,623.3873977843328,686.4190280602122,715.4733137203858,inf,93604632.8094044,623.3873977843328,715.4733137203858,623.3873977843328
45,inf,58187405.353795655,inf,930.6725204754327,756.5854955663787,686.7655076742561,inf,58187405.353795655,756.5854955663787,686.7655076742561,686.7655076742561
46,inf,111955785.92851895,inf,737.737926641454,757.7639959105791,553.7382446294907,inf,111955785.92851895,737.737926641454,553.7382446294907,553.7382446294907
47,inf,121778890.12496895,inf,1013.0182053443647,596.1405231877976,445.8597823631831,inf,121778890.12496895,596.1405231877976,445.8597823631831,445.8597823631831
48,inf,11824822.235855794,inf,214.42706959160648,329.0327576780994,515.4236428045003,inf,11824822.235855794,214.42706959160648,515.4236428045003,214.42706959160648
49,inf,10957264.793569986,inf,875.7323888797445,640.5457412290623,567.6251744772997,inf,10957264.793569986,640.5457412290623,567.6251744772997,567.6251744772997
50,inf,81308704.9768551,inf,900.9309966893136,639.4854851978923,641.7725518406558,inf,81308704.9768551,639.4854851978923,641.7725518406558,639.4854851978923
51,inf,65878217.56968919,inf,753.1008313298363,730.796807849252,616.6843152621765,inf,65878217.56968919,730.796807849252,616.6843152621765,616.6843152621765
52,inf,91543516.7022035,inf,579.6643321837494,511.65315875031627,587.6079700858735,inf,91543516.7022035,511.65315875031627,587.6079700858735,511.65315875031627
53,inf,79917510.49162304,inf,610.5942164964533,31.947296135170056,411.07512373059006,inf,79917510.49162304,31.947296135170056,411.07512373059006,31.947296135170056
54,inf,22390688.074189093,inf,571.2764269778409,677.758052666134,512.050736617072,inf,22390688.074189093,571.2764269778409,512.050736617072,512.050736617072
55,inf,100437981.9038965,inf,849.6261797492335,315.99818065685645,566.9909866193228,inf,100437981.9038965,315.99818065685645,566.9909866193228,315.99818065685645
56,inf,3257878.307751777,inf,455.462867138265,530.2401530158803,595.6717059723717,inf,3257878.307751777,455.462867138265,595.6717059723717,455.462867138265
57,inf,110766082.30372,inf,578.5913789700933,511.12423044067714,416.4080545178823,inf,110766082.30372,511.12423044067714,416.4080545178823,416.4080545178823
58,inf,74666656.57196236,inf,486.5480251793847,765.8845761353142,432.6145266853269,inf,74666656.57196236,486.5480251793847,432.6145266853269,432.6145266853269
59,inf,34047665.53204799,inf,943.7256544964937,494.6221924307478,679.7346384164404,inf,34047665.53204799,494.6221924307478,679.7346384164404,494.6221924307478
60,inf,90532957.24418096,inf,675.1891426690775,730.4523433197054,631.1355458177914,inf,90532957.24418096,675.1891426690775,631.1355458177914,631.1355458177914
61,inf,125747660.65611058,inf,612.2493396962192,705.3493301351939,546.3929235098244,inf,125747660.65611058,612.2493396962192,546.3929235098244,546.3929235098244
62,inf,121324945.62751326,inf,825.2632115615994,723.990816170488,504.25243185210115,inf,121324945.62751326,723.990816170488,504.25243185210115,504.25243185210115
63,inf,69629286.29565847,inf,1000.3270956952301,521.1754557818058,320.13727951322534,inf,69629286.29565847,521.1754557818058,320.13727951322534,320.13727951322534
64,inf,18039577.781809874,inf,509.93643108383486,567.4944901694566,531.8267255555603,inf,18039577.781809874,509.93643108383486,531.8267255555603,509.93643108383486
65,inf,74833165.25689682,inf,600.1744079791351,704.8463480532031,536.9085798252343,inf,74833165.25689682,600.1744079791351,536.9085798252343,536.9085798252343
66,inf,119486870.70659198,inf,698.8858039182911,646.5206148826157,677.2796621150437,inf,119486870.70659198,646.5206148826157,677.2796621150437,646.5206148826157
67,inf,88812329.59416173,inf,912.8278131475722,668.7838462721553,526.6889275632803,inf,88812329.59416173,668.7838462721553,526.6889275632803,526.6889275632803
68,inf,108652672.91534631,inf,752.9947715084386,854.4115597337099,507.7131891661352,inf,108652672.91534631,752.9947715084386,507.7131891661352,507.7131891661352
69,inf,65086346.76220697,inf,642.4156402129952,542.3606121558254,612.7962912356652,inf,65086346.76220697,542.3606121558254,612.7962912356652,542.3606121558254
70,inf,105430722.8760103,inf,1090.7823426067955,521.1049671208052,659.8042678574791,inf,105430722.8760103,521.1049671208052,659.8042678574791,521.1049671208052
71,inf,29829999.738183662,inf,322.5360996655914,617.3068530913629,615.5278772787668,inf,29829999.738183662,322.5360996655914,615.5278772787668,322.5360996655914
72,inf,45724499.33729276,inf,772.6807932163273,705.4712744222351,208.5473426045815,inf,45724499.33729276,705.4712744222351,208.5473426045815,208.5473426045815
73,inf,75680876.67604962,inf,752.0733820929808,587.6107325818886,554.3600348517584,inf,75680876.67604962,587.6107325818886,554.3600348517584,554.3600348517584
74,inf,126102957.46974832,inf,769.9498291285,608.2754663506689,531.1593747524785,inf,126102957.46974832,608.2754663506689,531.1593747524785,531.1593747524785
75,inf,125472573.17124279,inf,742.4092217679479,738.3242789407154,348.82355131933707,inf,125472573.17124279,738.3242789407154,348.82355131933707,348.82355131933707
76,inf,123797567.08787896,inf,1040.961096844632,527.5079952816249,624.8806790963553,inf,123797567.08787896,527.5079952816249,624.8806790963553,527.5079952816249
77,inf,56898075.358916655,inf,624.0842548968927,749.9543231620562,693.1021444875555,inf,56898075.358916655,624.0842548968927,693.1021444875555,624.0842548968927
78,inf,63813133.892788835,inf,671.6986731430059,749.5434407717753,536.1742622667431,inf,63813133.892788835,671.6986731430059,536.1742622667431,536.1742622667431
79,inf,56170929.28204761,inf,580.30659161842,544.2202168666471,512.185269592125,inf,56170929.28204761,544.2202168666471,512.185269592125,512.185269592125
80,inf,58226294.15450095,inf,570.950341411439,724.5118713123225,461.3812770432626,inf,58226294.15450095,570.950341411439,461.3812770432626,461.3812770432626
81,inf,125166533.1392867,inf,724.7666390980493,703.4512750114419,369.7300882648051,inf,125166533.1392867,703.4512750114419,369.7300882648051,369.7300882648051
82,inf,12692129.923887553,inf,407.148198102702,512.2025241010967,302.7688243156384,inf,12692129.923887553,407.148198102702,302.7688243156384,302.7688243156384
83,inf,68262637.62832582,inf,614.8778050542625,679.9507666458763,494.6120836446057,inf,68262637.62832582,614.8778050542625,494.6120836446057,494.6120836446057
84,inf,106074028.35234046,inf,645.0570166054144,503.1646729751237,333.2942094970574,inf,106074028.35234046,503.1646729751237,333.2942094970574,333.2942094970574
85,inf,26741918.29904691,inf,635.2198326426544,470.8665010038547,439.3718276341017,inf,26741918.29904691,470.8665010038547,439.3718276341017,439.3718276341017
86,inf,31522611.459889654,inf,271.7277056150232,642.5823824055822,504.48599432778644,inf,31522611.459889654,271.7277056150232,504.48599432778644,271.7277056150232
87,inf,53855033.89167558,inf,948.2597902885971,544.3103388740992,29.047981785940465,inf,53855033.89167558,544.3103388740992,29.047981785940465,29.047981785940465
88,inf,75881969.44508605,inf,453.3772412091509,677.2157991173324,427.22785929770623,inf,75881969.44508605,453.3772412091509,427.22785929770623,427.22785929770623
89,inf,52169661.07463188,inf,650.1096443692502,521.0852987489511,485.4892123339162,inf,52169661.07463188,521.0852987489511,485.4892123339162,485.4892123339162
