Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
59.0,0.9832229805498316,0.9832229805498316,0.9832229805498317,0.9832229805498317,0.9832229805498317,0.9832229805498317,0.9832229805498317,0.9832229805498316,0.9832229805498317,0.9832229805498317,0.9832229805498317
120.0,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833,0.9728432295403833
179.0,0.9576285955667377,0.9576285955667377,0.9576285955667376,0.9576285955667377,0.9576285955667377,0.957628595566738,0.957628595566738,0.9576285955667377,0.9576285955667377,0.957628595566738,0.9576285955667377
240.0,0.934558707404573,0.934558707404573,0.9345587074045729,0.9345587074045729,0.9345587074045729,0.934558707404573,0.9345587074045729,0.934558707404573,0.9345587074045729,0.934558707404573,0.934558707404573
299.0,0.8939466731316813,0.8939466731316813,0.8939466731316813,0.8939466731316813,0.8939466731316813,0.8939466731316815,0.8939466731316815,0.8939466731316813,0.8939466731316813,0.8939466731316815,0.8939466731316813
360.0,0.8244155750336764,0.8244155750336764,0.8244155750336764,0.8244155750336764,0.8244155750336761,0.8244155750336764,0.8244155750336764,0.8244155750336764,0.8244155750336764,0.8244155750336764,0.8244155750336764
419.0,0.7005723794163197,0.7005723794163197,0.7005723794163196,0.7005723794163196,0.7005723794163196,0.7005723794163196,0.7005723794163199,0.7005723794163197,0.7005723794163196,0.7005723794163196,0.7005723794163197
480.0,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767,0.5163730804268767
540.0,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927,0.2881818987728927
599.0,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347,0.10625762731496347
660.0,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871,0.0219171661850871
719.0,0.0019385672616790695,0.0019385672616790695,0.0019385672616790695,0.0019385672616790695,0.0019385672616790695,0.0019385672616789584,0.0019385672616789584,0.0019385672616790695,0.0019385672616790695,0.0019385672616789584,0.0019385672616790695
780.0,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05,7.640442191614305e-05
839.0,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06,1.0164021074787755e-06
900.0,6.1101526060980405e-09,6.1101526060980405e-09,6.110152495075738e-09,6.110152495075738e-09,6.1101526060980405e-09,6.110152495075738e-09,6.1101526060980405e-09,6.1101526060980405e-09,6.110152495075738e-09,6.110152495075738e-09,6.1101526060980405e-09
959.0,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11,1.2485790179539435e-11
1020.0,1.4099832412739488e-14,1.4099832412739488e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4099832412739488e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14
1080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1139.0,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-1.1102230246251565e-16,0.0
1200.0,-2.220446049250313e-16,-3.3306690738754696e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-3.3306690738754696e-16,-3.3306690738754696e-16,-3.3306690738754696e-16,-2.220446049250313e-16,-3.3306690738754696e-16,-2.220446049250313e-16
1259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
