Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,MCU_SEFI,SRAM_SEL,SRAM_TID,REG,MCU,SRAM,Payload
0.0,,,,,,,,,,,
59.0,0.0,1.781361059479737e-07,0.0,0.10929607112847962,0.3090199532375147,0.5769833939252041,0.0,1.781361059477268e-07,0.4188923313206263,0.5769833939252041,1.0
120.0,0.0,1.6958164913380856e-07,0.0,0.10879519610982404,0.3079074027035418,0.5756510035471885,0.0,1.6958164913371083e-07,0.41763771400042043,0.5756510035471885,1.0
179.0,0.0,1.5426560014300554e-07,0.0,0.10806436139331373,0.30627040729922,0.5736469741295147,0.0,1.5426560014300853e-07,0.41579918069830424,0.5736469741295148,1.0
240.0,0.0,1.3412299075362555e-07,0.0,0.10694177697224276,0.30374486492712316,0.5705402693429408,0.0,1.341229907536122e-07,0.4129612240219413,0.5705402693429408,1.0
299.0,0.0,1.0933845281787522e-07,0.0,0.10490035471172117,0.2991421346248608,0.564907106374386,0.0,1.0933845281790692e-07,0.40776526811373437,0.564907106374386,1.0
360.0,0.0,8.406434643957175e-08,0.0,0.10119956645400838,0.2907699076965303,0.554714311903167,0.0,8.40643464395801e-08,0.39823659273297435,0.5547143119031671,1.0
419.0,0.0,5.964370446095876e-08,0.0,0.09392536368769695,0.2741440484776979,0.5343507289025433,0.0,5.964370446095098e-08,0.3790746784594777,0.5343507289025433,1.0
480.0,0.0,3.9236582292518555e-08,0.0,0.08111222369381373,0.24410157486445305,0.49641669866534216,0.0,3.9236582292519495e-08,0.34375781322364085,0.49641669866534216,1.0
540.0,0.0,2.2154460574858413e-08,0.0,0.05994810007232987,0.19178674204266036,0.4254685986229547,0.0,2.215446057485717e-08,0.28013340313444707,0.4254685986229547,1.0
599.0,0.0,9.743039918912713e-09,0.0,0.033656710759673296,0.12031056981009908,0.3145353494713011,0.0,9.74303991891212e-09,0.18802595088041577,0.3145353494713011,1.0
660.0,0.0,2.7430325777815e-09,0.0,0.01188579302904696,0.05138719775534364,0.18045001134955804,0.0,2.743032577781581e-09,0.09052975736293796,0.18045001134955801,1.0
719.0,0.0,3.5718792789371037e-10,0.0,0.0019568898750146617,0.011699137661954651,0.06912183127791968,0.0,3.571879278937124e-10,0.02544284715222588,0.06912183127791968,1.0
780.0,0.0,2.050735962839587e-11,0.0,0.00014399148840767644,0.0013971732593015282,0.017901807254250883,0.0,2.0507359628395627e-11,0.0041740710769935605,0.017901807254250883,1.0
839.0,0.0,3.946328937447828e-13,0.0,3.745350461522215e-06,7.45773700959288e-05,0.002868966613824093,0.0,3.946328937447848e-13,0.00035313335068253097,0.002868966613824093,1.0
900.0,0.0,3.3120796610202173e-15,0.0,4.4765776546322215e-08,2.241042949863012e-06,0.0003265507874067709,0.0,3.3120796610202287e-15,1.8704715916909715e-05,0.00032655078740677086,1.0
959.0,0.0,9.317033219665755e-18,0.0,1.9632935100099934e-10,3.181576853261571e-08,2.345590637611865e-05,0.0,9.317033219665776e-18,5.322929393561244e-07,2.3455906376118655e-05,1.0
1020.0,0.0,1.3989834081585236e-20,0.0,4.962666913233452e-13,3.016852281674213e-10,1.3119152846255447e-06,0.0,1.3989834081585187e-20,1.0835304205243008e-08,1.3119152846255447e-06,1.0
1080.0,0.0,0.0,0.0,4.3891953173227236e-16,1.4921334687390237e-12,4.8965576254052955e-08,0.0,0.0,1.2817557498368234e-10,4.8965576254052955e-08,1.0
1139.0,0.0,0.0,0.0,0.0,5.440091062448192e-15,1.4889676158685338e-09,-0.0,0.0,1.1536327431702754e-12,1.4889676158685338e-09,1.0
1200.0,-0.0,0.0,-0.0,0.0,0.0,3.849109919684646e-11,-0.0,0.0,8.215650381909926e-15,3.849109919684646e-11,1.0
1259.0,0.0,0.0,0.0,0.0,0.0,7.274181257344026e-13,0.0,0.0,0.0,7.274181257344026e-13,1.0
1320.0,0.0,0.0,0.0,0.0,0.0,1.354472090042691e-14,0.0,0.0,0.0,1.354472090042691e-14,1.0
