Time (hrs),SRAM_SEFI,SRAM_SEL,SRAM_TID,MCU_SEFI,MCU_SEL,MCU_TID,REG_SEGR,REG_TID,System,SRAM,MCU,REG
0.0165079359996265,5.52952962706854e-06,0.0,0.0,1.375910978873574e-05,2.58482125e-12,0.0,0.0,0.0,1.928856591917046e-05,5.52952962706854e-06,1.375911237352143e-05,0.0
0.0330158719992531,2.02459749365502e-06,0.0,0.0,4.75661692023177e-06,2.58482125e-12,0.0,0.0,0.0,6.78120736845582e-06,2.02459749365502e-06,4.75661950504073e-06,0.0
0.0495238079988796,2.63407868006382e-06,0.0,0.0,6.20694878850081e-06,2.58482125e-12,0.0,0.0,0.0,8.84101370377156e-06,2.63407868006382e-06,6.20695137330602e-06,0.0
0.0660317439985062,3.4052198388812e-06,0.0,0.0,8.08107829253224e-06,2.58482125e-12,0.0,0.0,0.0,1.148627319835688e-05,3.4052198388812e-06,8.0810808773326e-06,0.0
0.0825396799981328,4.34179545649727e-06,0.0,0.0,1.039719590678612e-05,2.58482125e-12,0.0,0.0,0.0,1.473894880556859e-05,4.34179545649727e-06,1.039719849158049e-05,0.0
0.0990476159977593,5.57716308180467e-06,0.0,0.0,1.334360296123549e-05,2.58482125e-12,0.0,0.0,0.0,1.892069420836269e-05,5.57716308180467e-06,1.334360554602225e-05,0.0
0.1155555519973859,7.14611165497647e-06,0.0,0.0,1.713588626617302e-05,2.58482125e-12,0.0,0.0,0.0,2.428187805095141e-05,7.14611165497647e-06,1.713588885094998e-05,0.0
0.1320634879970124,8.76534403082552e-06,0.0,0.0,2.111724699660478e-05,2.58482125e-12,0.0,0.0,0.0,2.98824085122394e-05,8.76534403082552e-06,2.111724958137145e-05,0.0
0.148571423996639,1.004869442233769e-05,0.0,0.0,2.425226642921441e-05,2.58482125e-12,0.0,0.0,0.0,3.43007197326703e-05,1.004869442233769e-05,2.425226901397297e-05,0.0
0.1650793599962655,1.126157719355536e-05,0.0,0.0,2.716128002411278e-05,2.58482125e-12,0.0,0.0,0.0,3.842255392353842e-05,1.126157719355536e-05,2.716128260886383e-05,0.0
0.1815872959958921,1.230165951204842e-05,0.0,0.0,2.968030994310311e-05,2.58482125e-12,0.0,0.0,0.0,4.198160692279714e-05,1.230165951204842e-05,2.968031252784765e-05,0.0
0.1980952319955186,1.295639170695306e-05,0.0,0.0,3.119358496517232e-05,2.58482125e-12,0.0,0.0,0.0,4.414957510052696e-05,1.295639170695306e-05,3.119358754991294e-05,0.0
0.2146031679951452,1.361647151187917e-05,0.0,0.0,3.269947167894305e-05,2.58482125e-12,0.0,0.0,0.0,4.631550052409919e-05,1.361647151187917e-05,3.269947426367978e-05,0.0
0.2311111039947717,1.442499705339717e-05,0.0,0.0,3.457333674439234e-05,2.58482125e-12,0.0,0.0,0.0,4.899783766220345e-05,1.442499705339717e-05,3.457333932912423e-05,0.0
0.2476190399943983,1.550534566285844e-05,0.0,0.0,3.709685904673688e-05,2.58482125e-12,0.0,0.0,0.0,5.260163209465808e-05,1.550534566285844e-05,3.709686163146224e-05,0.0
0.2641269759940249,1.691891230770626e-05,0.0,0.0,4.042528860981332e-05,2.58482125e-12,0.0,0.0,0.0,5.73435195502796e-05,1.691891230770626e-05,4.042529119453008e-05,0.0
0.2806349119936514,1.810911017008365e-05,0.0,0.0,4.319150883247414e-05,2.58482125e-12,0.0,0.0,0.0,6.129983942742873e-05,1.810911017008365e-05,4.319151141718375e-05,0.0
0.297142847993278,1.937150334352378e-05,0.0,0.0,4.61362196494397e-05,2.58482125e-12,0.0,0.0,0.0,6.55068318496822e-05,1.937150334352378e-05,4.613622223414169e-05,0.0
0.3136507839929046,2.036041331276994e-05,0.0,0.0,4.844027808614815e-05,2.58482125e-12,0.0,0.0,0.0,6.87997077194787e-05,2.036041331276994e-05,4.84402806708442e-05,0.0
0.3301587199925311,2.07769026469018e-05,0.0,0.0,4.939322989327977e-05,2.58482125e-12,0.0,0.0,0.0,7.016910888649254e-05,2.07769026469018e-05,4.939323247797335e-05,0.0
0.3466666559921577,1.999494218718478e-05,0.0,0.0,4.752648509631641e-05,2.58482125e-12,0.0,0.0,0.0,6.752047957882605e-05,1.999494218718478e-05,4.752648768101482e-05,0.0
0.3631745919917843,1.837196196485813e-05,0.0,0.0,4.367651660752702e-05,2.58482125e-12,0.0,0.0,0.0,6.204767873374415e-05,1.837196196485813e-05,4.367651919223538e-05,0.0
0.3796825279914109,1.665417528351476e-05,0.0,0.0,3.959254722774031e-05,2.58482125e-12,0.0,0.0,0.0,5.624606571470948e-05,1.665417528351476e-05,3.959254981245922e-05,0.0
0.3961904639910374,1.489190315107081e-05,0.0,0.0,3.539781749484216e-05,2.58482125e-12,0.0,0.0,0.0,5.028919608973432e-05,1.489190315107081e-05,3.539782007957191e-05,0.0
0.412698399990664,1.308769339847249e-05,0.0,0.0,3.11039973237559e-05,2.58482125e-12,0.0,0.0,0.0,4.419128622735496e-05,1.308769339847249e-05,3.110399990849675e-05,0.0
0.4292063359902906,1.123663710855816e-05,0.0,0.0,2.670291205597586e-05,2.58482125e-12,0.0,0.0,0.0,3.79392516983247e-05,1.123663710855816e-05,2.670291464072809e-05,0.0
0.4457142719899172,9.44987026119115e-06,0.0,0.0,2.246162429975218e-05,2.58482125e-12,0.0,0.0,0.0,3.191128488624661e-05,9.44987026119115e-06,2.246162688451537e-05,0.0
0.4622222079895438,7.80475556427795e-06,0.0,0.0,1.854221546837564e-05,2.58482125e-12,0.0,0.0,0.0,2.634682889994738e-05,7.80475556427795e-06,1.854221805314896e-05,0.0
0.4787301439891703,6.12930439192194e-06,0.0,0.0,1.455817914797208e-05,2.58482125e-12,0.0,0.0,0.0,2.068739689315041e-05,6.12930439192194e-06,1.45581817327557e-05,0.0
0.4952380799887969,4.64489397467016e-06,0.0,0.0,1.103437656180262e-05,2.58482125e-12,0.0,0.0,0.0,1.56792218677443e-05,4.64489397467016e-06,1.103437914659535e-05,0.0
0.5117460159884235,3.49695668222516e-06,0.0,0.0,8.31707199777654e-06,2.58482125e-12,0.0,0.0,0.0,1.181400218035191e-05,3.49695668222516e-06,8.31707458257629e-06,0.0
0.52825395198805,2.5059417509965e-06,0.0,0.0,5.95967553751464e-06,2.58482125e-12,0.0,0.0,0.0,8.46560493871076e-06,2.5059417509965e-06,5.95967812232049e-06,0.0
0.5447618879876766,1.73924904989242e-06,0.0,0.0,4.14383823166276e-06,2.58482125e-12,0.0,0.0,0.0,5.88308265919452e-06,1.73924904989242e-06,4.1438408164733e-06,0.0
0.5612698239873031,1.19196332326599e-06,0.0,0.0,2.84222445678939e-06,2.58482125e-12,0.0,0.0,0.0,4.03418697703889e-06,1.19196332326599e-06,2.84222704160329e-06,0.0
0.5777777599869296,6.9383218515018e-07,0.0,0.0,1.65490527814782e-06,2.58482125e-12,0.0,0.0,0.0,2.34873889988663e-06,6.9383218515018e-07,1.65490786296479e-06,0.0
0.5942856959865561,2.9839385362607e-07,0.0,0.0,7.1253447364583e-07,2.58482125e-12,0.0,0.0,0.0,1.01093069947463e-06,2.9839385362607e-07,7.1253705846524e-07,0.0
0.6107936319861826,7.081180386503e-08,0.0,0.0,1.785363042961e-07,2.58482125e-12,0.0,0.0,0.0,2.4935068033926e-07,7.081180386503e-08,1.7853888911689e-07,0.0
0.6273015679858092,1.048204056886e-08,0.0,0.0,3.241243551333e-08,2.58482125e-12,0.0,0.0,0.0,4.289706056358e-08,1.048204056886e-08,3.24150203345e-08,0.0
0.6438095039854357,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.6603174399850622,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.6768253759846887,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.6933333119843152,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.7098412479839418,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.7263491839835683,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.7428571199831948,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.7593650559828213,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.7758729919824479,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.7923809279820744,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.8088888639817009,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.8253967999813274,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.8419047359809539,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.8584126719805805,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.874920607980207,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.8914285439798335,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.90793647997946,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.9244444159790866,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
0.9409523519787132,5.782596624e-11,0.0,0.0,3.1091329511e-10,2.58482125e-12,0.0,0.0,0.0,3.7132408258e-10,5.782596624e-11,3.1349811636e-10,0.0
