  2.7327E-01,  3.1729E+00,  2.5904E+05,  1.6698E+05,  1.0764E+05,  5.3348E+04,  2.6442E+04,  1.6157E+04,  9.8731E+03,  6.5581E+03,  2.2413E+03,  6.7932E+02,  2.0590E+02,  4.7732E+01,  1.1065E+01,  4.8341E+00,  2.1119E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5737E-01,  3.6126E+00,  1.0170E+06,  6.4533E+05,  4.0947E+05,  2.0438E+05,  1.0201E+05,  5.9757E+04,  3.5004E+04,  2.1860E+04,  6.2108E+03,  1.3513E+03,  2.9400E+02,  4.6021E+01,  7.2037E+00,  1.1276E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4135E-01,  4.1026E+00,  7.3082E+05,  4.9113E+05,  3.3005E+05,  1.5794E+05,  7.5580E+04,  3.8617E+04,  1.9731E+04,  1.1259E+04,  2.2648E+03,  3.4270E+02,  5.1856E+01,  1.1873E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2564E-01,  4.6369E+00,  7.3000E+05,  4.0032E+05,  2.1953E+05,  7.9333E+04,  2.8669E+04,  1.1278E+04,  4.4362E+03,  2.0220E+03,  2.3067E+02,  2.2551E+01,  2.2047E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1054E-01,  5.2077E+00,  8.4374E+05,  3.6328E+05,  1.5641E+05,  3.8963E+04,  9.7057E+03,  2.6719E+03,  7.3557E+02,  2.0493E+02,  5.3450E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.9620E-01,  5.8013E+00,  4.4380E+05,  1.9523E+05,  8.5880E+04,  1.9359E+04,  4.3638E+03,  9.3088E+02,  1.9857E+02,  4.7269E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.8272E-01,  6.3980E+00,  1.0899E+05,  4.5483E+04,  1.8980E+04,  3.5521E+03,  6.6478E+02,  1.2830E+02,  2.4763E+01,  6.8118E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.7012E-01,  6.9774E+00,  1.0682E+04,  4.8847E+03,  2.2337E+03,  4.2735E+02,  8.1760E+01,  1.8962E+01,  4.3978E+00,  1.0199E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.5840E-01,  7.5171E+00,  4.4580E+02,  2.3628E+02,  1.2523E+02,  3.2157E+01,  8.2574E+00,  3.3531E+00,  1.3616E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.4753E-01,  7.9957E+00,  1.1458E+01,  7.2295E+00,  4.5613E+00,  2.5853E+00,  1.4653E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
