time,A,B,C,D,E,F
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027784209307710117,0.0,0.0,0.0,0.0,0.0,0.0
0.005556841861542023,0.0,0.0,0.0,0.0,0.0,0.0
0.008335262792313034,0.0,0.0,0.0,0.0,0.0,0.0
0.011113683723084047,0.0,0.0,0.0,0.0,0.0,0.0
0.01389210465385506,0.0,0.0,0.0,0.0,0.0,0.0
0.01667052558462607,0.0,0.0,0.0,0.0,0.0,0.0
0.01944894651539708,0.0,0.0,0.0,0.0,0.0,0.0
0.022227367446168093,0.0,0.0,0.0,0.0,0.0,0.0
0.025005788376939106,0.0,0.0,0.0,0.0,0.0,0.0
0.02778420930771012,0.0,0.0,0.0,0.0,0.0,0.0
0.030562630238481128,0.0,0.0,0.0,0.0,0.0,0.0
0.03334105116925214,0.0,0.0,0.0,0.0,0.0,0.0
0.03611947210002315,0.0,0.0,0.0,0.0,0.0,0.0
0.03889789303079416,0.0,0.0,0.0,0.0,0.0,0.0
0.041676313961565174,0.0,0.0,0.0,0.0,0.0,0.0
0.04445473489233619,0.0,0.0,0.0,0.0,0.0,0.0
0.0472331558231072,0.0,0.0,0.0,0.0,0.0,0.0
0.05001157675387821,0.0,0.0,0.0,0.0,0.0,0.0
0.052789997684649224,0.0,0.0,0.0,0.0,0.0,0.0
0.05556841861542024,0.0,0.0,0.0,0.0,0.0,0.0
0.05834683954619124,0.0,0.0,0.0,0.0,0.0,0.0
0.061125260476962255,0.0,0.0,0.0,0.0,0.0,0.0
0.06390368140773327,0.0,0.0,0.0,0.0,0.0,0.0
0.06668210233850427,0.0,0.0,0.0,0.0,0.0,0.0
0.06946052326927529,0.0,0.0,0.0,0.0,0.0,0.0
0.0722389442000463,0.0,0.0,0.0,0.0,0.0,0.0
0.07501736513081732,0.0,0.0,0.0,0.0,0.0,0.0
0.07779578606158832,0.0,0.0,0.0,0.0,0.0,0.0
0.08057420699235934,0.0,0.0,0.0,0.0,0.0,0.0
0.08335262792313035,0.0,0.0,0.0,0.0,0.0,0.0
0.08613104885390137,0.0,0.0,0.0,0.0,0.0,0.0
0.08890946978467237,0.0,0.0,0.0,0.0,0.0,0.0
0.09168789071544338,0.0,0.0,0.0,0.0,0.0,0.0
0.0944663116462144,0.0,0.0,0.0,0.0,0.0,0.0
0.0972447325769854,0.0,0.0,0.0,0.0,0.0,0.0
0.10002315350775642,0.0,0.0,0.0,0.0,0.0,0.0
0.10280157443852743,0.0,0.0,0.0,0.0,0.0,0.0
0.10557999536929845,0.0,0.0,0.0,0.0,0.0,0.0
0.10835841630006945,0.0,0.0,0.0,0.0,0.0,0.0
0.11113683723084047,0.0,0.0,0.0,0.0,0.0,0.0
0.11391525816161148,0.0,0.0,0.0,0.0,0.0,0.0
0.11669367909238249,0.0,0.0,0.0,0.0,0.0,0.0
0.1194721000231535,0.0,0.0,0.0,0.0,0.0,0.0
0.12225052095392451,0.0,0.0,0.0,0.0,0.0,0.0
0.12502894188469552,0.0,0.0,0.0,0.0,0.0,0.0
