time,Q1-SET,Q1-SEB,Q1-SEGR,Q1-TID
7.61017616148522,0.0022031138078128457,0.00022031138078128454,2.2031138078128456e-05,1.2269658107352798e+27
7.610453945693188,0.0022033178885397676,0.00022033178885397676,2.2033178885397676e-05,1.2296721868633058e+27
7.610731729901156,0.0022035220117709335,0.00022035220117709334,2.2035220117709336e-05,1.2323847841306259e+27
7.611009514109123,0.0022037261775102795,0.00022037261775102794,2.2037261775102794e-05,1.235103617421917e+27
7.611287298317091,0.0022039303857617418,0.00022039303857617417,2.203930385761742e-05,1.2378287016588453e+27
7.611565082525059,0.0022041346365292633,0.0002204134636529263,2.2041346365292633e-05,1.240560051800197e+27
7.611842866733027,0.0022043389298167823,0.00022043389298167818,2.204338929816782e-05,1.243297682841956e+27
7.612120650940994,0.002204543265628239,0.00022045432656282387,2.2045432656282386e-05,1.2460416098174186e+27
7.612398435148963,0.0022047476439675776,0.00022047476439675771,2.2047476439675775e-05,1.248791847797253e+27
7.61267621935693,0.0022049520648387395,0.00022049520648387397,2.2049520648387398e-05,1.2515484118896322e+27
7.612954003564898,0.0022051565282456675,0.00022051565282456672,2.2051565282456674e-05,1.254311317240313e+27
7.6132317877728655,0.002205361034192306,0.0002205361034192306,2.205361034192306e-05,1.2570805790327325e+27
7.613509571980834,0.0022055655826826036,0.00022055655826826035,2.2055655826826034e-05,1.2598562124881413e+27
7.613787356188801,0.002205770173720501,0.00022057701737205007,2.205770173720501e-05,1.26263823286563e+27
7.614065140396769,0.002205974807309947,0.00022059748073099467,2.2059748073099468e-05,1.2654266554622977e+27
7.6143429246047365,0.002206179483454891,0.0002206179483454891,2.206179483454891e-05,1.2682214956132983e+27
7.614620708812705,0.0022063842021592802,0.000220638420215928,2.2063842021592803e-05,1.2710227686919708e+27
7.6148984930206725,0.002206588963427062,0.00022065889634270618,2.206588963427062e-05,1.273830490109943e+27
7.61517627722864,0.00220679376726219,0.00022067937672621895,2.2067937672621898e-05,1.2766446753171718e+27
7.6154540614366075,0.0022069986136686124,0.00022069986136686126,2.2069986136686126e-05,1.2794653398021358e+27
7.615731845644576,0.002207203502650281,0.00022072035026502807,2.2072035026502808e-05,1.2822924990918423e+27
7.6160096298525435,0.00220740843421115,0.000220740843421115,2.20740843421115e-05,1.2851261687520005e+27
7.616287414060511,0.0022076134083551715,0.00022076134083551715,2.2076134083551716e-05,1.2879663643870658e+27
7.616565198268479,0.0022078184250862985,0.00022078184250862984,2.207818425086298e-05,1.290813101640378e+27
7.616842982476447,0.002208023484408489,0.0002208023484408489,2.208023484408489e-05,1.2936663961942423e+27
7.6171207666844145,0.002208228586325697,0.00022082285863256972,2.2082285863256975e-05,1.2965262637700305e+27
7.617398550892382,0.002208433730841878,0.0002208433730841878,2.208433730841878e-05,1.2993927201283e+27
7.6176763351003505,0.0022086389179609917,0.0002208638917960992,2.208638917960992e-05,1.3022657810688778e+27
7.617954119308318,0.002208844147686996,0.0002208844147686996,2.2088441476869963e-05,1.3051454624309597e+27
7.6182319035162855,0.002209049420023848,0.0002209049420023848,2.2090494200238482e-05,1.3080317800932147e+27
7.618509687724253,0.0022092547349755083,0.00022092547349755084,2.2092547349755084e-05,1.310924749973923e+27
7.6187874719322215,0.0022094600925459417,0.00022094600925459416,2.2094600925459416e-05,1.3138243880310035e+27
7.619065256140189,0.0022096654927391034,0.00022096654927391033,2.2096654927391033e-05,1.3167307102621922e+27
7.619343040348157,0.0022098709355589585,0.00022098709355589585,2.2098709355589585e-05,1.3196437327050882e+27
7.619620824556125,0.002210076421009474,0.00022100764210094742,2.210076421009474e-05,1.3225634714372944e+27
7.6198986087640925,0.002210281949094607,0.0002210281949094607,2.210281949094607e-05,1.3254899425765026e+27
7.62017639297206,0.0022104875198183257,0.00022104875198183257,2.2104875198183257e-05,1.328423162280615e+27
7.620454177180028,0.002210693133184597,0.00022106931331845973,2.2106931331845975e-05,1.331363146747813e+27
7.620731961387996,0.002210898789197387,0.0002210898789197387,2.2108987891973868e-05,1.3343099122167144e+27
7.621009745595964,0.00221110448786066,0.000221110448786066,2.21110448786066e-05,1.3372634749664064e+27
7.621287529803931,0.0022113102291783883,0.0002211310229178388,2.2113102291783882e-05,1.3402238513166413e+27
7.621565314011899,0.0022115160131545384,0.00022115160131545386,2.2115160131545384e-05,1.3431910576278316e+27
7.621843098219867,0.002211721839793079,0.00022117218397930795,2.2117218397930795e-05,1.3461651103012845e+27
7.622120882427835,0.0022119277090979846,0.00022119277090979845,2.2119277090979847e-05,1.349146025779178e+27
7.622398666635802,0.002212133621073224,0.00022121336210732242,2.2121336210732242e-05,1.3521338205447597e+27
7.6226764508437705,0.002212339575722768,0.00022123395757227678,2.212339575722768e-05,1.355128511122416e+27
7.622954235051738,0.002212545573050593,0.0002212545573050593,2.212545573050593e-05,1.358130114077779e+27
7.623232019259706,0.002212751613060671,0.0002212751613060671,2.2127516130606712e-05,1.3611386460178502e+27
7.623509803467673,0.0022129576957569765,0.00022129576957569764,2.2129576957569764e-05,1.3641541235910925e+27
7.623787587675642,0.0022131638211434863,0.00022131638211434862,2.2131638211434864e-05,1.3671765634875143e+27
7.624065371883609,0.0022133699892241763,0.0002213369989224176,2.213369989224176e-05,1.3702059824388376e+27
7.624343156091577,0.0022135762000030216,0.00022135762000030217,2.2135762000030217e-05,1.3732423972185666e+27
