Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
3400000.0,50000.0,0.001,50.0,3450.0,0.8436648165963837,1.0,1.0
3450000.0,50000.0,0.001,50.0,3500.0,0.8415582888117733,1.0,1.0
3500000.0,50000.0,0.001,50.0,3550.0,0.8394570207692074,1.0,1.0
3550000.0,50000.0,0.001,50.0,3600.0,0.8373609993357539,1.0,1.0
3600000.0,50000.0,0.001,50.0,3650.0,0.835270211411272,1.0,1.0
3650000.0,50000.0,0.001,50.0,3700.0,0.8331846439283304,1.0,1.0
3700000.0,50000.0,0.001,50.0,3750.0,0.8311042838521256,1.0,1.0
3750000.0,50000.0,0.001,50.0,3800.0,0.8290291181804004,1.0,1.0
3800000.0,50000.0,0.001,50.0,3850.0,0.8269591339433623,1.0,1.0
3850000.0,50000.0,0.001,50.0,3900.0,0.8248943182036034,1.0,1.0
3900000.0,50000.0,0.001,50.0,3950.0,0.8228346580560183,1.0,1.0
3950000.0,50000.0,0.001,50.0,4000.0,0.8207801406277248,1.0,1.0
4000000.0,50000.0,0.001,50.0,4050.0,0.8187307530779818,1.0,1.0
4050000.0,50000.0,0.001,50.0,4100.0,0.8166864825981108,1.0,1.0
4100000.0,50000.0,0.001,50.0,4150.0,0.8146473164114144,1.0,1.0
4150000.0,50000.0,0.001,50.0,4200.0,0.8126132417730976,1.0,1.0
4200000.0,50000.0,0.001,50.0,4250.0,0.8105842459701871,1.0,1.0
4250000.0,50000.0,0.001,50.0,4300.0,0.8085603163214523,1.0,1.0
4300000.0,50000.0,0.001,50.0,4350.0,0.8065414401773268,1.0,1.0
4350000.0,50000.0,0.001,50.0,4400.0,0.8045276049198278,1.0,1.0
4400000.0,50000.0,0.001,50.0,4450.0,0.8025187979624785,1.0,1.0
4450000.0,50000.0,0.001,50.0,4500.0,0.8005150067502288,1.0,1.0
4500000.0,50000.0,0.001,50.0,4550.0,0.7985162187593771,1.0,1.0
4550000.0,50000.0,0.001,50.0,4600.0,0.796522421497492,1.0,1.0
4600000.0,50000.0,0.001,50.0,4650.0,0.7945336025033339,1.0,1.0
4650000.0,50000.0,0.001,50.0,4700.0,0.7925497493467781,1.0,1.0
4700000.0,50000.0,0.001,50.0,4750.0,0.7905708496287356,1.0,1.0
4750000.0,50000.0,0.001,50.0,4800.0,0.7885968909810767,1.0,1.0
4800000.0,50000.0,0.001,50.0,4850.0,0.7866278610665535,1.0,1.0
4850000.0,50000.0,0.001,50.0,4900.0,0.7846637475787225,1.0,1.0
4900000.0,50000.0,0.001,50.0,4950.0,0.7827045382418681,1.0,1.0
4950000.0,50000.0,0.001,50.0,5000.0,0.7807502208109257,1.0,1.0
5000000.0,50000.0,0.001,50.0,5050.0,0.7788007830714049,1.0,1.0
5050000.0,50000.0,0.001,50.0,5100.0,0.7768562128393134,1.0,1.0
5100000.0,50000.0,0.001,50.0,5150.0,0.7749164979610809,1.0,1.0
5150000.0,50000.0,0.001,50.0,5200.0,0.7729816263134832,1.0,1.0
5200000.0,50000.0,0.001,50.0,5250.0,0.7710515858035663,1.0,1.0
5250000.0,50000.0,0.001,50.0,5300.0,0.7691263643685704,1.0,1.0
5300000.0,50000.0,0.001,50.0,5350.0,0.7672059499758556,1.0,1.0
5350000.0,50000.0,0.001,50.0,5400.0,0.7652903306228257,1.0,1.0
5400000.0,50000.0,0.001,50.0,5450.0,0.7633794943368533,1.0,1.0
5450000.0,50000.0,0.001,50.0,5500.0,0.7614734291752056,1.0,1.0
5500000.0,50000.0,0.001,50.0,5550.0,0.7595721232249684,1.0,1.0
5550000.0,50000.0,0.001,50.0,5600.0,0.7576755646029747,1.0,1.0
5600000.0,50000.0,0.001,50.0,5650.0,0.7557837414557255,1.0,1.0
5650000.0,50000.0,0.001,50.0,5700.0,0.7538966419593209,1.0,1.0
5700000.0,50000.0,0.001,50.0,5750.0,0.7520142543193828,1.0,1.0
5750000.0,50000.0,0.001,50.0,5800.0,0.7501365667709817,1.0,1.0
5800000.0,50000.0,0.001,50.0,5850.0,0.7482635675785653,1.0,1.0
5850000.0,50000.0,0.001,50.0,5900.0,0.7463952450358817,1.0,1.0
5900000.0,50000.0,0.001,50.0,5950.0,0.7445315874659094,1.0,1.0
5950000.0,50000.0,0.001,50.0,6000.0,0.7426725832207823,1.0,1.0
6000000.0,50000.0,0.001,50.0,6050.0,0.7408182206817179,1.0,1.0
6050000.0,50000.0,0.001,50.0,6100.0,0.7389684882589442,1.0,1.0
6100000.0,50000.0,0.001,50.0,6150.0,0.7371233743916278,1.0,1.0
6150000.0,50000.0,0.001,50.0,6200.0,0.7352828675478007,1.0,1.0
6200000.0,50000.0,0.001,50.0,6250.0,0.7334469562242892,1.0,1.0
6250000.0,50000.0,0.001,50.0,6300.0,0.7316156289466418,1.0,1.0
