Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,Z
1500000.0,20000.0,0.0023,46.0,3496.0,0.0,1.0,1.0
1520000.0,20000.0,0.0023,46.0,3542.0,0.0,1.0,1.0
1540000.0,20000.0,0.0023,46.0,3588.0,0.0,1.0,1.0
1560000.0,20000.0,0.0023,46.0,3634.0,0.0,0.9999999999999999,1.0
1580000.0,20000.0,0.0023,46.0,3680.0,0.0,1.0,1.0
1600000.0,20000.0,0.0023,46.0,3726.0,0.0,1.0000000000000002,1.0
1620000.0,20000.0,0.0023,46.0,3772.0,0.0,1.0,1.0
1640000.0,20000.0,0.0023,46.0,3818.0,0.0,1.0,1.0
1660000.0,20000.0,0.0023,46.0,3864.0,0.0,1.0,1.0
1680000.0,20000.0,0.0023,46.0,3910.0,0.0,1.0,1.0
1700000.0,20000.0,0.0023,46.0,3956.0,0.0,1.0,1.0
1720000.0,20000.0,0.0023,46.0,4002.0,0.0,1.0,1.0
1740000.0,20000.0,0.0023,46.0,4048.0,0.0,1.0,1.0
1760000.0,20000.0,0.0023,46.0,4094.0,0.0,1.0,1.0
1780000.0,20000.0,0.0023,46.0,4140.0,0.0,1.0,1.0
1800000.0,20000.0,0.0023,46.0,4186.0,0.0,1.0,1.0
1820000.0,20000.0,0.0023,46.0,4232.0,0.0,0.9999999999999999,1.0
1840000.0,20000.0,0.0023,46.0,4278.0,0.0,1.0,1.0
1860000.0,20000.0,0.0023,46.0,4324.0,0.0,1.0000000000000002,1.0
1880000.0,20000.0,0.0023,46.0,4370.0,0.0,0.9999999999999999,1.0
1900000.0,20000.0,0.0023,46.0,4416.0,0.0,1.0000000000000002,1.0
1920000.0,20000.0,0.0023,46.0,4462.0,0.0,1.0,1.0
1940000.0,20000.0,0.0023,46.0,4508.0,0.0,0.9999999999999999,1.0
1960000.0,20000.0,0.0023,46.0,4554.0,0.0,1.0,1.0
1980000.0,20000.0,0.0023,46.0,4600.0,0.0,1.0000000000000002,1.0
2000000.0,20000.0,0.0023,46.0,4646.0,0.0,1.0,1.0
2020000.0,20000.0,0.0023,46.0,4692.0,0.0,1.0,1.0
2040000.0,20000.0,0.0023,46.0,4738.0,0.0,1.0,1.0
2060000.0,20000.0,0.0023,46.0,4784.0,0.0,1.0,1.0
2080000.0,20000.0,0.0023,46.0,4830.0,0.0,1.0,1.0
2100000.0,20000.0,0.0023,46.0,4876.0,0.0,1.0,1.0
2120000.0,20000.0,0.0023,46.0,4922.0,0.0,1.0,1.0
2140000.0,20000.0,0.0023,46.0,4968.0,0.0,1.0,1.0
2160000.0,20000.0,0.0023,46.0,5014.0,0.0,1.0,1.0
2180000.0,20000.0,0.0023,46.0,5060.0,0.0,1.0,1.0
2200000.0,20000.0,0.0023,46.0,5106.0,0.0,1.0,1.0
2220000.0,20000.0,0.0023,46.0,5152.0,0.0,1.0,1.0
2240000.0,20000.0,0.0023,46.0,5198.0,0.0,1.0,1.0
2260000.0,20000.0,0.0023,46.0,5244.0,0.0,1.0,1.0
2280000.0,20000.0,0.0023,46.0,5290.0,0.0,1.0,1.0
2300000.0,20000.0,0.0023,46.0,5336.0,0.0,1.0,1.0
2320000.0,20000.0,0.0023,46.0,5382.0,0.0,1.0,1.0
2340000.0,20000.0,0.0023,46.0,5428.0,0.0,1.0,1.0
2360000.0,20000.0,0.0023,46.0,5474.0,0.0,1.0,1.0
2380000.0,20000.0,0.0023,46.0,5520.0,0.0,1.0,1.0
2400000.0,20000.0,0.0023,46.0,5566.0,0.0,1.0,1.0
2420000.0,20000.0,0.0023,46.0,5612.0,0.0,1.0,1.0
2440000.0,20000.0,0.0023,46.0,5658.0,0.0,1.0,1.0
2460000.0,20000.0,0.0023,46.0,5704.0,0.0,1.0,1.0
2480000.0,20000.0,0.0023,46.0,5750.0,0.0,1.0,1.0
2500000.0,20000.0,0.0023,46.0,5796.0,0.0,1.0,1.0
2520000.0,20000.0,0.0023,46.0,5842.0,0.0,1.0,1.0
2540000.0,20000.0,0.0023,46.0,5888.0,0.0,1.0,1.0
2560000.0,20000.0,0.0023,46.0,5934.0,0.0,1.0,1.0
