Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),FM_Power_SRAM_Core_LR_TID,FM_Power_SRAM_Control_LR_TID,FM_Power_SRAM_IO_LR_TID,FM_Power_SRAM_Power_DFF_TID,FM_Power_SRAM_Core_LR_SEL,FM_Power_SRAM_Control_LR_SEL,FM_Power_SRAM_IO_LR_SEL,FM_Power_SRAM_Power_DFF_SEL,FM_DUT_ThermalDamage,FM_DUT_Open,FM_DUT_Short,FM_DUT_SEL,FM_DUT_TID,FM_Power_uC_LT_LS_SEL,FM_Power_uC_LT_LS_TID,FM_Power_SRAM_IO_LS_SEL,FM_Power_SRAM_IO_LS_TID,FM_Power_SRAM_Core_LS_SEL,FM_Power_SRAM_Core_LS_TID,FM_Power_SRAM_Control_LS_SEL,FM_Power_SRAM_Control_LS_TID,FM_Logic_Translation_Address_TID,FM_Logic_Translation_Address_SEL,FM_Logic_Translation_Control_TID,FM_Logic_Translation_Control_SEL,FM_Logic_Translation_Data_TID,FM_Logic_Translation_Data_SEL,FM_Logic_Translation_DataIn_TID,FM_Logic_Translation_DataIn_SEL,FM_Logic_Translation_DataOut_TID,FM_Logic_Translation_DataOut_SEL,FM_Power_DFF_LS_SEL,FM_Power_DFF_LS_TID,FM_Control_uC_SEFI,FM_Control_uC_TID,FM_Control_uC_SEL,LC_VUC,FM_Power_uC_LT_WDT_TID,FM_Power_uC_LT_WDT_SEL,FM_Control_Program_Mem_TID,FM_Control_Program_Mem_SEL,LF_DisconnectPower,FMAND_Power_uC_LT_WDT_TID,FMAND_Power_uC_LT_WDT_SEL,FMAND_Power_uC_LT_LS_SEL,FMAND_Power_uC_LT_LS_TID,FMAND_Power_SRAM_IO_LS_SEL,FMAND_Power_SRAM_IO_LS_TID,FMAND_Power_SRAM_Core_LS_SEL,FMAND_Power_SRAM_Core_LS_TID,FMAND_Power_SRAM_Control_LS_SEL,FMAND_Power_SRAM_Control_LS_TID,FMAND_Power_DFF_LS_SEL,FMAND_Power_DFF_LS_TID,LC_Power_uC_LT_WDT,LC_Power_uC_LT_LS,LC_Power_SRAM_IO_LS,LC_Power_SRAM_Core_LS,LC_Power_SRAM_Control_LS,LC_Power_DFF_LS,LF_Detect_and_Mitigate_SEL,FMAND_Logic_Translation_Address_TID,FMAND_Logic_Translation_Address_SEL,FMAND_Logic_Translation_Control_TID,FMAND_Logic_Translation_Control_SEL,FMAND_Logic_Translation_Data_TID,FMAND_Logic_Translation_Data_SEL,FMAND_Logic_Translation_DataIn_TID,FMAND_Logic_Translation_DataIn_SEL,FMAND_Logic_Translation_DataOut_TID,FMAND_Logic_Translation_DataOut_SEL,FMAND_Control_uC_TID,FMAND_Control_uC_SEL,Control_out_of_spec_data,FMAND_Control_Program_Mem_TID,FMAND_Control_Program_Mem_SEL,FMAND_Power_SRAM_Core_LR_SEL,FMAND_Power_SRAM_Control_LR_SEL,FMAND_Power_SRAM_IO_LR_SEL,FMAND_Power_SRAM_Power_DFF_SEL,FMAND_DUT_SEL,FMAND_DUT_TID,LC_Logic_Translation,LC_Control_Program_Mem,LC_Power,LC_DUT,LF_Memory_Logic_Translation,LF_Detect_and_Mitigate_SEFI,LF_Provide_Regulated_Power,LF_DUT,LF_Detect_and_Mitigate_Radiation_Effects,FMAND_Control_uC_SEFI,LC_Control,LF_Memory_Control,LF_Read_and_Write_to_Memory,LF_Run_Experiment,LF_Count_Number_of_Upsets,root
0.0,1000.0,0.001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000.0,1000.0,0.001,1.0,2.0,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,0.009950166250831893,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,9.900580841919402e-05,0.00019800181468828727,0.00019800181468828727,0.00019800181468828727,0.00019800181468828727,0.00019800181468828727,0.00019800181468828727,0.0009896171038736073,9.84685470820917e-06,9.84685470820917e-06,9.797784139447e-08,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,1.979158836772753e-05,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,9.84685470820917e-06,8.871617103314023e-05,1.96936124558707e-05,0.0392484033047783,0.029573578029738912,8.871617103314023e-05,0.00021769152777315396,0.0392484033047783,0.029573578029738912,0.011145248673195298,2.16606689274047e-06,2.185963669092923e-05,4.165079242172551e-05,0.029700085989806013,0.06778280834146981,0.07817260075993189,0.08784320917653447
2000.0,1000.0,0.001,1.0,3.0,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.019801326693244747,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.00039209253881260697,0.0007840313410662214,0.0007840313410662214,0.0007840313410662214,0.0007840313410662214,0.0007840313410662214,0.0007840313410662214,0.003914014471485333,7.750267923196876e-05,7.750267923196876e-05,1.53465587107397e-06,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,0.0001565337697990581,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,7.750267923196876e-05,0.0006988414979809352,0.00015499935179864936,0.07716979630632899,0.058381439308003935,0.0006988414979809352,0.0009389091685152157,0.07716979630632899,0.058381439308003935,0.024554553870735418,1.859164718105257e-05,0.00017358811728644002,0.0003300947146831069,0.059350087527388865,0.13193984966846645,0.15325467939282078,0.17230308614851442
3000.0,1000.0,0.001,1.0,4.0,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.029554466451491845,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0008734664872323572,0.0017461700307603958,0.0017461700307603958,0.0017461700307603958,0.0017461700307603958,0.0017461700307603958,0.0017461700307603958,0.008700412252210722,0.0002571360420221104,0.0002571360420221104,7.59951852741186e-06,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0005218015759097672,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.0002571360420221104,0.002319427473406315,0.000514205965100114,0.11399144833244201,0.08653876359592934,0.002319427473406315,0.002259478104814614,0.11399144833244201,0.08653876359592934,0.04017136569891863,6.677766984662389e-05,0.0005809492974705672,0.0011024477331213905,0.08966217818907869,0.19343290496910615,0.22583380670430667,0.2542789055757395
4000.0,1000.0,0.001,1.0,5.0,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.03921056084767682,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0015374680819893666,0.0030725723558755976,0.0030725723558755976,0.0030725723558755976,0.0030725723558755976,0.0030725723558755976,0.0030725723558755976,0.015268744397562269,0.00059869603126824,0.00059869603126824,2.347520716330594e-05,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.0012204807321495874,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00059869603126824,0.00539872758047177,0.0011970336255986236,0.14989507954437553,0.11414123686882359,0.00539872758047177,0.004265928009047153,0.14989507954437553,0.11414123686882359,0.0579166864230276,0.00016726942977055224,0.0013641028282372057,0.002582918699168259,0.12119949533499445,0.25292736688539286,0.29619533831271705,0.33409376025849225
5000.0,1000.0,0.001,1.0,6.0,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.048770575499285984,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.0023785690345315543,0.004751480478411076,0.004751480478411076,0.004751480478411076,0.004751480478411076,0.004751480478411076,0.004751480478411076,0.02353270689976436,0.001147703658557526,0.001147703658557526,5.597416793048656e-05,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.002349935851573535,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.001147703658557526,0.01033743828492754,0.0022940900934271856,0.18502142228504168,0.14126656521699263,0.01033743828492754,0.007034670247543626,0.18502142228504168,0.14126656521699263,0.07768969295532395,0.00034308491642040724,0.0026363879421396285,0.004980128451169273,0.15437606279517596,0.31083460637508925,0.3643756542012435,0.4116031757735308
6000.0,1000.0,0.001,1.0,7.0,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.05823546641575128,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.003391369548660095,0.00677123770990461,0.00677123770990461,0.00677123770990461,0.00677123770990461,0.00677123770990461,0.00677123770990461,0.03340078604103666,0.0019451103537524849,0.0019451103537524849,0.00011327440868088292,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.003999271428015844,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.0019451103537524849,0.017481711991403748,0.003886437253216695,0.21947461704322455,0.1679760138548589,0.017481711991403748,0.010631358972635147,0.21947461704322455,0.1679760138548589,0.09936896234730758,0.0006191221484046901,0.004503153222239534,0.008484415318237699,0.18945704705473607,0.36735065124948224,0.4302163605645211,0.4863114067600819
7000.0,1000.0,0.001,1.0,8.0,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.06760618009405173,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.0045705955869093555,0.009120300829799637,0.009120300829799637,0.009120300829799637,0.009120300829799637,0.009120300829799637,0.009120300829799637,0.04477725700131684,0.003027219300948665,0.003027219300948665,0.0002046587332441248,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.006248696060214884,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.003027219300948665,0.027116537267992288,0.0060452745452012945,0.2533264785950049,0.19431595833871754,0.027116537267992288,0.015110440652549965,0.2533264785950049,0.19431595833871754,0.12281423780799997,0.0010215591720567734,0.007060658111598816,0.013265234265289229,0.22656109687081513,0.4224936506089147,0.49341965273866134,0.5574957570503669
8000.0,1000.0,0.001,1.0,9.0,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.07688365361336424,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.005911096192939777,0.011787251327677366,0.011787251327677366,0.011787251327677366,0.011787251327677366,0.011787251327677366,0.011787251327677366,0.057563144530434644,0.00442566486497396,0.00442566486497396,0.00034026128448749434,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.009168999404645894,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.00442566486497396,0.03946004852276745,0.008831743220450853,0.2866206471981743,0.2203194342124389,0.03946004852276745,0.020514892571127256,0.2866206471981743,0.2203194342124389,0.14786865626876086,0.0015772598943539274,0.010395073160425932,0.01946876014545263,0.2656661006860207,0.4761413581669524,0.5536036316095833,0.624333687689261
9000.0,1000.0,0.001,1.0,10.0,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.08606881472877181,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.007407840868815648,0.014760805631293599,0.014760805631293599,0.014760805631293599,0.014760805631293599,0.014760805631293599,0.014760805631293599,0.07165713871429844,0.0061674449959948545,0.0061674449959948545,0.000530824680710172,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.01282114982205858,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.0061674449959948545,0.05465926074089473,0.01229685261421109,0.3193766223969972,0.24600767079371816,0.05465926074089473,0.026876146794189655,0.3193766223969972,0.24600767079371816,0.17436134652033303,0.002313198099052384,0.014581605657171953,0.027215802528453754,0.30661920474553195,0.5280688211688479,0.6103553769747757,0.6860237025106701
