Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,SRAM_SEL,MCU_SEFI,LREG_SEGR,MCU_SEL
54.93028,0.0,0.0,3.2447034373495054e-05,0.0,3.4454675204242946e-05,2.9674322310491164e-07,1.1882961281628468e-10,3.445467595852847e-05
54.94722,0.0,0.0,3.246897909991997e-05,0.0,3.0512560214912554e-05,2.632523452561486e-07,1.0557776874975389e-10,3.051256089459109e-05
54.96389,0.0,0.0,3.248735402827663e-05,0.0,2.5676594795576158e-05,2.2193733628661505e-07,8.948553009702209e-11,2.567659536611977e-05
54.98028,0.0,0.0,3.250264920112711e-05,0.0,2.151153435459019e-05,1.8629985976126306e-07,7.583988992365676e-11,2.1511534820994882e-05
54.99722,0.0,0.0,3.2515999394244766e-05,0.0,1.8924828371957858e-05,1.642323707029547e-07,6.779621308794503e-11,1.8924828762534318e-05
55.01361,0.0,0.0,3.2526855517855946e-05,0.0,1.553620366356867e-05,1.351161690310576e-07,5.6833315831283926e-11,1.5536203959332084e-05
55.03056,0.0,0.0,3.253624471305505e-05,0.0,1.3588235463046772e-05,1.1844423930540415e-07,5.102573918946973e-11,1.3588235691863737e-05
55.04694,0.0,0.0,3.254379845979427e-05,0.0,1.1074393327259457e-05,9.676328405205936e-08,4.292299848884795e-11,1.1074393482468636e-05
55.06389,0.0,0.0,3.255027965776147e-05,0.0,9.642778266316654e-06,8.44660739129921e-08,3.8792746792637445e-11,9.642778368013083e-06
55.08028,0.0,0.0,3.255544478725225e-05,0.0,7.814143956452746e-06,6.862985812983169e-08,3.283373573026438e-11,7.814144006190737e-06
55.09722,0.0,0.0,3.25598259058868e-05,0.0,6.752465858794743e-06,5.947006653794773e-08,2.9814928304006116e-11,6.752465868675728e-06
55.11389,0.0,0.0,3.2563349013470244e-05,0.0,5.542654240797695e-06,4.8956598885929736e-08,2.587718928026561e-11,5.542654217705056e-06
55.13028,0.0,0.0,3.2566164707870104e-05,0.0,4.530654705625636e-06,4.013939325364646e-08,2.25093277350652e-11,4.5306546579970686e-06
55.14722,0.0,0.0,3.256852079736028e-05,0.0,3.884378840912639e-06,3.452209851317889e-08,2.0654256083219025e-11,3.8843787728559676e-06
55.16361,0.0,0.0,3.257036143267111e-05,0.0,3.1139782561417917e-06,2.7764887833292562e-08,1.7809420604919524e-11,3.1139781778710685e-06
55.18056,0.0,0.0,3.257189294131324e-05,0.0,2.6629402418709702e-06,2.382264774336562e-08,1.646327518756152e-11,2.6629401531641506e-06
55.19694,0.0,0.0,3.257308098786327e-05,0.0,2.125912926254081e-06,1.9083410851550298e-08,1.4269030401692362e-11,2.125912837103172e-06
55.21389,0.0,0.0,3.257406613577096e-05,0.0,1.816346783312106e-06,1.6361385801744177e-08,1.3286927114108948e-11,1.8163466904974612e-06
55.23028,0.0,0.0,3.257482854857052e-05,0.0,1.4498719670408278e-06,1.3106474017199332e-08,1.1599277094376248e-11,1.4498718791111642e-06
55.24722,0.0,0.0,3.257545826090835e-05,0.0,1.2364431720701674e-06,1.1217355377901583e-08,1.0854650511760155e-11,1.23644308491766e-06
55.26389,0.0,0.0,3.2575953730462626e-05,0.0,1.005169082635149e-06,9.152195890038684e-09,9.705791725878044e-12,1.0051690014778458e-06
55.28028,0.0,0.0,3.2576343004353525e-05,0.0,8.166089021655054e-07,7.462544582281794e-09,8.695599795771614e-12,8.166088277805628e-07
55.29722,0.0,0.0,3.2576664976191605e-05,0.0,6.987230324329019e-07,6.4086400630714024e-09,8.217759805972946e-12,6.987229613786283e-07
55.31361,0.0,0.0,3.257691433744547e-05,0.0,5.601368225915948e-07,5.156462812294649e-09,7.290168468898628e-12,5.60136759530927e-07
55.33056,0.0,0.0,3.2577120903598544e-05,0.0,4.805162323595624e-07,4.439848044768269e-09,6.931788476549627e-12,4.805161729626306e-07
55.34694,0.0,0.0,3.257728123234882e-05,0.0,3.8627221177200965e-07,3.5821666743984792e-09,6.179279310458696e-12,3.862721598135721e-07
55.36389,0.0,0.0,3.257741478573939e-05,0.0,3.332970680558489e-07,3.102190615500433e-09,5.916156453622534e-12,3.3329701942808043e-07
55.38028,0.0,0.0,3.2577518931209415e-05,0.0,2.6927009155741644e-07,2.5153865657046026e-09,5.306977080010711e-12,2.692700493689415e-07
55.39722,0.0,0.0,3.257760599550963e-05,0.0,2.332058254284064e-07,2.1863592047921543e-09,5.1030291103870695e-12,2.3320578623753363e-07
55.41389,0.0,0.0,3.257767552355961e-05,0.0,1.9290899733181988e-07,1.815026240414852e-09,4.685363208523086e-12,1.929089626928615e-07
55.43028,0.0,0.0,3.257773119980101e-05,0.0,1.5997794500233198e-07,1.5104931749831962e-09,4.310329870804708e-12,1.599779144711988e-07
55.44722,0.0,0.0,3.257777821469299e-05,0.0,1.398782127903786e-07,1.325317078304522e-09,4.178879464689089e-12,1.3987818459071377e-07
55.46361,0.0,0.0,3.257781553639427e-05,0.0,1.1493084361990924e-07,1.0926768378993756e-09,3.803179993155936e-12,1.149308191950027e-07
55.48056,0.0,0.0,3.257784734628233e-05,0.0,1.0134421768448476e-07,9.667435740823294e-10,3.7095881921800355e-12,1.0134419503593506e-07
55.49694,0.0,0.0,3.257787278271307e-05,0.0,8.380773364180527e-08,8.021000530433753e-10,3.3893998718781404e-12,8.380771410188004e-08
