Run,Full,Minimal
318,['A'],['A']
319,['B'],['B']
320,['A'],['A']
321,['B'],['B']
322,['B'],['B']
323,['A'],['A']
324,['A'],['A']
325,['A'],['A']
326,['B'],['B']
327,['B'],['B']
328,['B'],['B']
329,['A'],['A']
330,['B'],['B']
331,['A'],['A']
332,['B'],['B']
333,['B'],['B']
334,['A'],['A']
335,['B'],['B']
336,['A'],['A']
337,['B'],['B']
338,['A'],['A']
339,['A'],['A']
340,['B'],['B']
341,['B'],['B']
342,['A'],['A']
343,['B'],['B']
344,['A'],['A']
345,['B'],['B']
346,['A'],['A']
347,['B'],['B']
348,['B'],['B']
349,['B'],['B']
350,['B'],['B']
351,['A'],['A']
352,['B'],['B']
353,['B'],['B']
354,['A'],['A']
355,['A'],['A']
356,['A'],['A']
357,['A'],['A']
358,['B'],['B']
359,['A'],['A']
360,['B'],['B']
361,['B'],['B']
362,['A'],['A']
363,['A'],['A']
364,['B'],['B']
365,['B'],['B']
366,['B'],['B']
367,['B'],['B']
368,['A'],['A']
369,['B'],['B']
370,['A'],['A']
371,['B'],['B']
372,['B'],['B']
373,['B'],['B']
374,['B'],['B']
375,['B'],['B']
376,['B'],['B']
377,['B'],['B']
378,['A'],['A']
379,['B'],['B']
380,['B'],['B']
381,['B'],['B']
382,['B'],['B']
383,['B'],['B']
384,['A'],['A']
385,['A'],['A']
386,['A'],['A']
387,['B'],['B']
388,['B'],['B']
389,['A'],['A']
390,['B'],['B']
391,['B'],['B']
392,['B'],['B']
393,['A'],['A']
394,['B'],['B']
395,['B'],['B']
396,['A'],['A']
397,['A'],['A']
398,['B'],['B']
399,['B'],['B']
400,['B'],['B']
401,['A'],['A']
402,['B'],['B']
403,['B'],['B']
404,['B'],['B']
405,['A'],['A']
406,['B'],['B']
407,['A'],['A']
408,['B'],['B']
409,['B'],['B']
410,['B'],['B']
411,['B'],['B']
412,['B'],['B']
413,['A'],['A']
414,['A'],['A']
415,['A'],['A']
416,['A'],['A']
417,['B'],['B']
418,['A'],['A']
419,['B'],['B']
420,['B'],['B']
421,['A'],['A']
422,['A'],['A']
423,['B'],['B']
424,['A'],['A']
425,['A'],['A']
426,['A'],['A']
427,['A'],['A']
428,['A'],['A']
429,['A'],['A']
430,['A'],['A']
431,['B'],['B']
432,['A'],['A']
433,['A'],['A']
434,['A'],['A']
435,['A'],['A']
436,['B'],['B']
437,['B'],['B']
438,['B'],['B']
439,['A'],['A']
440,['A'],['A']
441,['B'],['B']
442,['A'],['A']
443,['A'],['A']
444,['A'],['A']
445,['B'],['B']
446,['A'],['A']
447,['B'],['B']
448,['A'],['A']
449,['A'],['A']
450,['B'],['B']
451,['A'],['A']
452,['B'],['B']
453,['A'],['A']
454,['B'],['B']
455,['B'],['B']
456,['B'],['B']
457,['A'],['A']
458,['A'],['A']
459,['A'],['A']
460,['B'],['B']
461,['A'],['A']
462,['B'],['B']
463,['B'],['B']
464,['B'],['B']
465,['A'],['A']
466,['A'],['A']
467,['B'],['B']
468,['B'],['B']
469,['B'],['B']
470,['B'],['B']
471,['B'],['B']
472,['A'],['A']
473,['A'],['A']
474,['B'],['B']
475,['B'],['B']
476,['B'],['B']
477,['B'],['B']
478,['A'],['A']
479,['A'],['A']
480,['A'],['A']
481,['A'],['A']
482,['B'],['B']
483,['A'],['A']
484,['B'],['B']
485,['B'],['B']
486,['B'],['B']
487,['A'],['A']
488,['A'],['A']
489,['A'],['A']
490,['A'],['A']
491,['B'],['B']
492,['B'],['B']
493,['B'],['B']
494,['A'],['A']
495,['A'],['A']
