Time (s),A,B,Z
0.0,0.0,0.0,0.0
20000.0,0.0,0.001339102600882991,0.001339102600882991
40000.0,0.0,0.0026764120059903362,0.0026764120059903362
60000.0,0.0,0.004011930616595105,0.004011930616595105
80000.0,0.0,0.005345660830754939,0.005345660830754939
100000.0,0.0,0.006677605043316048,0.006677605043316048
120000.0,0.0,0.008007765645917875,0.008007765645917875
140000.0,0.0,0.0093361450269972,0.0093361450269972
160000.0,0.0,0.010662745571792365,0.010662745571792365
180000.0,0.0,0.011987569662347708,0.011987569662347706
200000.0,0.0,0.013310619677517566,0.013310619677517566
220000.0,0.0,0.014631897992971044,0.014631897992971044
240000.0,0.0,0.015951406981195904,0.015951406981195904
260000.0,0.0,0.01726914901150267,0.01726914901150267
280000.0,0.0,0.0185851264500293,0.0185851264500293
300000.0,0.0,0.019899341659745384,0.019899341659745384
320000.0,0.0,0.021211797000455945,0.021211797000455945
340000.0,0.0,0.022522494828806305,0.022522494828806305
360000.0,0.0,0.023831437498285646,0.023831437498285646
380000.0,0.0,0.025138627359232002,0.025138627359232
400000.0,0.0,0.026444066758835594,0.026444066758835594
420000.0,0.0,0.027747758041143933,0.02774775804114393
440000.0,0.0,0.029049703547065486,0.029049703547065486
460000.0,0.0,0.030349905614373673,0.030349905614373673
480000.0,0.0,0.03164836657771197,0.03164836657771197
500000.0,0.0,0.03294508876859714,0.03294508876859714
520000.0,0.0,0.03424007451542377,0.03424007451542377
540000.0,0.0,0.035533326143468824,0.035533326143468824
560000.0,0.0,0.036824845974895104,0.036824845974895104
580000.0,0.0,0.038114636328756,0.038114636328756
600000.0,0.0,0.03940269952099951,0.03940269952099951
620000.0,0.0,0.04068903786447209,0.04068903786447209
640000.0,0.0,0.04197365366892336,0.04197365366892336
660000.0,0.0,0.043256549241009856,0.043256549241009856
680000.0,0.0,0.04453772688429902,0.04453772688429902
700000.0,0.0,0.045817188899273775,0.045817188899273775
720000.0,0.0,0.047094937583336716,0.047094937583336716
740000.0,0.0,0.04837097523081346,0.04837097523081346
760000.0,0.0,0.049645304132957646,0.049645304132957646
780000.0,0.0,0.050917926577954575,0.05091792657795457
800000.0,0.0,0.052188844850925564,0.05218884485092557
820000.0,0.0,0.0534580612339316,0.053458061233931604
840000.0,0.0,0.054725578005978104,0.054725578005978104
860000.0,0.0,0.05599139744301851,0.05599139744301851
880000.0,0.0,0.057255521817958455,0.057255521817958455
900000.0,0.0,0.05851795340066013,0.058517953400660135
