Time (s),dose,MCU_SEFI,SRAM_SEL,LREG_SEGR,MCU_SEL,DOSE (rad)
0.0,,0.00012768084763614416,0.016481985646136295,9.077807642958762e-06,0.01703510456795629,0.026004101703778336
59.0,,0.0001400079152545277,0.01801536759744182,9.96514393815668e-06,0.01862053786904484,0.028157232362837386
120.0,,0.00016218780841787225,0.020761944027977652,1.1564624394207553e-05,0.02146046430435537,0.031964555471306715
179.0,,0.0001961856187764757,0.02494489489576557,1.4022942082174717e-05,0.025785832637639332,0.03765782030466965
240.0,,0.00024665325022379085,0.03110352719660292,1.768521817661002e-05,0.03215460050903288,0.04584893494833797
299.0,,0.00031828313544809256,0.03975968649304817,2.2906604846033966e-05,0.04110683945018983,0.05705328900790851
360.0,,0.00041528981550994256,0.05135446236948509,3.0016191386643894e-05,0.0530992481034051,0.07161613392342568
419.0,,0.0005399266593973908,0.06607632358325857,3.920862045079572e-05,0.0683273089046928,0.08952615650376045
480.0,,0.0006871014636548324,0.08324826778669965,5.014091487957612e-05,0.08609115888312979,0.10975175662481224
540.0,,0.0008505838329512588,0.10208663802516435,6.238104134337951e-05,0.10558032291446637,0.13123899937296893
599.0,,0.0010175078706470102,0.12107953935048935,7.498906746317697e-05,0.1252306351079025,0.15222233748716815
660.0,,0.001175516631451794,0.1388245625113188,8.704139095417738e-05,0.1435909082074254,0.171202392077034
719.0,,0.001314243494968722,0.15418591377017718,9.774284105440932e-05,0.15948565835612982,0.18707052220473797
780.0,,0.0014281172414572405,0.16658957266296623,0.00010664744309764784,0.1723206436373549,0.19936356582278364
839.0,,0.0015149756210848112,0.1758488380174369,0.00011356182348292381,0.1819024481793434,0.20802893320996735
900.0,,0.0015753908861505885,0.1820775917018244,0.00011850063397302982,0.18834876098153733,0.21330823078310898
959.0,,0.0016117709564606947,0.18558222938812433,0.00012162352500422767,0.19197655498707655,0.21560870600753515
1020.0,,0.0016271331873987686,0.18672343065542868,0.0001231431447346523,0.1931590440236847,0.21535737915414757
1080.0,,0.0016246444149785896,0.1858846451909551,0.00012327892248701751,0.1922930012050944,0.21302038129932457
1139.0,,0.0016076854763327217,0.1834527527666586,0.00012227966999785392,0.1897787931101681,0.2090182969289817
1200.0,,0.0015774625699441548,0.17957098646018213,0.00012023271442071797,0.18576460295331146,0.2035199699140086
1259.0,,0.001534963852801068,0.17435682282667544,0.00011721114666569287,0.1803719375325323,0.19666701878079668
1320.0,,0.0014811338597579085,0.16791780106455315,0.00011328776176747484,0.17371203669331034,0.18857835285429886
1379.0,,0.001417770324647482,0.16045969245634586,0.00010859983015598028,0.16599775122317056,0.1794882578652372
1440.0,,0.0013461801865255044,0.152126350902583,0.00010325070746925911,0.15737789849182585,0.16954669762424285
1499.0,,0.0012695018693123987,0.1432716791998297,9.748229267785787e-05,0.14821857536305066,0.15914771020005908
1560.0,,0.001187800344502331,0.13389261184263077,9.130627906129432e-05,0.13851663496887914,0.1482620455343379
1620.0,,0.001104474751082753,0.12436970450842035,8.498573915250668e-05,0.12866575565238073,0.13730836123946205
1679.0,,0.0010207187436821422,0.11482965406987007,7.861713974867857e-05,0.11879702154696956,0.12640960410759947
1740.0,,0.00093822202590262,0.10545659200101933,7.233390974200743e-05,0.10910092897840559,0.11575688111479654
1799.0,,0.000858417667733026,0.0964060942473685,6.624932490375471e-05,0.09973843513430543,0.10551047259970661
1860.0,,0.0007820340109292722,0.08775480953188922,6.042216181569195e-05,0.09078884824461843,0.09574372582404665
1919.0,,0.0007099811457630953,0.07960118724879303,5.492415178066465e-05,0.08235402660633843,0.08655763233918512
1980.0,,0.0006427081298942836,0.07199406143163754,4.978899371654527e-05,0.07448448990364255,0.07800602850919984
2039.0,,0.0005796733741227408,0.06487189625990838,4.497322010330543e-05,0.06711657380364427,0.0700236018282412
2100.0,,0.0005218258036052418,0.058341463094014216,4.054800108759041e-05,0.060360733441391576,0.06273150662710397
2160.0,,0.00046863577875745714,0.052342322166439186,3.64722963800501e-05,0.0541544478104558,0.05606136989663355
2219.0,,0.00041990514854692686,0.04685145192233789,3.2730919710116435e-05,0.048473907758237816,0.04998548096174385
2280.0,,0.00037529496693707894,0.041829955840108714,2.929825836061636e-05,0.043278882401516436,0.044457713131622174
2339.0,,0.0003341685779992426,0.03720552777593294,2.6125913558001327e-05,0.03849457624648796,0.03939517515148781
2400.0,,0.00029741274343760173,0.0330770913066601,2.328332218511221e-05,0.03422334502208035,0.034901636528153625
2459.0,,0.00026409237219496214,0.029338746149244713,2.069949605928662e-05,0.030355639202579294,0.030856583768716524
2520.0,,0.00023406225315588351,0.025973448799494838,1.836442093202739e-05,0.026873837603071996,0.02723687697389414
2579.0,,0.0002072168334921283,0.02296859264244319,1.627124667047646e-05,0.02376490952517996,0.024024081122107764
2640.0,,0.0001830731972274092,0.020269396072858648,1.4383631155122797e-05,0.02097218747413346,0.02115506170588852
2700.0,,0.000161478261418599,0.017858085189660138,1.2690818183424268e-05,0.018477291934712183,0.018606816515622904
