Time (s),LDO_TID,LDO_SEGR,MCU_TID,MCU_SEL,MCU_SEFI,WDT_TID,SRAM_TID,SRAM_SEL,LDO,WDT,Harden_SRAM_SEL,Harden_MCU_SEL,Harden_MCU_SEFI,SRAM,MCU,Payload
0.0,0.0,0.0010706077919743,0.0,0.8660303957904159,0.0149534105760719,0.0,0.0,0.8569948029311883,0.0010706077919743,0.0,0.0,0.0,0.0,0.0,0.0,0.0010706077919743
59.0,0.0,0.0008288746037704,0.0,0.4776717202530647,0.0115284201431729,0.0,0.0,0.4752994106436797,0.0008288746037704,0.0,0.0,0.0,0.0,0.0,0.0,0.0008288746037704
120.0,0.0,0.0006455828520860999,0.0,0.0609546893920343,0.008860559817780951,0.0,0.0,0.06454142188957884,0.0006455828520860999,0.0,0.0,0.0,0.0,0.0,0.0,0.0006455828520860999
179.0,0.0,0.0007645412475974,0.0,0.021011220277534826,0.010374941869187049,0.0,0.0,0.023102834036085318,0.0007645412475974,0.0,0.0,0.0,0.0,0.0,0.0,0.0007645412475974
240.0,0.0,0.0009499193633855001,0.0,0.005844859015001591,0.012705621589373349,0.0,0.0,0.006721560118297387,0.0009499193633855002,0.0,0.0,0.0,0.0,0.0,0.0,0.0009499193633855002
299.0,0.0,0.0012098008602234,0.0,0.0013006735450119544,0.015900967633053598,0.0,0.0,0.001574807605946471,0.0012098008602234,0.0,0.0,0.0,0.0,0.0,0.0,0.0012098008602234
360.0,0.0,0.00158193886055905,0.0,0.00018461135384850724,0.0203230360309443,0.0,0.0,0.00023861593022017624,0.00158193886055905,0.0,0.0,0.0,0.0,0.0,0.0,0.00158193886055905
419.0,0.0,0.00205626694720265,0.0,1.637452211672441e-05,0.025690605443498153,0.0,0.0,2.2927429965513557e-05,0.00205626694720265,0.0,0.0,0.0,0.0,0.0,0.0,0.00205626694720265
480.0,0.0,0.0026588597318871,0.0,6.42284167351459e-07,0.03204622512941126,0.0,0.0,1.000469908418733e-06,0.0026588597318871,0.0,0.0,0.0,0.0,0.0,0.0,0.0026588597318871
540.0,0.0,0.0033562509300766,0.0,1.1402165878138248e-08,0.0387438910830821,0.0,0.0,2.0284046609031492e-08,0.0033562509300766,0.0,0.0,0.0,0.0,0.0,0.0,0.0033562509300766
599.0,0.0,0.0040151518215618,0.0,5.974032379896244e-11,0.044002833958373996,0.0,0.0,1.2640077873271593e-10,0.0040151518215618,0.0,0.0,0.0,0.0,0.0,0.0,0.0040151518215618
660.0,0.0,0.00476374646022615,0.0,1.0591527654923993e-13,0.04909592812480924,0.0,0.0,2.763900219804327e-13,0.00476374646022615,0.0,0.0,0.0,0.0,0.0,0.0,0.00476374646022615
719.0,0.0,0.005393205199110301,0.0,0.0,0.05193380181186899,0.0,0.0,2.220446049250313e-16,0.005393205199110301,0.0,0.0,0.0,0.0,0.0,0.0,0.005393205199110301
780.0,0.0,0.0059403469788042,0.0,0.0,0.052932321893020995,0.0,0.0,0.0,0.0059403469788042,0.0,0.0,0.0,0.0,0.0,0.0,0.0059403469788042
839.0,0.0,0.00635240021225995,0.0,0.0,0.05220501275322012,0.0,0.0,0.0,0.00635240021225995,0.0,0.0,0.0,0.0,0.0,0.0,0.00635240021225995
