Time (s),MCU_SEFI,SRAM_SEL,LREG_SEGR,MCU_SEL,SRAM_TID,MCU_TID,LREG_TID,WDT_TID
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,0.014953410576071902,0.8569948029311883,0.0010706077919743668,0.8660303957904159,0.0,0.0,0.0,0.0
120.0,0.023056840286345807,0.9505988212873594,0.001657749207540806,0.9553434405061294,0.0,0.0,0.0,0.0
179.0,0.03267453021163385,0.9860776467103461,0.0023617734961465585,0.9879397745744845,0.0,0.0,0.0,0.0
240.0,0.04380672402471992,0.9968044893595299,0.00318683170273566,0.997365881061199,0.0,0.0,0.0,0.0
299.0,0.0580857733903805,0.9995207669469408,0.0042616122229175634,0.9996294926044875,0.0,0.0,0.0,0.0
360.0,0.07560865929082718,0.999954104571423,0.005606433423182423,0.999967228151223,0.0,0.0,0.0,0.0
419.0,0.09873184545226919,0.9999979988073812,0.00742548994403565,0.9999987153121846,0.0,0.0,0.0,0.0
480.0,0.12698987017782346,0.9999999594313541,0.00971896731758771,0.9999999771954565,0.0,0.0,0.0,0.0
540.0,0.16282429571109167,0.999999999747198,0.012743209407809852,0.9999999998805194,0.0,0.0,0.0,0.0
599.0,0.20447765234398763,0.9999999999994472,0.016431469177740944,0.9999999999997882,0.0,0.0,0.0,0.0
660.0,0.25082996362783966,0.9999999999999996,0.02077351305093345,0.9999999999999999,0.0,0.0,0.0,0.0
719.0,0.3026695085936061,1.0,0.025958962098193233,1.0,0.0,0.0,0.0,0.0
780.0,0.3546975672515776,1.0,0.03155992344915409,0.9999999999999999,0.0,0.0,0.0,0.0
839.0,0.4085341523796481,1.0,0.03783965605580164,1.0,0.0,0.0,0.0,0.0
900.0,0.4591075927580178,1.0,0.044264723873673965,1.0,0.0,0.0,0.0,0.0
959.0,0.5086672791747262,1.0,0.05114838390273009,1.0,0.0,0.0,0.0,0.0
1020.0,0.5532375368479295,1.0,0.05793277114587464,0.9999999999999999,0.0,0.0,0.0,0.0
1080.0,0.5954513801847927,1.0,0.06498281536245314,1.0,0.0,0.0,0.0,0.0
1139.0,0.6330251703308182,1.0,0.0718733747858067,1.0,0.0,0.0,0.0,0.0
1200.0,0.6662341101591186,1.0,0.07854524875737033,1.0,0.0,0.0,0.0,0.0
1259.0,0.6968539805434684,0.9999999999999999,0.08527865587572377,1.0,0.0,0.0,0.0,0.0
1320.0,0.7231013002272787,0.9999999999999999,0.09158255031517282,1.0,0.0,0.0,0.0,0.0
1379.0,0.7470219897191414,1.0,0.09783857647393553,0.9999999999999999,0.0,0.0,0.0,0.0
1440.0,0.7673223265865369,1.0,0.10360059706901968,1.0,0.0,0.0,0.0,0.0
1499.0,0.7856656608060288,0.9999999999999999,0.10922864115278151,1.0,0.0,0.0,0.0,0.0
1560.0,0.8011329485597775,1.0,0.11433716796330984,1.0,0.0,0.0,0.0,0.0
1620.0,0.8150323958155501,1.0,0.1192563174345713,1.0,0.0,0.0,0.0,0.0
1679.0,0.8268925998201593,1.0,0.12373592581540475,1.0,0.0,0.0,0.0,0.0
1740.0,0.8370098440096778,0.9999999999999999,0.12779098715943707,1.0,0.0,0.0,0.0,0.0
1799.0,0.8460761095015152,1.0,0.13163101668533345,0.9999999999999999,0.0,0.0,0.0,0.0
1860.0,0.8536777150158648,1.0,0.13501859451822212,0.9999999999999999,0.0,0.0,0.0,0.0
1919.0,0.8604940091301828,1.0,0.1382008332779191,0.9999999999999999,0.0,0.0,0.0,0.0
