Run,LDO_TID,LDO_SEGR,MCU_TID,MCU_SEL,MCU_SEFI,WDT_TID,SRAM_TID,SRAM_SEL,LDO,WDT,Harden_SRAM_SEL,Harden_MCU_SEL,Harden_MCU_SEFI,SRAM,MCU,Payload
32,464197.7166036072,36610.88782583631,947684.1902702949,10.496717184191791,37013.071575420094,inf,inf,54.03596540525303,36610.88782583631,inf,inf,inf,inf,inf,947684.1902702949,36610.88782583631
33,424504.8112508368,154218.2192323985,891424.7118083731,23.679745460995115,1119.4574160520563,inf,inf,27.895263177989925,154218.2192323985,inf,inf,inf,inf,inf,891424.7118083731,154218.2192323985
34,387446.54225567443,76160.53237084641,658566.7981216552,11.005754142737548,1303.1692277906507,inf,inf,47.128265336737115,76160.53237084641,inf,inf,inf,inf,inf,658566.7981216552,76160.53237084641
35,503166.94750076253,79346.05469357215,780981.0769087217,17.68514110523906,854.0708566452022,inf,inf,19.849817579472244,79346.05469357215,inf,inf,inf,inf,inf,780981.0769087217,79346.05469357215
36,428309.25623594265,78612.5159036552,777080.8370103157,23.441614536650054,1463.5927481622236,inf,inf,5.764401268101127,78612.5159036552,inf,inf,inf,inf,inf,777080.8370103157,78612.5159036552
37,427848.07028349093,2386.0375105306766,736231.9144659422,100.12775572515011,1157.6417710675478,inf,inf,17.890720455144393,2386.0375105306766,inf,inf,inf,inf,inf,736231.9144659422,2386.0375105306766
38,619163.3049371595,154420.32769871238,926252.5071774913,43.86681857706549,20.036817345867377,inf,inf,52.89885061381275,154420.32769871238,inf,inf,inf,inf,inf,926252.5071774913,154420.32769871238
39,789227.9584533666,351053.0439140343,886698.6277825438,51.20481279305249,1292.401307817465,inf,inf,72.1683021435481,351053.0439140343,inf,inf,inf,inf,inf,886698.6277825438,351053.0439140343
40,544194.7544951859,192780.51537609939,739301.6737396506,43.090830594054985,652.8558444090247,inf,inf,27.464289159080295,192780.51537609939,inf,inf,inf,inf,inf,739301.6737396506,192780.51537609939
41,464102.19294120703,231645.71465343417,930496.3600145648,43.67130686906051,370.0882932301007,inf,inf,6.7152590437047115,231645.71465343417,inf,inf,inf,inf,inf,930496.3600145648,231645.71465343417
42,503567.8398945973,192251.99956084538,933560.3285892144,15.18383200473063,270.37889368392297,inf,inf,78.86202495400485,192251.99956084538,inf,inf,inf,inf,inf,933560.3285892144,192251.99956084538
43,505756.7058736364,309082.99608392053,697552.3986157397,26.387647883440287,555.6963189683505,inf,inf,8.418612887879508,309082.99608392053,inf,inf,inf,inf,inf,697552.3986157397,309082.99608392053
44,505138.9752290254,844.524958905328,738945.1030209892,36.27163964875671,1197.798877356538,inf,inf,48.826762788661135,844.524958905328,inf,inf,inf,inf,inf,738945.1030209892,844.524958905328
45,309842.4439601843,389721.77361788944,931212.9212582968,18.51384253739661,661.053578369581,inf,inf,48.696059017390475,309842.4439601843,inf,inf,inf,inf,inf,931212.9212582968,309842.4439601843
46,579743.4944164422,1362.3561389857769,815332.159595233,33.74465127007601,1397.4977313613795,inf,inf,41.294208907365736,1362.3561389857769,inf,inf,inf,inf,inf,815332.159595233,1362.3561389857769
47,467895.23457943014,78613.80008011525,901155.1976905416,48.99899093110204,650.3571942602374,inf,inf,66.8449890935997,78613.80008011525,inf,inf,inf,inf,inf,901155.1976905416,78613.80008011525
48,582698.4420250732,79794.23167929925,884093.6637999086,40.2652012245406,1295.2962353984096,inf,inf,50.25732968365662,79794.23167929925,inf,inf,inf,inf,inf,884093.6637999086,79794.23167929925
49,464134.3055849814,39660.541510919924,583136.0538790639,41.6857964557033,551.8919625972891,inf,inf,17.313677082974948,39660.541510919924,inf,inf,inf,inf,inf,583136.0538790639,39660.541510919924
50,545393.1745462996,37476.26063816606,877185.0854648496,9.615480790986467,581.97907945115,inf,inf,45.061258208229994,37476.26063816606,inf,inf,inf,inf,inf,877185.0854648496,37476.26063816606
51,312595.28131139977,192176.21773094826,812361.2843144923,58.65880621669983,559.446462485149,inf,inf,142.1497519800037,192176.21773094826,inf,inf,inf,inf,inf,812361.2843144923,192176.21773094826
52,503351.5313777187,153634.03984214642,739653.8386175531,14.313938939201652,37540.910564926475,inf,inf,42.392676053325935,153634.03984214642,inf,inf,inf,inf,inf,739653.8386175531,153634.03984214642
53,542041.3349645273,37900.71021810371,736824.943607469,11.603165035309717,1423.9095345627845,inf,inf,23.716818782859818,37900.71021810371,inf,inf,inf,inf,inf,736824.943607469,37900.71021810371
54,505996.9733819214,39973.206772860016,899432.6502809235,40.67566076471117,1910.4843737892456,inf,inf,32.01664737277664,39973.206772860016,inf,inf,inf,inf,inf,899432.6502809235,39973.206772860016
55,580086.8674833272,38932.020638972775,827843.2903149063,37.89893810513686,1676.128300334696,inf,inf,1.3118945999148122,38932.020638972775,inf,inf,inf,inf,inf,827843.2903149063,38932.020638972775
56,309675.3556236635,156339.92582099058,932314.8379842279,39.17040908010092,1420.3449930964157,inf,inf,66.47149053240352,156339.92582099058,inf,inf,inf,inf,inf,932314.8379842279,156339.92582099058
57,658981.2217842881,40043.910877667644,878264.359533559,22.954483840538202,1152.1168996893202,inf,inf,11.72423071273898,40043.910877667644,inf,inf,inf,inf,inf,878264.359533559,40043.910877667644
58,389029.42542585643,40872.5471908034,860755.9992491337,54.696295089918635,738.5126052577061,inf,inf,15.521921565058243,40872.5471908034,inf,inf,inf,inf,inf,860755.9992491337,40872.5471908034
59,544430.8257638052,117590.5766588242,736368.5933487361,51.59212652202293,938.1524446602624,inf,inf,52.069161357799835,117590.5766588242,inf,inf,inf,inf,inf,736368.5933487361,117590.5766588242
60,619750.3250760037,75920.77028254543,930563.7090912273,20.546335516182406,798.9142769376201,inf,inf,51.69542199251301,75920.77028254543,inf,inf,inf,inf,inf,930563.7090912273,75920.77028254543
61,466654.96011976193,1188.9441516186441,660781.6300381602,24.374443821124366,879.5206147557902,inf,inf,45.72562022668948,1188.9441516186441,inf,inf,inf,inf,inf,660781.6300381602,1188.9441516186441
62,466690.483054272,78785.54615251618,622158.6850885374,41.84238240491556,1226.533610388328,inf,inf,58.03829703478126,78785.54615251618,inf,inf,inf,inf,inf,622158.6850885374,78785.54615251618
63,428228.7880844544,36835.57579834324,864166.392077031,50.02242876249218,899.1260221100702,inf,inf,41.78526480440149,36835.57579834324,inf,inf,inf,inf,inf,864166.392077031,36835.57579834324
64,622063.2773249134,233897.72304288458,870009.5331855,13.951279203449449,487.96634029844193,inf,inf,56.4890847375565,233897.72304288458,inf,inf,inf,inf,inf,870009.5331855,233897.72304288458
65,348028.03293693037,942.8777833038797,793191.9173057193,23.29373048374232,39377.95329660604,inf,inf,4.882352495328462,942.8777833038797,inf,inf,inf,inf,inf,793191.9173057193,942.8777833038797
66,425313.1657621298,114406.31100819973,811085.4049516179,5.472798851282867,35917.47528431495,inf,inf,58.30278298406055,114406.31100819973,inf,inf,inf,inf,inf,811085.4049516179,114406.31100819973
67,463575.97315199865,119272.94029105655,736652.5413624528,1.880500601871036,151.96646165084923,inf,inf,33.65793295813935,119272.94029105655,inf,inf,inf,inf,inf,736652.5413624528,119272.94029105655
68,425585.1606000093,234947.16926575973,738703.8299502976,4.111803460092528,967.9526128774681,inf,inf,38.73268856842674,234947.16926575973,inf,inf,inf,inf,inf,738703.8299502976,234947.16926575973
69,387278.01464692457,36857.74122400766,871289.2969189034,73.57294858722696,37779.4705448309,inf,inf,54.23703118205998,36857.74122400766,inf,inf,inf,inf,inf,871289.2969189034,36857.74122400766
70,544941.0472248526,230847.56265964248,739022.0304864822,53.24760484915028,1067.2177782834613,inf,inf,47.701984031042095,230847.56265964248,inf,inf,inf,inf,inf,739022.0304864822,230847.56265964248
71,388842.9991915939,115663.78255489065,580874.147799588,73.27489339455042,645.5052895252725,inf,inf,10.000949163882506,115663.78255489065,inf,inf,inf,inf,inf,580874.147799588,115663.78255489065
72,389516.79156376474,117719.97400171892,736217.4093206851,34.57087102156,751.6758243913023,inf,inf,48.0897271350036,117719.97400171892,inf,inf,inf,inf,inf,736217.4093206851,117719.97400171892
73,424304.7295458563,39893.78925577942,660806.7702319114,22.457896766782127,1093.6935252193475,inf,inf,24.454925082250632,39893.78925577942,inf,inf,inf,inf,inf,660806.7702319114,39893.78925577942
74,544647.4686499793,37750.86236917428,580277.1423962194,28.535897289904646,1425.6743542795311,inf,inf,41.77317536529002,37750.86236917428,inf,inf,inf,inf,inf,580277.1423962194,37750.86236917428
75,351500.31222847477,78830.57219316714,700834.3590339216,4.286111445940587,1835.5815017938828,inf,inf,23.534580928680647,78830.57219316714,inf,inf,inf,inf,inf,700834.3590339216,78830.57219316714
76,506683.1660155946,39233.98685638798,936884.3352598123,38.30455895765735,948.4860429476336,inf,inf,42.68546840667807,39233.98685638798,inf,inf,inf,inf,inf,936884.3352598123,39233.98685638798
77,428583.0223034079,76266.61664713513,739300.1415646069,121.47140241810638,547.0607916743858,inf,inf,11.062352733514343,76266.61664713513,inf,inf,inf,inf,inf,739300.1415646069,76266.61664713513
78,658222.8056071894,76454.27667362594,739156.4231698557,19.98783609557407,1086.1947217604097,inf,inf,6.945732130085482,76454.27667362594,inf,inf,inf,inf,inf,739156.4231698557,76454.27667362594
79,661375.0146814331,39690.08286895381,739906.1202955132,47.355729042023576,37326.79282751033,inf,inf,19.555050455022485,39690.08286895381,inf,inf,inf,inf,inf,739906.1202955132,39690.08286895381
80,543963.0724753333,272207.5827477253,580569.6369998531,30.125989447054472,1858.2587675610469,inf,inf,23.42932652071539,272207.5827477253,inf,inf,inf,inf,inf,580569.6369998531,272207.5827477253
81,466724.6086440682,683.7804830743645,582979.879834136,11.036704726738629,1171.7469112609783,inf,inf,45.52849227355569,683.7804830743645,inf,inf,inf,inf,inf,582979.879834136,683.7804830743645
82,424941.19678003347,117537.91144018354,661298.6635814984,69.37197397516081,1109.3164733670076,inf,inf,40.61174801525586,117537.91144018354,inf,inf,inf,inf,inf,661298.6635814984,117537.91144018354
83,351289.35798503266,36629.56342861131,943237.9030440985,7.602416130019154,738.3077858951692,inf,inf,53.65496961606522,36629.56342861131,inf,inf,inf,inf,inf,943237.9030440985,36629.56342861131
84,505971.21884276235,37577.5231228894,735752.2505529481,51.7404855319704,941.7970503038725,inf,inf,56.19776630230266,37577.5231228894,inf,inf,inf,inf,inf,735752.2505529481,37577.5231228894
85,389714.21775792533,154330.02498842406,927612.3301589356,62.65172670712447,799.9026946264875,inf,inf,48.34547544897871,154330.02498842406,inf,inf,inf,inf,inf,927612.3301589356,154330.02498842406
86,505319.8579532136,346788.11617610656,905715.1526811535,57.648276634033344,806.8555956019819,inf,inf,32.31576000235041,346788.11617610656,inf,inf,inf,inf,inf,905715.1526811535,346788.11617610656
87,425508.17236402753,268825.4951658987,543300.9599733858,5.4976549041910445,881.8819600162694,inf,inf,54.44956493762529,268825.4951658987,inf,inf,inf,inf,inf,543300.9599733858,268825.4951658987
88,506010.91289978696,36918.03552121101,661508.56453257,15.459407431871371,575.1622744886624,inf,inf,19.523321188538322,36918.03552121101,inf,inf,inf,inf,inf,661508.56453257,36918.03552121101
89,466900.4727780005,192681.6916911192,774440.3482119951,21.45464703647291,727.8144637906028,inf,inf,157.208221087335,192681.6916911192,inf,inf,inf,inf,inf,774440.3482119951,192681.6916911192
90,506158.66005185747,920.7210444262022,882342.2160121604,34.48184092780239,442.2361013284622,inf,inf,11.633714436099863,920.7210444262022,inf,inf,inf,inf,inf,882342.2160121604,920.7210444262022
91,738206.537015947,37305.048792258815,851180.3109072607,84.43324572335543,838.7295487320157,inf,inf,56.09366589175085,37305.048792258815,inf,inf,inf,inf,inf,851180.3109072607,37305.048792258815
92,506493.1484519703,39593.105102512556,699373.5981314301,34.27363643012394,1055.5683490759868,inf,inf,15.38960451117889,39593.105102512556,inf,inf,inf,inf,inf,699373.5981314301,39593.105102512556
93,427707.9866945725,192319.83935155545,945196.5645365012,13.055965129131328,981.2396670412044,inf,inf,2.0866531944562103,192319.83935155545,inf,inf,inf,inf,inf,945196.5645365012,192319.83935155545
94,661201.5251803868,79034.67897302928,662066.873686818,38.410219856628615,722.8410208651729,inf,inf,40.57201204452108,79034.67897302928,inf,inf,inf,inf,inf,662066.873686818,79034.67897302928
95,619376.4213603922,39092.85820854825,699794.2324563832,23.338926122051163,768.9634210367647,inf,inf,39.9951546404878,39092.85820854825,inf,inf,inf,inf,inf,699794.2324563832,39092.85820854825
96,386743.5763970862,192560.6337986522,895537.345331152,30.117050344717455,684.1839803008972,inf,inf,27.090302202096733,192560.6337986522,inf,inf,inf,inf,inf,895537.345331152,192560.6337986522
97,621895.1713613179,1174.0486587867497,941767.1081571629,3.0432699993338135,629.9039446965247,inf,inf,26.46694745136995,1174.0486587867497,inf,inf,inf,inf,inf,941767.1081571629,1174.0486587867497
98,350822.96586290223,75416.5420034102,774726.658845049,64.48769028665811,1297.3867827571617,inf,inf,12.07261454296641,75416.5420034102,inf,inf,inf,inf,inf,774726.658845049,75416.5420034102
99,429158.3300059421,36510.978352897204,807250.9547298313,86.28356110882046,708.7359065344866,inf,inf,39.591641014608626,36510.978352897204,inf,inf,inf,inf,inf,807250.9547298313,36510.978352897204
100,463856.48472013936,1994.2721332406081,897526.8641323566,28.57602945412372,1315.4259941988885,inf,inf,16.73247087356652,1994.2721332406081,inf,inf,inf,inf,inf,897526.8641323566,1994.2721332406081
101,466235.49520364037,114724.54167873225,736205.1258708136,51.33679312502305,1417.0465807543737,inf,inf,45.65111079875657,114724.54167873225,inf,inf,inf,inf,inf,736205.1258708136,114724.54167873225
102,464154.86899775895,270312.245194933,819684.116697372,239.8983965621922,1238.9602415725126,inf,inf,57.224227088854626,270312.245194933,inf,inf,inf,inf,inf,819684.116697372,270312.245194933
103,427799.33946332056,117745.96166369527,783835.0261076684,34.28074232783191,2009.7277874526148,inf,inf,34.014792572417846,117745.96166369527,inf,inf,inf,inf,inf,783835.0261076684,117745.96166369527
104,311804.93359194713,153678.3105169126,920366.8788286067,7.2612944383955575,1120.5540921314762,inf,inf,33.16536280178735,153678.3105169126,inf,inf,inf,inf,inf,920366.8788286067,153678.3105169126
105,427532.5898863111,702.8325572761781,659014.8355613298,33.33134169905523,750.2798760663642,inf,inf,32.740949816462894,702.8325572761781,inf,inf,inf,inf,inf,659014.8355613298,702.8325572761781
106,505357.2632529939,117255.32545242386,736478.6337161027,112.96966373234318,887.2669550397782,inf,inf,49.36218909227947,117255.32545242386,inf,inf,inf,inf,inf,736478.6337161027,117255.32545242386
107,464580.3347472637,40363.00671790974,906732.5906974039,21.923475432572673,2054.681546337613,inf,inf,47.32923054612259,40363.00671790974,inf,inf,inf,inf,inf,906732.5906974039,40363.00671790974
108,389134.9778766232,114787.15999495742,847879.5569715495,52.75547420823058,639.1327033597258,inf,inf,15.215698112095595,114787.15999495742,inf,inf,inf,inf,inf,847879.5569715495,114787.15999495742
109,425138.4385463695,37457.677277384944,735937.832565775,86.61046494890424,3567.790787240431,inf,inf,47.62851361631092,37457.677277384944,inf,inf,inf,inf,inf,735937.832565775,37457.677277384944
110,466064.5733572072,153337.03292033786,919361.7040221345,56.58721409353312,998.5034440469267,inf,inf,58.71326538513598,153337.03292033786,inf,inf,inf,inf,inf,919361.7040221345,153337.03292033786
111,348523.4055771064,77081.5721599401,816683.1867011341,20.012786420590068,37234.60663876769,inf,inf,55.33694086108101,77081.5721599401,inf,inf,inf,inf,inf,816683.1867011341,77081.5721599401
112,541948.0303910162,117354.0094263837,774354.0241280794,10.884751046005096,37530.730158603306,inf,inf,3.3461551885687517,117354.0094263837,inf,inf,inf,inf,inf,774354.0241280794,117354.0094263837
113,312443.28683645604,37365.658164619286,808160.2855214003,38.58624568295687,1506.8329906383915,inf,inf,16.456561049924286,37365.658164619286,inf,inf,inf,inf,inf,808160.2855214003,37365.658164619286
114,425224.0016193217,78485.37679594284,778353.7097170647,3.240050249315818,928.2615295848959,inf,inf,42.710243538471765,78485.37679594284,inf,inf,inf,inf,inf,778353.7097170647,78485.37679594284
115,427981.27110914997,78466.75379459545,583134.2466140017,53.33266319647124,36670.65330975949,inf,inf,43.32293754402495,78466.75379459545,inf,inf,inf,inf,inf,583134.2466140017,78466.75379459545
116,464996.0662265764,115323.71177155392,622412.6472104408,17.05072275968053,36701.64091909353,inf,inf,49.615299382770964,115323.71177155392,inf,inf,inf,inf,inf,622412.6472104408,115323.71177155392
117,583269.8531841994,311361.4663673655,700042.9696824098,100.16987084918384,1978.9482197773505,inf,inf,10.591936328878054,311361.4663673655,inf,inf,inf,inf,inf,700042.9696824098,311361.4663673655
118,464628.56281385425,39838.75227847758,544640.8120322607,0.21332074356173564,1613.6450715264102,inf,inf,54.011699070249215,39838.75227847758,inf,inf,inf,inf,inf,544640.8120322607,39838.75227847758
119,425574.4926460988,118468.70848494954,696734.1544051906,57.61531870504771,479.26386667721533,inf,inf,32.098245362883155,118468.70848494954,inf,inf,inf,inf,inf,696734.1544051906,118468.70848494954
120,350579.72079794516,35913.51543538792,850768.9667236188,34.22599969960349,427.9511976414468,inf,inf,50.95954147284926,35913.51543538792,inf,inf,inf,inf,inf,850768.9667236188,35913.51543538792
121,658605.4087557138,40383.70849532478,735332.2132038488,7.638921736847281,1112.177467404262,inf,inf,21.523113406618144,40383.70849532478,inf,inf,inf,inf,inf,735332.2132038488,40383.70849532478
122,467463.64410747803,75791.52230350228,775805.8640399958,18.08535086983398,470.5961335691991,inf,inf,24.78784582807803,75791.52230350228,inf,inf,inf,inf,inf,775805.8640399958,75791.52230350228
123,466602.12606744346,113098.55075977863,774988.7881891525,0.9082891448944355,755.9722758394227,inf,inf,33.45225442920914,113098.55075977863,inf,inf,inf,inf,inf,774988.7881891525,113098.55075977863
124,544823.5034056045,114947.91327005219,875423.7198909746,212.99969742888342,36566.60367908514,inf,inf,27.268054781830298,114947.91327005219,inf,inf,inf,inf,inf,875423.7198909746,114947.91327005219
125,351113.84984301706,79749.99800941304,840161.3830231958,55.16781055503829,1169.4232647904678,inf,inf,49.82400063467133,79749.99800941304,inf,inf,inf,inf,inf,840161.3830231958,79749.99800941304
126,386739.38855274103,1115.696000428411,658671.3225117748,78.91960099440408,728.0812047354366,inf,inf,23.26759293275295,1115.696000428411,inf,inf,inf,inf,inf,658671.3225117748,1115.696000428411
127,540707.1709543759,39701.916225102126,872403.5750245551,26.342984701302317,274.6511288239,inf,inf,51.981152441984996,39701.916225102126,inf,inf,inf,inf,inf,872403.5750245551,39701.916225102126
128,348516.96790576796,40070.288026048416,934838.2409309375,81.4627158860358,394.2297338548374,inf,inf,39.13853053497239,40070.288026048416,inf,inf,inf,inf,inf,934838.2409309375,40070.288026048416
129,502891.7077156516,153727.84191253275,621502.2007693194,56.98558516427752,539.0505077579646,inf,inf,48.327845277545265,153727.84191253275,inf,inf,inf,inf,inf,621502.2007693194,153727.84191253275
130,386898.7694794121,75313.44698295998,931746.3078501441,12.838676568517092,1491.4256125316203,inf,inf,9.328204223915629,75313.44698295998,inf,inf,inf,inf,inf,931746.3078501441,75313.44698295998
131,503092.2235726637,1118.807006722898,774636.3309683552,28.32542642943704,2432.0028809586674,inf,inf,3.7363632372767484,1118.807006722898,inf,inf,inf,inf,inf,774636.3309683552,1118.807006722898
132,467114.9741122908,1351.3187199183196,918084.5123139541,36.13669132740036,1855.669214361299,inf,inf,57.536229137545526,1351.3187199183196,inf,inf,inf,inf,inf,918084.5123139541,1351.3187199183196
133,427766.6614635597,1649.1492804357688,798783.2749999921,29.730768760012307,565.3982875070404,inf,inf,133.06604729790163,1649.1492804357688,inf,inf,inf,inf,inf,798783.2749999921,1649.1492804357688
134,311674.3079326213,39999.40234887419,658561.6084211606,56.95062841409753,541.4782010768109,inf,inf,57.75246831401933,39999.40234887419,inf,inf,inf,inf,inf,658561.6084211606,39999.40234887419
135,541413.2563304447,1148.2953404562923,739035.1196496682,9.349266348675258,1044.0787362518909,inf,inf,9.56826167398136,1148.2953404562923,inf,inf,inf,inf,inf,739035.1196496682,1148.2953404562923
136,463810.7167435198,37616.63340435306,806777.32456143,8.751033738670193,1650.6472777121285,inf,inf,1.7692617130527435,37616.63340435306,inf,inf,inf,inf,inf,806777.32456143,37616.63340435306
137,788300.826059783,1041.6716141095105,812620.7617402645,30.145025449403153,149.654758356516,inf,inf,10.536149499879944,1041.6716141095105,inf,inf,inf,inf,inf,812620.7617402645,1041.6716141095105
138,505464.9381036769,39.38136846578815,734872.915854268,29.802312373393537,501.5828767600888,inf,inf,6.328533229457261,39.38136846578815,inf,inf,inf,inf,inf,734872.915854268,39.38136846578815
139,468404.2043938693,76396.26318403195,816665.7177692965,36.420121115014034,1494.7074942023648,inf,inf,50.38973631460857,76396.26318403195,inf,inf,inf,inf,inf,816665.7177692965,76396.26318403195
140,541033.1810341916,75831.67267209296,891473.8070214391,47.06023214096059,35.93019105060111,inf,inf,109.73668186249076,75831.67267209296,inf,inf,inf,inf,inf,891473.8070214391,75831.67267209296
141,312109.8845861881,76243.29475044616,781890.3227423627,51.00034358857058,718.6347809680957,inf,inf,4.436712391014088,76243.29475044616,inf,inf,inf,inf,inf,781890.3227423627,76243.29475044616
142,619228.9253014459,40029.992660007614,850361.1003768356,5.504426009458352,1061.897151346707,inf,inf,104.5665550596411,40029.992660007614,inf,inf,inf,inf,inf,850361.1003768356,40029.992660007614
