time,rx-seu,rx-sefi,tx-seu,tx-sefi,gps-seu,gps-sefi,prop-seu,prop-segr,gyro-seu,supply-seu,supply-segr
5.57629080805742,1.9149568415595844e-05,2.226142976024897e-06,1.0945678955318277e-05,2.588819474118698e-06,1.8149814566800803e-05,1.1382135129472495e-06,2.047865108509864e-05,2.990263573253727e-07,1.0035136143433698e-05,2.992791632781199e-05,2.3565495215445578e-07
5.579069228988192,1.9143721692380352e-05,2.2257027237215094e-06,1.0940845784170092e-05,2.588383959043889e-06,1.8144397000158694e-05,1.1378232703877213e-06,2.047403929876958e-05,2.989760480093736e-07,1.0030902060918868e-05,2.9922036324282343e-05,2.3559517361886533e-07
5.581847649918963,1.913791403105812e-05,2.225265396785179e-06,1.0936045127471484e-05,2.5879513335488227e-06,1.8139015615706164e-05,1.1374356399992508e-06,2.0469458199103066e-05,2.989260724886792e-07,1.0026696434146584e-05,2.991619538936463e-05,2.3553579342037019e-07
5.584626070849733,1.913214541977887e-05,2.2248309946410996e-06,1.0931276970955669e-05,2.5875215971505356e-06,1.8133670402712054e-05,1.1370506208919328e-06,2.0464907779232924e-05,2.988764307074937e-07,1.0022519251186267e-05,2.9910393515432476e-05,2.35476811458572e-07
5.587404491780505,1.9126415846772015e-05,2.2243995167183117e-06,1.0926541300452442e-05,2.5870947493692857e-06,1.8128361350517318e-05,1.136668212181855e-06,2.0460388032338937e-05,2.98827122610394e-07,1.0018370500188046e-05,2.99046306949105e-05,2.3541822763374582e-07
5.590182912711276,1.9120725300346624e-05,2.2239709624497026e-06,1.0921838101888148e-05,2.5866707897285504e-06,1.8123088448535086e-05,1.1362884129910969e-06,2.045589895164687e-05,2.9877814814232937e-07,1.001425016938274e-05,2.989890692027426e-05,2.3536004184684012e-07
5.592961333642046,1.9115073768891395e-05,2.223545331271997e-06,1.0917167361285628e-05,2.586249717755041e-06,1.81178516862505e-05,1.1359112224477317e-06,2.0451440530428455e-05,2.9872950724862184e-07,1.0010158247081741e-05,2.9893222184050373e-05,2.3530225399947602e-07
5.595739754572818,1.9109461240874632e-05,2.2231226226257617e-06,1.0912529064764187e-05,2.585831532978687e-06,1.8112651053220808e-05,1.1355366396858193e-06,2.044701276200137e-05,2.9868119987496564e-07,1.0006094721677046e-05,2.9887576478816394e-05,2.352448639939475e-07
5.598518175503589,1.910388770484423e-05,2.2227028359554114e-06,1.0907923198539546e-05,2.585416234932639e-06,1.8107486539075323e-05,1.135164663845406e-06,2.0442615639729237e-05,2.986332259674275e-07,1.0002059581641238e-05,2.9881969797200794e-05,2.351878717332216e-07
5.601296596434359,1.9098353149427645e-05,2.222285970709194e-06,1.090334974892381e-05,2.585003823153276e-06,1.8102358133515333e-05,1.1347952940725253e-06,2.043824915702161e-05,2.985855854724462e-07,9.998052815527374e-06,2.9876402131883087e-05,2.3513127712093718e-07
5.604075017365131,1.9092857563331863e-05,2.2218720263391984e-06,1.0898808702325408e-05,2.5845942971801967e-06,1.8097265826314167e-05,1.134428529519192e-06,2.043391330733398e-05,2.9853827833683326e-07,9.994074411969038e-06,2.987087347559367e-05,2.3507508006140613e-07
5.606853438295902,1.9087400935343392e-05,2.2214610023013583e-06,1.0894300045249078e-05,2.584187656556216e-06,1.8092209607317142e-05,1.1340643693434006e-06,2.0429608084167726e-05,2.9849130450777183e-07,9.990124359680276e-06,2.986538382111387e-05,2.3501928045961197e-07
5.609631859226672,1.908198325432824e-05,2.221052898055438e-06,1.0889823764295807e-05,2.5837839008273794e-06,1.8087189466441517e-05,1.1337028127091276e-06,2.0425333481070146e-05,2.984446639328175e-07,9.986202647455527e-06,2.9859933161275966e-05,2.3496387822121048e-07
5.612410280157444,1.9076604509231858e-05,2.220647713065044e-06,1.0885379846162806e-05,2.583383029542949e-06,1.808220539367649e-05,1.1333438587863253e-06,2.0421089491634433e-05,2.9839835655989793e-07,9.982309264169651e-06,2.9854521488963146e-05,2.3490887325252942e-07
5.615188701088215,1.9071264689079175e-05,2.220245446797619e-06,1.0880968277643455e-05,2.5829850422554014e-06,1.807725737908323e-05,1.1329875067509195e-06,2.0416876109499654e-05,2.983523823373127e-07,9.978444198777887e-06,2.9849148797109462e-05,2.348542654605679e-07
5.617967122018985,1.9065963782974524e-05,2.2198460987244423e-06,1.087658904562728e-05,2.5825899385204426e-06,1.8072345412794754e-05,1.1326337557848126e-06,2.0412693328350763e-05,2.983067412137331e-07,9.974607440315766e-06,2.9843815078699937e-05,2.3480005475299675e-07
5.620745542949757,1.9060701780101655e-05,2.2194496683206257e-06,1.0872242137099893e-05,2.582197717896992e-06,1.806746948501599e-05,1.132282605075876e-06,2.040854114191857e-05,2.98261433138203e-07,9.970798977899142e-06,2.9838520326770438e-05,2.3474624103815826e-07
5.623523963880528,1.9055478669723677e-05,2.2190561550651224e-06,1.0867927539142981e-05,2.5818083799471844e-06,1.806262958602375e-05,1.1319340538179506e-06,2.040441954397974e-05,2.9821645806013727e-07,9.967018800724156e-06,2.9833264534407668e-05,2.3469282422506578e-07
5.626302384811298,1.9050294441183087e-05,2.2186655584407115e-06,1.086364523893425e-05,2.581421924236382e-06,1.8057825706166652e-05,1.131588101210847e-06,2.040032852835679e-05,2.9817181592932315e-07,9.963266898067152e-06,2.9828047694749286e-05,2.346398042234038e-07
5.62908080574207,1.904514908390169e-05,2.2182778779340115e-06,1.0859395223747381e-05,2.5810383503331583e-06,1.805305783586516e-05,1.1312447464603406e-06,2.039626808891807e-05,2.9812750669591935e-07,9.959543259284708e-06,2.9822869800983764e-05,2.3458718094352776e-07
5.631859226672841,1.9040042587380624e-05,2.2178931130354736e-06,1.0855177480952004e-05,2.5806576578093008e-06,1.8048325965611573e-05,1.1309039887781684e-06,2.039223821957776e-05,2.9808353031045645e-07,9.955847873813587e-06,2.9817730846350408e-05,2.3453495429646378e-07
5.634637647603611,1.9034974941200316e-05,2.217511263239377e-06,1.0850991998013667e-05,2.580279846239823e-06,1.8043630085969934e-05,1.1305658273820348e-06,2.0388238914295864e-05,2.9803988672383624e-07,9.952180731170676e-06,2.98126308241394e-05,2.344831241939088e-07
5.637416068534383,1.9029946135020458e-05,2.2171323280438347e-06,1.0846838762493777e-05,2.579904915202949e-06,1.8038970187576055e-05,1.1302302614956009e-06,2.038427016707818e-05,2.979965758873326e-07,9.948541820953e-06,2.980756972769175e-05,2.3443169054822988e-07
5.640194489465154,1.9024956158580012e-05,2.216756306950793e-06,1.0842717762049581e-05,2.5795328642801145e-06,1.803434626113755e-05,1.129897290348486e-06,2.038033197197632e-05,2.9795359775259054e-07,9.944931132837675e-06,2.980254755039925e-05,2.343806532724646e-07
5.642972910395924,1.9020005001697147e-05,2.216383199466025e-06,1.0838628984434127e-05,2.5791636930559797e-06,1.8029758297433715e-05,1.1295669131762696e-06,2.0376424323087683e-05,2.979109522716265e-07,9.941348656581867e-06,2.979756428570458e-05,2.343300122803209e-07
5.645751331326696,1.9015092654269253e-05,2.2160130050991326e-06,1.083457241749621e-05,2.5787974011184156e-06,1.802520628731557e-05,1.1292391292204842e-06,2.0372547214555452e-05,2.978686393968286e-07,9.937794382022776e-06,2.979261992710118e-05,2.3427976748617632e-07
5.648529752257467,1.9010219106272916e-05,2.2156457233635524e-06,1.0830548049180368e-05,2.578433988058502e-06,1.8020690221705867e-05,1.1289139377286143e-06,2.0368700640568585e-05,2.978266590809561e-07,9.93426829907762e-06,2.978771446813328e-05,2.3422991880507858e-07
5.651308173188237,1.900538434776388e-05,2.215281353776542e-06,1.082655586752682e-05,2.5780734534705413e-06,1.8016210091598983e-05,1.1285913379540997e-06,2.0364884595361805e-05,2.977850112771394e-07,9.930770397743566e-06,2.978284790239594e-05,2.3418046615274518e-07
5.654086594119009,1.900058836887703e-05,2.21491989585919e-06,1.0822595860671431e-05,2.5777157969520464e-06,1.8011765888060987e-05,1.128271329156328e-06,2.036109907321559e-05,2.9774369593888057e-07,9.927300668097741e-06,2.977802022353499e-05,2.3413140944556286e-07
5.65686501504978,1.8995831159826406e-05,2.214561349136414e-06,1.0818668016845697e-05,2.5773610181037377e-06,1.80073576022296e-05,1.127953910600633e-06,2.035734406845617e-05,2.977027130200525e-07,9.923859100297201e-06,2.9773231425246982e-05,2.340827486005882e-07
5.659643435980551,1.899111271090513e-05,2.2142057131369527e-06,1.0814772324376697e-05,2.5770091165295587e-06,1.8002985225314124e-05,1.1276390815583004e-06,2.035361957545551e-05,2.9766206247489945e-07,9.92044568457886e-06,2.9768481501279325e-05,2.3403448353554698e-07
5.662421856911322,1.8986433012485423e-05,2.213852987393376e-06,1.0810908771687046e-05,2.576660091836653e-06,1.7998648748595513e-05,1.1273268413065559e-06,2.0349925588631304e-05,2.976217442580364e-07,9.91706041125953e-06,2.976377044543011e-05,2.3398661416883393e-07
5.665200277842093,1.8981792055018574e-05,2.2135031714420773e-06,1.0807077347294885e-05,2.5763139436353853e-06,1.799434816342629e-05,1.1270171891285702e-06,2.0346262102446983e-05,2.9758175832444985e-07,9.913703270735838e-06,2.9759098251548198e-05,2.3393914041951318e-07
5.667978698772864,1.897718982903492e-05,2.2131562648232694e-06,1.0803278039813828e-05,2.575970671539329e-06,1.799008346123053e-05,1.1267101243134573e-06,2.0342629111411677e-05,2.9754210462949695e-07,9.910374253484206e-06,2.975446491353323e-05,2.3389206220731746e-07
5.670757119703635,1.897262632514383e-05,2.2128122670809975e-06,1.0799510837952948e-05,2.575630275165265e-06,1.7985854633503918e-05,1.126405646156268e-06,2.0339026610080224e-05,2.975027831289058e-07,9.90707335006087e-06,2.9749870425335517e-05,2.3384537945264828e-07
5.673535540634406,1.8968101534033675e-05,2.212471177763125e-06,1.0795775730516712e-05,2.5752927541331865e-06,1.798166167181363e-05,1.1261037539579928e-06,2.0335454593053177e-05,2.974637937787755e-07,9.903800551101799e-06,2.974531478095613e-05,2.3379909207657615e-07
5.676313961565177,1.896361544647183e-05,2.2121329964213364e-06,1.079207270640498e-05,2.5749581080663002e-06,1.797750456779836e-05,1.1258044470255611e-06,2.0331913054976758e-05,2.97425136535576e-07,9.900555847322675e-06,2.974079797444688e-05,2.3375320000083954e-07
5.679092382495948,1.8959168053304643e-05,2.211797722611144e-06,1.0788401754612953e-05,2.574626336591016e-06,1.7973383313168355e-05,1.1255077246718343e-06,2.0328401990542893e-05,2.973868113561479e-07,9.897339229518913e-06,2.973631999991023e-05,2.337077031478456e-07
5.681870803426719,1.8954759345457398e-05,2.211465355891878e-06,1.0784762864231148e-05,2.5742974393369567e-06,1.796929789970531e-05,1.1252135862156074e-06,2.032492139448915e-05,2.973488181977026e-07,9.894150688565582e-06,2.9731880851499384e-05,2.3366260144066977e-07
5.68464922435749,1.8950389313934334e-05,2.211135895826687e-06,1.0781156024445365e-05,2.5739714159369552e-06,1.7965248319262385e-05,1.124922030981611e-06,2.0321471261598786e-05,2.973111570178222e-07,9.890990215417395e-06,2.9727480523418258e-05,2.3361789480305524e-07
