Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,WDOG_TID,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,Harden MCU,Frozen MCU,WDOG,SRAM,Harden SRAM,Payload
28.83222,0.00024010677861227255,1.8057777495526553e-13,0.31314824889771187,0.0031576220314169243,0.0,0.0,0.30450267669972736,0.0,0.000240106778792807,0.0,0.0,0.31531706711930974,0.0,0.0,0.0,0.000240106778792807
28.89889,0.00024010728173910515,1.8179902028235298e-13,0.313148466007582,0.003157625177255597,0.0,0.0,0.3045028867861058,0.0,0.00024010728192086053,0.0,0.0,0.3153172857043531,0.0,0.0,0.0,0.00024010728192086053
28.96528,0.00024010774342327144,1.8302026560944042e-13,0.3131486638216046,0.003157628048552324,0.0,0.0,0.30450307822018163,0.0,0.0002401077436062478,0.0,0.0,0.31531748486590716,0.0,0.0,0.0,0.0002401077436062478
29.03194,0.00024010816695867827,1.8424151093652787e-13,0.31314884388133046,0.0031576306672216605,0.0,0.0,0.3045032524924179,0.0,0.00024010816714287555,0.0,0.0,0.31531766615570744,0.0,0.0,0.0,0.00024010816714287555
29.09889,0.00024010855232912032,1.854627562636153e-13,0.3131490063389633,0.003157633034912175,0.0,0.0,0.30450340974837464,0.0,0.00024010855251453857,0.0,0.0,0.31531782972660966,0.0,0.0,0.0,0.00024010855251453857
29.16556,0.00024010889706216964,1.8668400159070276e-13,0.313149150356323,0.0031576351386780432,0.0,0.0,0.30450354917429945,0.0,0.00024010889724880883,0.0,0.0,0.31531797473418877,0.0,0.0,0.0,0.00024010889724880883
29.23194,0.00024010920289712801,1.879052469177902e-13,0.313149276904306,0.003157636991819353,0.0,0.0,0.30450367170707343,0.0,0.00024010920308498816,0.0,0.0,0.31531810215541084,0.0,0.0,0.0,0.00024010920308498816
29.29861,0.0002401094745904919,1.8912649224487765e-13,0.31314938820489835,0.003157638625949376,0.0,0.0,0.3045037794948828,0.0,0.000240109474779573,0.0,0.0,0.31531821422695955,0.0,0.0,0.0,0.000240109474779573
29.36556,0.00024010971415072747,1.903477375719651e-13,0.31314948532850073,0.0031576400558745526,0.0,0.0,0.3045038735710364,0.0,0.00024010971434102949,0.0,0.0,0.3153183120260255,0.0,0.0,0.0,0.00024010971434102949
29.43222,0.0002401099223929868,1.9156898289905254e-13,0.3131495688691104,0.0031576412893567353,0.0,0.0,0.30450395450713724,0.0,0.00024010992258450975,0.0,0.0,0.31531839615006174,0.0,0.0,0.0,0.00024010992258450975
29.49889,0.00024011010327892643,1.9279022822613998e-13,0.31314964067026624,0.003157642352654011,0.0,0.0,0.30450402408544736,0.0,0.0002401101034716704,0.0,0.0,0.31531846845482137,0.0,0.0,0.0,0.0002401101034716704
29.56528,0.00024011025912946537,1.9401147355322743e-13,0.3131497018916315,0.0031576432620236154,0.0,0.0,0.30450408342597357,0.0,0.00024011025932343025,0.0,0.0,0.3153185301074723,0.0,0.0,0.0,0.00024011025932343025
29.63194,0.00024011039428209138,1.9523271888031487e-13,0.31314975445347654,0.003157644045143332,0.0,0.0,0.3045041343863985,0.0,0.00024011039447727724,0.0,0.0,0.3153185830412317,0.0,0.0,0.0,0.00024011039447727724
29.69889,0.00024011051152579208,1.9645396420740232e-13,0.31314979962736617,0.0031576447202177763,0.0,0.0,0.30450417819630915,0.0,0.00024011051172219888,0.0,0.0,0.31531862853615333,0.0,0.0,0.0,0.00024011051172219888
29.76556,0.00024011061260220012,1.9767520953448973e-13,0.31314983824971454,0.0031576452990764283,0.0,0.0,0.3045042156638021,0.0,0.00024011061279982784,0.0,0.0,0.31531866743413517,0.0,0.0,0.0,0.00024011061279982784
29.83194,0.00024011070017920683,1.9889645486157715e-13,0.31314987148326023,0.003157645798551463,0.0,0.0,0.30450424791399766,0.0,0.00024011070037805552,0.0,0.0,0.31531870090580566,0.0,0.0,0.0,0.00024011070037805552
29.89861,0.00024011077737889772,2.0011770018866457e-13,0.31314990063045206,0.0031576462377254544,0.0,0.0,0.3045042762084108,0.0,0.0002401107775789674,0.0,0.0,0.31531873026260765,0.0,0.0,0.0,0.0002401107775789674
29.96556,0.00024011084625313826,2.01338945515752e-13,0.3131499265628656,0.0031576466293297464,0.0,0.0,0.3045043013912016,0.0,0.00024011084645442885,0.0,0.0,0.3153187563821093,0.0,0.0,0.0,0.00024011084645442885
30.03222,0.00024011090819581177,2.0256019084283941e-13,0.3131499498888962,0.0031576469822096665,0.0,0.0,0.30450432405157973,0.0,0.0002401109083983233,0.0,0.0,0.3153187798768601,0.0,0.0,0.0,0.0002401109083983233
30.09889,0.0002401109653695574,2.0378143616992683e-13,0.3131499714986828,0.0031576473095393572,0.0,0.0,0.3045043450530905,0.0,0.00024011096557328992,0.0,0.0,0.315318801643237,0.0,0.0,0.0,0.00024011096557328992
30.16528,0.00024011101935672908,2.0500268149701425e-13,0.31314999206743194,0.003157647621285361,0.0,0.0,0.30450436505124295,0.0,0.0002401110195616825,0.0,0.0,0.31531882236116004,0.0,0.0,0.0,0.0002401110195616825
30.23194,0.00024011107251731617,2.0622392682410167e-13,0.31315001258769515,0.003157647932226006,0.0,0.0,0.3045043850109564,0.0,0.0002401110727234906,0.0,0.0,0.315318843030197,0.0,0.0,0.0,0.0002401110727234906
30.29889,0.00024011112706468285,2.074451721511891e-13,0.31315003404961045,0.003157648257039464,0.0,0.0,0.30450440589605315,0.0,0.0002401111272720782,0.0,0.0,0.3153188646474413,0.0,0.0,0.0,0.0002401111272720782
30.36556,0.0002401111853564876,2.0866641747827651e-13,0.31315005759368264,0.0031576486125103197,0.0,0.0,0.3045044288180643,0.0,0.0002401111855651039,0.0,0.0,0.31531888836132477,0.0,0.0,0.0,0.0002401111855651039
