Time (hr),LREG_SEGR,LREG_TID,MCU_SEL,MCU_SEFI,MCU_TID,SRAM_SEL,SRAM_TID,LREG,MCU,SRAM,Payload
0.0,0.0002696661825122696,0.0,0.5061169856134394,0.0037929026011238737,0.0,0.4896814718908527,0.0,0.0002696661825122696,0.5099109473611668,0.4896814718908527,1.0
0.01639,0.00027018792887239384,0.0,0.5060422561472261,0.003798067725673208,0.0,0.4895986035345894,0.0,0.00027018792887239384,0.5098425440970897,0.4895986035345894,1.0
0.03333,0.00027102249392082844,0.0,0.505953382397165,0.0038063941498745852,0.0,0.4894973550375518,0.0,0.00027102249392082844,0.5097633864767377,0.4894973550375518,1.0
0.04972,0.0002721417819128855,0.0,0.5058500665573892,0.0038175260327550846,0.0,0.4893780352390646,0.0,0.0002721417819128855,0.5096728283488453,0.4893780352390646,1.0
0.06667,0.0002736703068078712,0.0,0.5057166645176451,0.003832588218009455,0.0,0.489223520126516,0.0,0.0002736703068078712,0.5095566014262621,0.489223520126516,1.0
0.08306,0.00027553472845622386,0.0,0.5055513874928786,0.0038506924334988676,0.0,0.48903339809613283,0.0,0.00027553472845622386,0.5094120635505068,0.48903339809613283,1.0
0.1,0.0002778343350173494,0.0,0.5053301294967287,0.0038725728244143926,0.0,0.4887826140333711,0.0,0.0002778343350173494,0.5092162366608295,0.4887826140333711,1.0
0.11639,0.0002803515162900596,0.0,0.505053929033327,0.003895895553895351,0.0,0.48847533926227843,0.0,0.0002803515162900596,0.5089678210920714,0.48847533926227843,1.0
0.13333,0.00028309712706706846,0.0,0.5046934573302568,0.003920487469756804,0.0,0.4880822299321345,0.0,0.00028309712706706846,0.5086378030826306,0.4880822299321345,1.0
0.15,0.00028578959452862674,0.0,0.5042577344305677,0.003943588317727196,0.0,0.4876156439856077,0.0,0.00028578959452862674,0.5082323108094089,0.4876156439856077,1.0
0.16639,0.0002883149056722885,0.0,0.5037490651995509,0.003964136147169288,0.0,0.4870789901347032,0.0,0.0002883149056722885,0.5077525597349836,0.4870789901347032,1.0
0.18333,0.0002906821162451183,0.0,0.5031458946285993,0.003982133422949853,0.0,0.4864502809227975,0.0,0.0002906821162451183,0.5071773594669702,0.4864502809227975,1.0
0.19972,0.00029268478263094587,0.0,0.5024975264091841,0.003996079302932756,0.0,0.48578072131067296,0.0,0.00029268478263094587,0.5065536987587896,0.48578072131067296,1.0
0.21667,0.0002944449970478995,0.0,0.5017729831469881,0.004006988061117299,0.0,0.4850377422179461,0.0,0.0002944449970478995,0.5058521254186321,0.4850377422179461,1.0
0.23306,0.00029585923523764847,0.0,0.5010334423306467,0.004014441006677845,0.0,0.48428339518410696,0.0,0.00029585923523764847,0.5051323740324929,0.48428339518410696,1.0
0.25,0.0002970513951794476,0.0,0.5002420732467109,0.004019375147596411,0.0,0.4834794022428941,0.0,0.0002970513951794476,0.5043591580891194,0.4834794022428941,1.0
0.26639,0.00029797676650986625,0.0,0.49946175257783615,0.004021909410597394,0.0,0.4826890380831015,0.0,0.00029797676650986625,0.5035944162628692,0.4826890380831015,1.0
0.28333,0.00029873362477867983,0.0,0.4986503989684949,0.004022661532858889,0.0,0.48186913487353655,0.0,0.00029873362477867983,0.5027973827158371,0.48186913487353655,1.0
0.3,0.00029930800194329375,0.0,0.49785570193836215,0.0040219064338292915,0.0,0.48106749292901174,0.0,0.00029930800194329375,0.5020152193367046,0.48106749292901174,1.0
0.31639,0.0002997369427605694,0.0,0.49708471470570237,0.00402005363355958,0.0,0.4802907946658094,0.0,0.0002997369427605694,0.5012552681551126,0.4802907946658094,1.0
0.33333,0.00030006080395457327,0.0,0.4963048709641322,0.004017244826758241,0.0,0.47950598009007317,0.0,0.00030006080395457327,0.5004856460559759,0.47950598009007317,1.0
0.34972,0.0003002775883131587,0.0,0.49557240414334236,0.00401388006938413,0.0,0.4787694364644832,0.0,0.0003002775883131587,0.49976204503720445,0.4787694364644832,1.0
0.36667,0.00030041985262736857,0.0,0.4948430315776776,0.0040099280967370666,0.0,0.4780364683180545,0.0,0.00030041985262736857,0.4990408895226359,0.4780364683180545,1.0
0.38306,0.0003004927970244905,0.0,0.4941692151835646,0.004005805966078839,0.0,0.47735967227152615,0.0,0.0003004927970244905,0.4983741827289763,0.47735967227152615,1.0
0.4,0.00030051545378930247,0.0,0.493509083203154,0.004001377568035814,0.0,0.4766968867520785,0.0,0.00030051545378930247,0.4977206150915865,0.4766968867520785,1.0
0.41639,0.0003004974490164564,0.0,0.49290767395658064,0.003997035681774611,0.0,0.47609325440721906,0.0,0.0003004974490164564,0.49712486832752767,0.47609325440721906,1.0
0.43333,0.00030044879172231524,0.0,0.49232687914996925,0.003992592242554345,0.0,0.47551045800135067,0.0,0.00030044879172231524,0.4965492814677938,0.47551045800135067,1.0
0.45,0.00030037976276950997,0.0,0.49179608358513355,0.0039883321607705295,0.0,0.4749779377357548,0.0,0.00030037976276950997,0.4960230371144249,0.4749779377357548,1.0
0.46639,0.0003002995189801091,0.0,0.49131431275927356,0.003984317879213998,0.0,0.47449466840376703,0.0,0.0003002995189801091,0.49554524178904996,0.47449466840376703,1.0
0.48333,0.0003002100889023795,0.0,0.49085708841539766,0.00398039053510575,0.0,0.47403606594949743,0.0,0.0003002100889023795,0.49509166600684923,0.47403606594949743,1.0
0.49972,0.0003001224473926026,0.0,0.49045273053845906,0.003976833477676591,0.0,0.473630511952774,0.0,0.0003001224473926026,0.4946904457081679,0.473630511952774,1.0
0.51667,0.000300035091407657,0.0,0.4900721295604431,0.003973425929962321,0.0,0.47324879157601885,0.0,0.000300035091407657,0.49431273437120166,0.47324879157601885,1.0
0.53306,0.0002999570113897694,0.0,0.489738333151254,0.003970401683867597,0.0,0.4729140072344413,0.0,0.0002999570113897694,0.49398143376064674,0.4729140072344413,1.0
0.55,0.00029988506133312386,0.0,0.489426333157854,0.003967555842192665,0.0,0.4726010685483809,0.0,0.00029988506133312386,0.4936717458093888,0.4726010685483809,1.0
0.56639,0.00029982499835130687,0.0,0.4891543459428403,0.00396506928587378,0.0,0.4723282430376453,0.0,0.00029982499835130687,0.4934017676665493,0.4723282430376453,1.0
0.58333,0.00029977279469975773,0.0,0.48890154479569015,0.003962760922175355,0.0,0.47207464058868925,0.0,0.00029977279469975773,0.49315083650335345,0.47207464058868925,1.0
0.6,0.0002997306497605641,0.0,0.48867836299530376,0.003960731356643876,0.0,0.47185073009128126,0.0,0.0002997306497605641,0.492929314222277,0.47185073009128126,1.0
0.61639,0.0002996976371802347,0.0,0.4884819540039025,0.003958958017524173,0.0,0.4716536598279487,0.0,0.0002996976371802347,0.4927343791077623,0.4716536598279487,1.0
0.63333,0.0002996712420989325,0.0,0.48830071316663015,0.003957337198978319,0.0,0.47147179060780436,0.0,0.0002996712420989325,0.4925545148123145,0.47147179060780436,1.0
0.64972,0.0002996522643441935,0.0,0.4881447417903952,0.003955959217666055,0.0,0.47131526331837076,0.0,0.0002996522643441935,0.4923997459696132,0.47131526331837076,1.0
0.66667,0.0002996381871591725,0.0,0.4880013363602344,0.003954709688280439,0.0,0.4711713347548118,0.0,0.0002996381871591725,0.49225746475697557,0.4711713347548118,1.0
0.68306,0.0002996289425672277,0.0,0.48787833594180985,0.003953654766965817,0.0,0.47104787713919033,0.0,0.0002996289425672277,0.4921354465224573,0.47104787713919033,1.0
0.7,0.0002996229301065277,0.0,0.4877657836767,0.003952706319386082,0.0,0.4709349008819074,0.0,0.0002996229301065277,0.49202381100850373,0.4709349008819074,1.0
0.71639,0.0002996196677001966,0.0,0.4876694768222416,0.003951910132345924,0.0,0.47083822873537595,0.0,0.0002996196677001966,0.4919283049864954,0.47083822873537595,1.0
0.73333,0.0002996181889756665,0.0,0.4875816273949661,0.003951198821793291,0.0,0.470750046177259,0.0,0.0002996181889756665,0.4918412020314312,0.470750046177259,1.0
0.75,0.00029961794755896186,0.0,0.4875054538258098,0.0039505956161518885,0.0,0.47067358625274386,0.0,0.00029961794755896186,0.4917656901996018,0.47067358625274386,1.0
0.76639,0.00029961838435999547,0.0,0.4874394904949652,0.003950085427343213,0.0,0.4706073793564647,0.0,0.00029961838435999547,0.4917003128802845,0.4706073793564647,1.0
0.78333,0.00029961910325826266,0.0,0.48737957390720243,0.003949633485303087,0.0,0.47054724787454033,0.0,0.00029961910325826266,0.49164094081793847,0.47054724787454033,1.0
0.79972,0.0002996197271186352,0.0,0.4873286383978937,0.003949259190135371,0.0,0.47049613718395583,0.0,0.0002996197271186352,0.49159047875716533,0.47049613718395583,1.0
0.81667,0.0002996200645320234,0.0,0.4872824157240503,0.003948928725318466,0.0,0.47044976433279834,0.0,0.0002996200645320234,0.49154469550770297,0.47044976433279834,1.0
0.83306,0.00029962000017417085,0.0,0.48724322085521876,0.00394865646177651,0.0,0.47041045089113753,0.0,0.00029962000017417085,0.49150588170658077,0.47041045089113753,1.0
0.85,0.0002996195401719331,0.0,0.4872077516703869,0.003948417530966137,0.0,0.47037488317204773,0.0,0.0002996195401719331,0.49147076528269623,0.47037488317204773,1.0
0.86639,0.00029961878531230057,0.0,0.4871777319178962,0.003948221825089036,0.0,0.47034478779280847,0.0,0.00029961878531230057,0.4914410510142434,0.47034478779280847,1.0
0.88333,0.0002996177897030706,0.0,0.48715067372071963,0.003948051633729604,0.0,0.4703176685647386,0.0,0.0002996177897030706,0.4914142747591224,0.4703176685647386,1.0
0.9,0.0002996167132777057,0.0,0.4871274711972808,0.003947911223518042,0.0,0.47029441961096974,0.0,0.0002996167132777057,0.4913913198807905,0.47029441961096974,1.0
0.91639,0.00029961567033416327,0.0,0.48710761795294616,0.003947796043996015,0.0,0.47027453132625413,0.0,0.00029961567033416327,0.49137168381404445,0.47027453132625413,1.0
0.93333,0.00029961470836983726,0.0,0.48708980065162777,0.003947697380346218,0.0,0.47025668632340917,0.0,0.00029961470836983726,0.4913540664291674,0.47025668632340917,1.0
0.94972,0.0002996139693859983,0.0,0.48707486106746817,0.003947618816262642,0.0,0.47024172612124465,0.0,0.0002996139693859983,0.4913392989126661,0.47024172612124465,1.0
0.96667,0.0002996134645160257,0.0,0.4870614931254809,0.003947552445000452,0.0,0.47022834147066406,0.0,0.0002996134645160257,0.49132608913037834,0.47022834147066406,1.0
0.98306,0.00029961326789460364,0.0,0.48705033778618434,0.003947500540086613,0.0,0.470217173061546,0.0,0.00029961326789460364,0.4913150694940173,0.470217173061546,1.0
1.0,0.00029961338813074787,0.0,0.48704041005912196,0.003947457629565096,0.0,0.4702072338809833,0.0,0.00029961338813074787,0.49130526604983565,0.4702072338809833,1.0
1.01639,0.00029961382106168935,0.0,0.4870321546083571,0.003947424829999482,0.0,0.4701989684951722,0.0,0.00029961382106168935,0.49129711703724577,0.4701989684951722,1.0
1.03333,0.0002996145871575194,0.0,0.4870248424716821,0.003947398493250907,0.0,0.47019164664350876,0.0,0.0002996145871575194,0.49128990209047685,0.47019164664350876,1.0
1.05,0.00029961563259573424,0.0,0.48701868834613055,0.0039473787399104746,0.0,0.4701854830693072,0.0,0.00029961563259573424,0.49128383235572115,0.4701854830693072,1.0
1.06639,0.00029961691976395526,0.0,0.4870135318596237,0.003947364344438233,0.0,0.4701803171314067,0.0,0.00029961691976395526,0.49127874889905615,0.4701803171314067,1.0
1.08333,0.0002996184794203992,0.0,0.4870089949851987,0.003947353666419991,0.0,0.47017577017369705,0.0,0.0002996184794203992,0.49127427842044685,0.47017577017369705,1.0
1.09972,0.0002996201725877261,0.0,0.4870052702094673,0.003947346630982915,0.0,0.47017203528725043,0.0,0.0002996201725877261,0.4912706100229185,0.47017203528725043,1.0
1.11667,0.000299622073142021,0.0,0.4870020123193432,0.003947342082963536,0.0,0.4701687665950746,0.0,0.000299622073142021,0.49126740317776896,0.4701687665950746,1.0
1.13306,0.0002996240154987796,0.0,0.4869993554940875,0.003947339756659409,0.0,0.47016609906170725,0.0,0.0002996240154987796,0.49126478947432806,0.47016609906170725,1.0
1.15,0.0002996260913109783,0.0,0.4869970449473385,0.00394733899783734,0.0,0.4701637772828833,0.0,0.0002996260913109783,0.4912625177968886,0.4701637772828833,1.0
1.16639,0.0002996281304251423,0.0,0.4869951715650963,0.003947339470206367,0.0,0.4701618929935681,0.0,0.0002996281304251423,0.49126067710746224,0.4701618929935681,1.0
1.18333,0.0002996302362228411,0.0,0.4869935528565722,0.003947340864722268,0.0,0.47016026310103304,0.0,0.0002996302362228411,0.4912590877163735,0.47016026310103304,1.0
1.2,0.0002996322780440774,0.0,0.48699222433067213,0.00394734285765131,0.0,0.47015892378033347,0.0,0.0002996322780440774,0.4912577841724261,0.47015892378033347,1.0
1.21639,0.0002996342305661141,0.0,0.48699113854577253,0.003947345215195144,0.0,0.4701578277052498,0.0,0.0002996342305661141,0.4912567195958845,0.4701578277052498,1.0
1.23333,0.000299636169693367,0.0,0.4869902078229515,0.003947347886690151,0.0,0.4701568867868152,0.0,0.000299636169693367,0.49125580775926675,0.4701568867868152,1.0
1.24972,0.00029963795306834143,0.0,0.486989461861333,0.0039473505663942645,0.0,0.4701561314666798,0.0,0.00029963795306834143,0.4912550775199049,0.4701561314666798,1.0
1.26667,0.00029963968865031194,0.0,0.48698882411113575,0.003947353334012091,0.0,0.47015548462509826,0.0,0.00029963968865031194,0.49125445372947824,0.47015548462509826,1.0
1.28306,0.00029964125419396884,0.0,0.4869883148097129,0.003947355935358147,0.0,0.4701549671376937,0.0,0.00029964125419396884,0.4912539560016921,0.4701549671376937,1.0
1.3,0.0002996427520738077,0.0,0.48698788032999685,0.003947358496202536,0.0,0.47015452484053233,0.0,0.0002996427520738077,0.49125353176715375,0.47015452484053233,1.0
1.31639,0.00029964408474034474,0.0,0.4869875334276109,0.0039473608192455946,0.0,0.4701541709969617,0.0,0.00029964408474034474,0.49125319334793854,0.4701541709969617,1.0
