Time (hr),dose,SRAM_SEL,MCU_SEL,LREG_SEGR,MCU_SEFI,SRAM_TID,MCU_TID,LREG_TID
0.0,0.026004101703778336,0.016481985646132912,0.01703510456795385,9.077807644603535e-06,0.00012768084763705568,0.0,0.0,0.0
0.01639,0.028157232362837386,0.018015367597438818,0.018620537869046955,9.96514393705978e-06,0.00014000791525369053,0.0,0.0,0.0
0.03333,0.031964555471306715,0.020761944027979148,0.02146046430435362,1.1564624391539537e-05,0.00016218780841889338,0.0,0.0,0.0
0.04972,0.03765782030466965,0.024944894895763875,0.025785832637638215,1.4022942084188925e-05,0.00019618561877840696,0.0,0.0,0.0
0.06667,0.04584893494833797,0.03110352719660474,0.0321546005090336,1.768521817806216e-05,0.00024665325022468884,0.0,0.0,0.0
0.08306,0.05705328900790851,0.0397596864930463,0.04110683945018735,2.2906604846978892e-05,0.00031828313544997176,0.0,0.0,0.0
0.1,0.07161613392342568,0.05135446236948209,0.053099248103405376,3.0016191384639492e-05,0.000415289815508503,0.0,0.0,0.0
0.11639,0.08952615650376045,0.06607632358326031,0.06832730890469202,3.920862045220602e-05,0.0005399266593995148,0.0,0.0,0.0
0.13333,0.10975175662481224,0.08324826778669657,0.08609115888313078,5.0140914876471074e-05,0.0006871014636568256,0.0,0.0,0.0
0.15,0.13123899937296893,0.10208663802516699,0.10558032291446967,6.238104134481194e-05,0.0008505838329501856,0.0,0.0,0.0
0.16639,0.15222233748716815,0.12107953935048997,0.12523063510790025,7.498906746190577e-05,0.0010175078706500913,0.0,0.0,0.0
0.18333,0.171202392077034,0.13882456251131478,0.14359090820742246,8.70413909533376e-05,0.0011755166314491392,0.0,0.0,0.0
0.19972,0.18707052220473797,0.1541859137701705,0.1594856583561198,9.77428410538007e-05,0.0013142434949675328,0.0,0.0,0.0
0.21667,0.19936356582278364,0.16658957266296365,0.17232064363733132,0.00010664744309780272,0.001428117241454392,0.0,0.0,0.0
0.23306,0.20802893320996735,0.1758488380174398,0.18190244817938064,0.00011356182348000666,0.0015149756210840301,0.0,0.0,0.0
0.25,0.21330823078310898,0.18207759170186646,0.188348760981564,0.00011850063397390691,0.001575390886149916,0.0,0.0,0.0
0.26639,0.21560870600753515,0.18558222938814864,0.19197655498702287,0.00012162352500526936,0.0016117709564616807,0.0,0.0,0.0
0.28333,0.21535737915414757,0.18672343065547276,0.19315904402359685,0.00012314314473528486,0.0016271331874001217,0.0,0.0,0.0
0.3,0.21302038129932457,0.18588464519100656,0.1922930012050399,0.0001232789224892594,0.0016246444149809786,0.0,0.0,0.0
0.31639,0.2090182969289817,0.18345275276663742,0.1897787931101378,0.00012227967000065328,0.0016076854763312865,0.0,0.0,0.0
0.33333,0.2035199699140086,0.1795709864602139,0.18576460295333097,0.000120232714420451,0.0015774625699443547,0.0,0.0,0.0
0.34972,0.19666701878079668,0.17435682282668874,0.1803719375325072,0.0001172111466655896,0.0015349638528011447,0.0,0.0,0.0
0.36667,0.18857835285429886,0.1679178010645646,0.17371203669328053,0.00011328776176739076,0.001481133859755581,0.0,0.0,0.0
0.38306,0.1794882578652372,0.16045969245635686,0.16599775122315613,0.0001085998301551229,0.0014177703246449572,0.0,0.0,0.0
0.4,0.16954669762424285,0.15212635090258356,0.15737789849182193,0.00010325070746938402,0.0013461801865284077,0.0,0.0,0.0
0.41639,0.15914771020005908,0.14327167919982636,0.14821857536304603,9.748229267791108e-05,0.0012695018693106986,0.0,0.0,0.0
0.43333,0.1482620455343379,0.13389261184262702,0.13851663496887665,9.13062790616137e-05,0.001187800344499534,0.0,0.0,0.0
0.45,0.13730836123946205,0.12436970450842275,0.12866575565237842,8.498573915558941e-05,0.0011044747510852938,0.0,0.0,0.0
0.46639,0.12640960410759947,0.11482965406986949,0.11879702154696704,7.861713974841184e-05,0.0010207187436827277,0.0,0.0,0.0
0.48333,0.11575688111479654,0.10545659200102087,0.10910092897840606,7.233390973904007e-05,0.0009382220259037983,0.0,0.0,0.0
0.49972,0.10551047259970661,0.09640609424736736,0.09973843513430704,6.62493249048632e-05,0.0008584176677310284,0.0,0.0,0.0
0.51667,0.09574372582404665,0.08775480953189192,0.09078884824461929,6.042216181863928e-05,0.0007820340109309145,0.0,0.0,0.0
0.53306,0.08655763233918512,0.07960118724879355,0.08235402660633773,5.4924151780730235e-05,0.0007099811457623841,0.0,0.0,0.0
0.55,0.07800602850919984,0.07199406143163795,0.07448448990364563,4.978899371831543e-05,0.0006427081298939275,0.0,0.0,0.0
0.56639,0.0700236018282412,0.06487189625990629,0.0671165738036413,4.4973220103946914e-05,0.00057967337412435,0.0,0.0,0.0
0.58333,0.06273150662710397,0.05834146309401559,0.06036073344139335,4.054800108975968e-05,0.0005218258036020145,0.0,0.0,0.0
0.6,0.05606136989663355,0.0523423221664398,0.054154447810455274,3.6472296380674423e-05,0.00046863577875443845,0.0,0.0,0.0
0.61639,0.04998548096174385,0.04685145192233889,0.04847390775823484,3.2730919710628876e-05,0.00041990514854688203,0.0,0.0,0.0
0.63333,0.044457713131622174,0.04182995584011115,0.043278882401518656,2.929825835799479e-05,0.0003752949669388627,0.0,0.0,0.0
0.64972,0.03939517515148781,0.03720552777593022,0.03849457624648761,2.6125913559001022e-05,0.0003341685780014642,0.0,0.0,0.0
0.66667,0.034901636528153625,0.033077091306661345,0.03422334502207728,2.3283322182344236e-05,0.00029741274343641116,0.0,0.0,0.0
0.68306,0.030856583768716524,0.029338746149241722,0.030355639202579752,2.0699496061796755e-05,0.0002640923721923107,0.0,0.0,0.0
0.7,0.02723687697389414,0.02597344879949465,0.026873837603073852,1.836442093012634e-05,0.00023406225315885745,0.0,0.0,0.0
0.71639,0.024024081122107764,0.022968592642444344,0.023764909525178624,1.627124667327141e-05,0.00020721683349491938,0.0,0.0,0.0
0.73333,0.02115506170588852,0.020269396072856605,0.020972187474135845,1.4383631157291032e-05,0.00018307319722719553,0.0,0.0,0.0
0.75,0.018606816515622904,0.01785808518966278,0.018477291934715163,1.2690818186127518e-05,0.00016147826141705277,0.0,0.0,0.0
0.76639,0.016366724722457624,0.015726514890528755,0.016271805333397806,1.1188767947901929e-05,0.0001423650603289963,0.0,0.0,0.0
0.78333,0.014372729633668225,0.013818980286292061,0.014298099685664487,9.83972548021464e-06,0.00012523946440909844,0.0,0.0,0.0
0.79972,0.012626178637306069,0.012139730360877574,0.012560578837017205,8.648041400884957e-06,0.00011014451961983081,0.0,0.0,0.0
0.81667,0.011084102498440615,0.010650464968347208,0.011019621158280203,7.587916211439576e-06,9.674074353305056e-05,0.0,0.0,0.0
0.83306,0.009728712447455014,0.00933774597702913,0.009661331693573255,6.651470456547073e-06,8.491189727327626e-05,0.0,0.0,0.0
0.85,0.00852845727479109,0.008173948258466386,0.008457133673150432,5.820331104003646e-06,7.441311735925898e-05,0.0,0.0,0.0
0.86639,0.007470608892155375,0.0071485899786325495,0.0073961857726039595,5.087880170172219e-06,6.515317051085872e-05,0.0,0.0,0.0
0.88333,0.006524087112983674,0.006232631723584059,0.006448442926330546,4.43390093371923e-06,5.6872449824031946e-05,0.0,0.0,0.0
0.9,0.005692165681358423,0.005429733126498969,0.005617692405903082,3.861276176883084e-06,4.960627575358463e-05,0.0,0.0,0.0
0.91639,0.004958524627150134,0.0047241556479348515,0.004887648978289992,3.3588495326482606e-06,4.3214268766283856e-05,0.0,0.0,0.0
0.93333,0.004307970791967533,0.004101036787186152,0.004242933408680067,2.9159865719021703e-06,3.756343153716449e-05,0.0,0.0,0.0
0.94972,0.003733465009966424,0.0035532062424200976,0.003676125065061727,2.527460599487039e-06,3.259012518167864e-05,0.0,0.0,0.0
0.96667,0.00322824466576825,0.0030736551677599407,0.003179970135226825,2.1881134937053375e-06,2.8231976633850968e-05,0.0,0.0,0.0
0.98306,0.0027819618333350857,0.00265196493492958,0.0027436870423395284,1.8903662062125629e-06,2.4395387953657365e-05,0.0,0.0,0.0
1.0,0.0023898253896904105,0.00228301959729809,0.0023619806527558265,1.630399445487969e-06,2.1034764025199893e-05,0.0,0.0,0.0
1.01639,0.002047093376033788,0.001961784272135922,0.002029639847822282,1.404462929159084e-06,1.810514137481344e-05,0.0,0.0,0.0
1.03333,0.001746469850316281,0.0016809076166212416,0.0017390572606966013,1.2072046752208966e-06,1.5540282166886102e-05,0.0,0.0,0.0
1.05,0.0014852239127564049,0.001437394681428644,0.0014871327944611116,1.0363648907536821e-06,1.331357893909477e-05,0.0,0.0,0.0
1.06639,0.0012568254556539627,0.0012247897123046983,0.0012671862827077366,8.872849032174014e-07,1.1366679506716607e-05,0.0,0.0,0.0
1.08333,0.0010609663423171536,0.0010425142989541334,0.001078618154410438,7.594578170162659e-07,9.694945937962953e-06,0.0,0.0,0.0
1.09972,0.0008914109216519053,0.0008845505832840402,0.0009152018385441917,6.485900252161076e-07,8.243818069508662e-06,0.0,0.0,0.0
1.11667,0.0007452796618543958,0.000748070642981454,0.0007740110830766738,5.526476057849405e-07,6.987861139818494e-06,0.0,0.0,0.0
