Time (hr),SRAM_TID,MCU_TID,LREG_TID,WDOG_TID,MCU_SEL,MCU_SEFI,LREG_SEGR,SRAM_SEL
0.0,0.0,0.0,0.0,0.0,0.00027916638967850904,2.0926869030990503e-06,1.487852562265246e-07,0.0002701032602846487
0.01639,0.0,0.0,0.0,0.0,0.00030514404975501286,2.2947270981177326e-06,1.6332869579027687e-07,0.00029522828647221555
0.03333,0.0,0.0,0.0,0.0,0.00036347419256044233,2.7474577003472334e-06,1.9590471800334797e-07,0.00035164549006061474
0.04972,0.0,0.0,0.0,0.0,0.00042254050153833767,3.215477122120447e-06,2.298359943475603e-07,0.00040876326086647374
0.06667,0.0,0.0,0.0,0.0,0.0005448719819461934,4.180763851890923e-06,2.997644031887958e-07,0.0005270658379583626
0.08306,0.0,0.0,0.0,0.0,0.0006735141860175764,5.216646983274842e-06,3.754391829646764e-07,0.0006514489765362397
0.1,0.0,0.0,0.0,0.0,0.0008990968328815852,7.034984729092919e-06,5.084741527827674e-07,0.000869566300447655
0.11639,0.0,0.0,0.0,0.0,0.0011192577562139094,8.849358791751527e-06,6.426290827254988e-07,0.0010824047204816
0.13333,0.0,0.0,0.0,0.0,0.0014573213059776435,1.1639431055643357e-05,8.493867372783015e-07,0.0014092317553688893
0.15,0.0,0.0,0.0,0.0,0.0017584760490406692,1.417913197043763e-05,1.0398914185305586e-06,0.0017003370421176944
0.16639,0.0,0.0,0.0,0.0,0.002050425109931364,1.6676814940330686e-05,1.2290700603934113e-06,0.0019825258443456617
0.18333,0.0,0.0,0.0,0.0,0.0024294740244258373,1.9913053469267084e-05,1.474480075702722e-06,0.0023489250368777803
0.19972,0.0,0.0,0.0,0.0,0.00261055649589359,2.1540218888671525e-05,1.6020038816622062e-06,0.0025239166795779644
0.21667,0.0,0.0,0.0,0.0,0.002916573421412272,2.420629426558296e-05,1.8076725266658045e-06,0.002819710384518448
0.23306,0.0,0.0,0.0,0.0,0.002976941222395779,2.483014215648449e-05,1.861276554659952e-06,0.0028780130123103875
0.25,0.0,0.0,0.0,0.0,0.003185543366649113,2.668676551331739e-05,2.007398724690468e-06,0.0030796425458015086
0.26639,0.0,0.0,0.0,0.0,0.0031415507063929926,2.6416577052490453e-05,1.9934075879968205e-06,0.003037071478982911
0.28333,0.0,0.0,0.0,0.0,0.0032667666742399737,2.7563256321028184e-05,2.086042696025636e-06,0.0031580976009638606
0.3,0.0,0.0,0.0,0.0,0.003200392122242879,2.70824556614091e-05,2.0550575262623383e-06,0.003093901028745072
0.31639,0.0,0.0,0.0,0.0,0.003105641905287948,2.634961779979239e-05,2.0041617829757996e-06,0.0030022747501587954
0.33333,0.0,0.0,0.0,0.0,0.00314190622372601,2.6721858899625417e-05,2.0367401081244907e-06,0.0030373105217169627
0.34972,0.0,0.0,0.0,0.0,0.0029519305159746434,2.5157741086134777e-05,1.9210888485554634e-06,0.0028536289644912616
