  1.9209E-01,  1.2678E+00,  1.9535E+03,  1.9497E+03,  1.9459E+03,  1.9385E+03,  1.9311E+03,  1.9245E+03,  1.9179E+03,  1.9106E+03,  1.8864E+03,  1.8800E+03,  1.8736E+03,  1.8478E+03,  1.8223E+03,  1.7995E+03,  1.7770E+03,  1.7577E+03,  1.6966E+03,  1.6156E+03,  1.5512E+03,  1.4438E+03,  1.3356E+03,  1.2354E+03,  1.1468E+03,  1.0681E+03,  8.5141E+02,  5.4691E+02,  3.5132E+02,  1.3267E+02,  5.0100E+01
  1.8968E-01,  1.2588E+00,  2.0480E+03,  2.0443E+03,  2.0405E+03,  2.0319E+03,  2.0233E+03,  2.0158E+03,  2.0082E+03,  1.9997E+03,  1.9754E+03,  1.9691E+03,  1.9629E+03,  1.9315E+03,  1.9006E+03,  1.8766E+03,  1.8530E+03,  1.8346E+03,  1.7739E+03,  1.6798E+03,  1.6109E+03,  1.4761E+03,  1.3773E+03,  1.2850E+03,  1.1966E+03,  1.1150E+03,  8.9254E+02,  5.8025E+02,  3.7722E+02,  1.4653E+02,  5.6923E+01
  1.8739E-01,  1.2487E+00,  2.1009E+03,  2.0968E+03,  2.0926E+03,  2.0871E+03,  2.0815E+03,  2.0734E+03,  2.0653E+03,  2.0561E+03,  2.0299E+03,  2.0229E+03,  2.0160E+03,  1.9858E+03,  1.9559E+03,  1.9356E+03,  1.9155E+03,  1.8937E+03,  1.8357E+03,  1.7136E+03,  1.6491E+03,  1.5209E+03,  1.4224E+03,  1.3302E+03,  1.2427E+03,  1.1586E+03,  9.3462E+02,  6.1525E+02,  4.0502E+02,  1.6168E+02,  6.4541E+01
  1.8529E-01,  1.2385E+00,  2.1901E+03,  2.1838E+03,  2.1775E+03,  2.1693E+03,  2.1612E+03,  2.1506E+03,  2.1400E+03,  2.1265E+03,  2.0892E+03,  2.0825E+03,  2.0759E+03,  2.0562E+03,  2.0366E+03,  2.0213E+03,  2.0061E+03,  1.9835E+03,  1.9246E+03,  1.8230E+03,  1.7592E+03,  1.6079E+03,  1.4964E+03,  1.3927E+03,  1.3010E+03,  1.2147E+03,  9.8444E+02,  6.5737E+02,  4.3896E+02,  1.7996E+02,  7.3779E+01
  1.8347E-01,  1.2290E+00,  2.2772E+03,  2.2673E+03,  2.2573E+03,  2.2458E+03,  2.2343E+03,  2.2266E+03,  2.2189E+03,  2.2045E+03,  2.1698E+03,  2.1607E+03,  2.1515E+03,  2.1378E+03,  2.1241E+03,  2.1096E+03,  2.0953E+03,  2.0726E+03,  2.0074E+03,  1.9281E+03,  1.8623E+03,  1.6893E+03,  1.5817E+03,  1.4810E+03,  1.3793E+03,  1.2919E+03,  1.0529E+03,  7.1303E+02,  4.8284E+02,  2.0228E+02,  8.4740E+01
  1.8200E-01,  1.2205E+00,  2.4207E+03,  2.4061E+03,  2.3916E+03,  2.3764E+03,  2.3612E+03,  2.3566E+03,  2.3520E+03,  2.3366E+03,  2.3077E+03,  2.2946E+03,  2.2815E+03,  2.2711E+03,  2.2607E+03,  2.2473E+03,  2.2340E+03,  2.2110E+03,  2.1406E+03,  2.0750E+03,  2.0032E+03,  1.8135E+03,  1.7050E+03,  1.6030E+03,  1.4917E+03,  1.3984E+03,  1.1424E+03,  7.8252E+02,  5.3599E+02,  2.3005E+02,  9.8741E+01
  1.8092E-01,  1.2135E+00,  2.5473E+03,  2.5358E+03,  2.5244E+03,  2.5137E+03,  2.5031E+03,  2.4988E+03,  2.4945E+03,  2.4839E+03,  2.4616E+03,  2.4520E+03,  2.4424E+03,  2.4266E+03,  2.4108E+03,  2.3936E+03,  2.3764E+03,  2.3525E+03,  2.2808E+03,  2.1941E+03,  2.1131E+03,  1.9252E+03,  1.8075E+03,  1.6969E+03,  1.5825E+03,  1.4848E+03,  1.2168E+03,  8.4210E+02,  5.8277E+02,  2.5594E+02,  1.1240E+02
  1.8026E-01,  1.2077E+00,  2.6571E+03,  2.6478E+03,  2.6385E+03,  2.6296E+03,  2.6208E+03,  2.6169E+03,  2.6131E+03,  2.6042E+03,  2.5834E+03,  2.5764E+03,  2.5694E+03,  2.5552E+03,  2.5411E+03,  2.5231E+03,  2.5052E+03,  2.4822E+03,  2.4136E+03,  2.3183E+03,  2.2314E+03,  2.0440E+03,  1.9176E+03,  1.7991E+03,  1.6808E+03,  1.5780E+03,  1.2964E+03,  9.0466E+02,  6.3128E+02,  2.8213E+02,  1.2609E+02
  1.8003E-01,  1.2036E+00,  2.7420E+03,  2.7344E+03,  2.7269E+03,  2.7195E+03,  2.7122E+03,  2.7087E+03,  2.7051E+03,  2.6978E+03,  2.6782E+03,  2.6733E+03,  2.6685E+03,  2.6553E+03,  2.6422E+03,  2.6236E+03,  2.6052E+03,  2.5830E+03,  2.5172E+03,  2.4151E+03,  2.3236E+03,  2.1364E+03,  2.0033E+03,  1.8785E+03,  1.7575E+03,  1.6507E+03,  1.3587E+03,  9.5363E+02,  6.6934E+02,  3.0310E+02,  1.3725E+02
  1.8022E-01,  1.2008E+00,  2.7588E+03,  2.7523E+03,  2.7459E+03,  2.7395E+03,  2.7331E+03,  2.7299E+03,  2.7267E+03,  2.7203E+03,  2.7017E+03,  2.6983E+03,  2.6949E+03,  2.6825E+03,  2.6701E+03,  2.6518E+03,  2.6336E+03,  2.6124E+03,  2.5499E+03,  2.4468E+03,  2.3543E+03,  2.1696E+03,  2.0344E+03,  1.9077E+03,  1.7865E+03,  1.6789E+03,  1.3840E+03,  9.7522E+02,  6.8718E+02,  3.1377E+02,  1.4327E+02
  1.8080E-01,  1.1990E+00,  2.6353E+03,  2.6293E+03,  2.6232E+03,  2.6172E+03,  2.6112E+03,  2.6082E+03,  2.6052E+03,  2.5992E+03,  2.5816E+03,  2.5785E+03,  2.5754E+03,  2.5634E+03,  2.5514E+03,  2.5343E+03,  2.5172E+03,  2.4977E+03,  2.4398E+03,  2.3440E+03,  2.2570E+03,  2.0835E+03,  1.9548E+03,  1.8340E+03,  1.7189E+03,  1.6154E+03,  1.3322E+03,  9.3872E+02,  6.6144E+02,  3.0172E+02,  1.3763E+02
