Time (s),A,B1,B2,Y,Z
0.0,0.0,0.0,0.0,0.0,0.0
20000.0,0.0,0.001339102600882991,0.001339102600882991,1.79319577569159e-06,1.79319577569159e-06
40000.0,0.0,0.0026764120059903362,0.0026764120059903362,7.16318122580922e-06,7.16318122580922e-06
60000.0,0.0,0.004011930616595105,0.004011930616595105,1.609558727237318e-05,1.609558727237318e-05
80000.0,0.0,0.005345660830754939,0.005345660830754939,2.857608971746758e-05,2.857608971746758e-05
100000.0,0.0,0.006677605043316048,0.006677605043316048,4.459040911451992e-05,4.459040911451992e-05
120000.0,0.0,0.008007765645917875,0.008007765645917875,6.412431063994252e-05,6.412431063994252e-05
140000.0,0.0,0.0093361450269972,0.0093361450269972,8.716360396512455e-05,8.716360396512455e-05
160000.0,0.0,0.010662745571792365,0.010662745571792365,0.00011369414312877768,0.00011369414312877768
180000.0,0.0,0.011987569662347708,0.011987569662347708,0.00014370182640963914,0.00014370182640963914
200000.0,0.0,0.013310619677517566,0.013310619677517566,0.00017717259619951783,0.00017717259619951783
220000.0,0.0,0.014631897992971044,0.014631897992971044,0.00021409243887671005,0.00021409243887671005
240000.0,0.0,0.015951406981195904,0.015951406981195904,0.0002544473846797454,0.0002544473846797454
260000.0,0.0,0.01726914901150267,0.01726914901150267,0.0002982235075814837,0.0002982235075814837
280000.0,0.0,0.0185851264500293,0.0185851264500293,0.00034540692516357865,0.00034540692516357865
300000.0,0.0,0.019899341659745384,0.019899341659745384,0.0003959837984912782,0.0003959837984912782
320000.0,0.0,0.021211797000455945,0.021211797000455945,0.00044994033198855185,0.00044994033198855185
340000.0,0.0,0.022522494828806305,0.022522494828806305,0.0005072627733136068,0.0005072627733136068
360000.0,0.0,0.023831437498285646,0.023831437498285646,0.0005679374132346952,0.0005679374132346952
380000.0,0.0,0.025138627359232002,0.025138627359232002,0.0006319505855063277,0.0006319505855063277
400000.0,0.0,0.026444066758835594,0.026444066758835594,0.0006992886667457536,0.0006992886667457536
420000.0,0.0,0.027747758041143933,0.027747758041143933,0.0007699380763098679,0.0007699380763098679
440000.0,0.0,0.029049703547065486,0.029049703547065486,0.0008438852761723892,0.0008438852761723892
460000.0,0.0,0.030349905614373673,0.030349905614373673,0.0009211167708013905,0.0009211167708013905
480000.0,0.0,0.03164836657771197,0.03164836657771197,0.0010016191070372363,0.0010016191070372363
500000.0,0.0,0.03294508876859714,0.03294508876859714,0.0010853788739707455,0.0010853788739707455
520000.0,0.0,0.03424007451542377,0.03424007451542377,0.0011723827028217722,0.0011723827028217722
540000.0,0.0,0.035533326143468824,0.035533326143468824,0.001262617266818125,0.001262617266818125
560000.0,0.0,0.036824845974895104,0.036824845974895104,0.0013560692810747482,0.0013560692810747482
580000.0,0.0,0.038114636328756,0.038114636328756,0.0014527255024733268,0.0014527255024733268
600000.0,0.0,0.03940269952099951,0.03940269952099951,0.0015525727295421748,0.0015525727295421748
620000.0,0.0,0.04068903786447209,0.04068903786447209,0.0016555978023364431,0.0016555978023364431
640000.0,0.0,0.04197365366892336,0.04197365366892336,0.0017617876023187234,0.0017617876023187234
660000.0,0.0,0.043256549241009856,0.043256549241009856,0.0018711290522399103,0.0018711290522399103
680000.0,0.0,0.04453772688429902,0.04453772688429902,0.001983609116020412,0.001983609116020412
700000.0,0.0,0.045817188899273775,0.045817188899273775,0.002099214798631736,0.002099214798631736
720000.0,0.0,0.047094937583336716,0.047094937583336716,0.002217933145978381,0.002217933145978381
740000.0,0.0,0.04837097523081346,0.04837097523081346,0.0023397512447799695,0.0023397512447799695
760000.0,0.0,0.049645304132957646,0.049645304132957646,0.0024646562224538617,0.0024646562224538617
780000.0,0.0,0.050917926577954575,0.050917926577954575,0.002592635246997973,0.002592635246997973
800000.0,0.0,0.052188844850925564,0.052188844850925564,0.00272367552687398,0.00272367552687398
820000.0,0.0,0.0534580612339316,0.0534580612339316,0.00285776431089078,0.00285776431089078
840000.0,0.0,0.054725578005978104,0.054725578005978104,0.0029948888880883943,0.0029948888880883943
860000.0,0.0,0.05599139744301851,0.05599139744301851,0.0031350365876220603,0.0031350365876220603
880000.0,0.0,0.057255521817958455,0.057255521817958455,0.003278194778646716,0.003278194778646716
900000.0,0.0,0.05851795340066013,0.05851795340066013,0.0034243508702018303,0.0034243508702018303
920000.0,0.0,0.059778694457946036,0.059778694457946036,0.0035734923110964686,0.0035734923110964686
940000.0,0.0,0.061037747253603,0.061037747253603,0.003725606589794721,0.003725606589794721
960000.0,0.0,0.062295114048386724,0.062295114048386724,0.003880681234301509,0.003880681234301509
980000.0,0.0,0.0635507971000252,0.0635507971000252,0.004038703812048572,0.004038703812048572
1000000.0,0.0,0.06480479866322342,0.06480479866322342,0.004199661929780924,0.004199661929780924
1020000.0,0.0,0.06605712098966687,0.06605712098966687,0.004363543233443488,0.004363543233443488
1040000.0,0.0,0.06730776632802582,0.06730776632802582,0.004530335408068126,0.004530335408068126
1060000.0,0.0,0.06855673692395936,0.06855673692395936,0.004700026177660973,0.004700026177660973
1080000.0,0.0,0.06980403502011945,0.06980403502011945,0.004872603305090062,0.004872603305090062
1100000.0,0.0,0.07104966285615488,0.07104966285615488,0.005048054591973275,0.005048054591973275
1120000.0,0.0,0.07229362266871542,0.07229362266871542,0.005226367878566604,0.005226367878566604
1140000.0,0.0,0.07353591669145543,0.07353591669145543,0.005407531043652673,0.005407531043652673
1160000.0,0.0,0.07477654715503868,0.07477654715503868,0.005591532004429723,0.005591532004429723
1180000.0,0.0,0.07601551628714132,0.07601551628714132,0.005778358716400648,0.005778358716400648
