Time (s),A,B1,B2,Y,Z
0.0,0.0,0.001339102600882991,0.001339102600882991,1.79319577569159e-06,1.79319577569159e-06
20000.0,0.0,0.001339102600882991,0.001339102600882991,1.79319577569159e-06,1.79319577569159e-06
40000.0,0.0,0.0013373094051073453,0.0013373094051073453,1.78839644498856e-06,1.78839644498856e-06
60000.0,0.0,0.001335518610604769,0.001335518610604769,1.78360995927169e-06,1.78360995927169e-06
80000.0,0.0,0.001333730214159834,0.001333730214159834,1.77883628416284e-06,1.77883628416284e-06
100000.0,0.0,0.0013319442125611092,0.0013319442125611092,1.77407538537503e-06,1.77407538537503e-06
120000.0,0.0,0.0013301606026018264,0.0013301606026018264,1.76932722871405e-06,1.76932722871405e-06
140000.0,0.0,0.0013283793810793254,0.0013283793810793254,1.76459178007669e-06,1.76459178007669e-06
160000.0,0.0,0.0013266005447951645,0.0013266005447951645,1.75986900545083e-06,1.75986900545083e-06
180000.0,0.0,0.0013248240905553432,0.0013248240905553432,1.75515887091579e-06,1.75515887091579e-06
200000.0,0.0,0.0013230500151698577,0.0013230500151698577,1.75046134264096e-06,1.75046134264096e-06
220000.0,0.0,0.001321278315453478,0.001321278315453478,1.74577638688758e-06,1.74577638688758e-06
240000.0,0.0,0.00131950898822486,0.00131950898822486,1.74110397000619e-06,1.74110397000619e-06
260000.0,0.0,0.0013177420303067677,0.0013177420303067677,1.736444058437e-06,1.736444058437e-06
280000.0,0.0,0.0013159774385266276,0.0013159774385266276,1.7317966187111e-06,1.7317966187111e-06
300000.0,0.0,0.0013142152097160853,0.0013142152097160853,1.72716161744909e-06,1.72716161744909e-06
320000.0,0.0,0.001312455340710561,0.001312455340710561,1.72253902135967e-06,1.72253902135967e-06
340000.0,0.0,0.00131069782835036,0.00131069782835036,1.71792879724235e-06,1.71792879724235e-06
360000.0,0.0,0.0013089426694793405,0.0013089426694793405,1.7133309119837e-06,1.7133309119837e-06
380000.0,0.0,0.0013071898609463561,0.0013071898609463561,1.70874533256095e-06,1.70874533256095e-06
400000.0,0.0,0.0013054393996035918,0.0013054393996035918,1.70417202603739e-06,1.70417202603739e-06
420000.0,0.0,0.001303691282308339,0.001303691282308339,1.69961095956676e-06,1.69961095956676e-06
440000.0,0.0,0.0013019455059215534,0.0013019455059215534,1.69506210038933e-06,1.69506210038933e-06
460000.0,0.0,0.001300202067308187,0.001300202067308187,1.69052541583248e-06,1.69052541583248e-06
480000.0,0.0,0.0012984609633382993,0.0012984609633382993,1.68600087331342e-06,1.68600087331342e-06
500000.0,0.0,0.001296722190885169,0.001296722190885169,1.68148844033403e-06,1.68148844033403e-06
520000.0,0.0,0.0012949857468266268,0.0012949857468266268,1.67698808448412e-06,1.67698808448412e-06
540000.0,0.0,0.0012932516280450557,0.0012932516280450557,1.67249977344119e-06,1.67249977344119e-06
560000.0,0.0,0.00129151983142628,0.00129151983142628,1.66802347496737e-06,1.66802347496737e-06
580000.0,0.0,0.001289790353860898,0.001289790353860898,1.66355915691262e-06,1.66355915691262e-06
600000.0,0.0,0.0012880631922435049,0.0012880631922435049,1.65910678721253e-06,1.65910678721253e-06
620000.0,0.0,0.0012863383434725817,0.0012863383434725817,1.65466633388779e-06,1.65466633388779e-06
640000.0,0.0,0.0012846158044512723,0.0012846158044512723,1.65023776504599e-06,1.65023776504599e-06
660000.0,0.0,0.0012828955720864954,0.0012828955720864954,1.64582104887914e-06,1.64582104887914e-06
680000.0,0.0,0.0012811776432891664,0.0012811776432891664,1.64141615366398e-06,1.64141615366398e-06
700000.0,0.0,0.0012794620149747526,0.0012794620149747526,1.63702304776325e-06,1.63702304776325e-06
720000.0,0.0,0.0012777486840629404,0.0012777486840629404,1.63264169962458e-06,1.63264169962458e-06
740000.0,0.0,0.0012760376474767465,0.0012760376474767465,1.62827207777799e-06,1.62827207777799e-06
760000.0,0.0,0.001274328902144184,0.001274328902144184,1.62391415084e-06,1.62391415084e-06
780000.0,0.0,0.0012726224449969292,0.0012726224449969292,1.61956788750996e-06,1.61956788750996e-06
800000.0,0.0,0.001270918272970989,0.001270918272970989,1.61523325657156e-06,1.61523325657156e-06
820000.0,0.0,0.0012692163830060332,0.0012692163830060332,1.61091022689092e-06,1.61091022689092e-06
840000.0,0.0,0.0012675167720465064,0.0012675167720465064,1.6065987674192e-06,1.6065987674192e-06
860000.0,0.0,0.0012658194370404052,0.0012658194370404052,1.60229884718929e-06,1.60229884718929e-06
880000.0,0.0,0.0012641243749399456,0.0012641243749399456,1.59801043531731e-06,1.59801043531731e-06
900000.0,0.0,0.001262431582701673,0.001262431582701673,1.59373350100265e-06,1.59373350100265e-06
920000.0,0.0,0.001260741057285908,0.001260741057285908,1.58946801352639e-06,1.58946801352639e-06
940000.0,0.0,0.0012590527956569675,0.0012590527956569675,1.58521394225163e-06,1.58521394225163e-06
960000.0,0.0,0.0012573667947837208,0.0012573667947837208,1.58097125662469e-06,1.58097125662469e-06
980000.0,0.0,0.0012556830516384787,0.0012556830516384787,1.57673992617212e-06,1.57673992617212e-06
1000000.0,0.0,0.0012540015631982149,0.0012540015631982149,1.57251992050357e-06,1.57251992050357e-06
1020000.0,0.0,0.0012523223264434558,0.0012523223264434558,1.56831120930875e-06,1.56831120930875e-06
1040000.0,0.0,0.0012506453383589466,0.0012506453383589466,1.56411376235896e-06,1.56411376235896e-06
1060000.0,0.0,0.0012489705959335407,0.0012489705959335407,1.55992754950658e-06,1.55992754950658e-06
1080000.0,0.0,0.0012472980961600877,0.0012472980961600877,1.55575254068458e-06,1.55575254068458e-06
