Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B1,B2,Y,Z
0.0,20000.0,0.0023,46.0,46.0,1.0,0.0,0.0,1.0,1.0
20000.0,20000.0,0.0023,46.0,92.0,0.9999982068042244,0.0013373094051072993,0.0013373094051072993,0.9999982068042244,0.9999982068042244
40000.0,20000.0,0.0023,46.0,138.0,0.999992836818774,0.002669248824764527,0.002669248824764527,0.9999928368187742,0.9999928368187742
60000.0,20000.0,0.0023,46.0,184.0,0.9999839044127277,0.003995835029322732,0.003995835029322732,0.9999839044127277,0.9999839044127277
80000.0,20000.0,0.0023,46.0,230.0,0.9999714239102825,0.0053170847410374715,0.0053170847410374715,0.9999714239102825,0.9999714239102825
100000.0,20000.0,0.0023,46.0,276.0,0.9999554095908855,0.0066330146342015285,0.0066330146342015285,0.9999554095908855,0.9999554095908855
120000.0,20000.0,0.0023,46.0,322.0,0.99993587568936,0.007943641335277932,0.007943641335277932,0.99993587568936,0.99993587568936
140000.0,20000.0,0.0023,46.0,368.0,0.9999128363960349,0.009248981423032076,0.009248981423032076,0.9999128363960349,0.9999128363960349
160000.0,20000.0,0.0023,46.0,414.0,0.9998863058568711,0.010549051428663588,0.010549051428663588,0.9998863058568712,0.9998863058568712
180000.0,20000.0,0.0023,46.0,460.0,0.9998562981735903,0.011843867835938066,0.011843867835938066,0.9998562981735903,0.9998562981735903
200000.0,20000.0,0.0023,46.0,506.0,0.9998228274038005,0.013133447081318047,0.013133447081318047,0.9998228274038005,0.9998228274038005
220000.0,20000.0,0.0023,46.0,552.0,0.9997859075611233,0.014417805554094333,0.014417805554094333,0.9997859075611233,0.9997859075611233
240000.0,20000.0,0.0023,46.0,598.0,0.9997455526153203,0.01569695959651616,0.01569695959651616,0.9997455526153203,0.9997455526153203
260000.0,20000.0,0.0023,46.0,644.0,0.9997017764924185,0.016970925503921187,0.016970925503921187,0.9997017764924185,0.9997017764924185
280000.0,20000.0,0.0023,46.0,690.0,0.9996545930748364,0.018239719524865722,0.018239719524865722,0.9996545930748364,0.9996545930748364
300000.0,20000.0,0.0023,46.0,736.0,0.9996040162015087,0.019503357861254105,0.019503357861254105,0.9996040162015087,0.9996040162015087
320000.0,20000.0,0.0023,46.0,782.0,0.9995500596680115,0.020761856668467395,0.020761856668467395,0.9995500596680115,0.9995500596680115
340000.0,20000.0,0.0023,46.0,828.0,0.9994927372266864,0.0220152320554927,0.0220152320554927,0.9994927372266864,0.9994927372266864
360000.0,20000.0,0.0023,46.0,874.0,0.9994320625867653,0.023263500085050952,0.023263500085050952,0.9994320625867653,0.9994320625867653
380000.0,20000.0,0.0023,46.0,920.0,0.9993680494144936,0.024506676773725672,0.024506676773725672,0.9993680494144936,0.9993680494144936
400000.0,20000.0,0.0023,46.0,966.0,0.9993007113332543,0.02574477809208984,0.02574477809208984,0.9993007113332543,0.9993007113332543
420000.0,20000.0,0.0023,46.0,1012.0,0.9992300619236901,0.02697781996483406,0.02697781996483406,0.9992300619236901,0.9992300619236901
440000.0,20000.0,0.0023,46.0,1058.0,0.9991561147238276,0.028205818270893097,0.028205818270893097,0.9991561147238276,0.9991561147238276
460000.0,20000.0,0.0023,46.0,1104.0,0.9990788832291986,0.029428788843572282,0.029428788843572282,0.9990788832291986,0.9990788832291986
480000.0,20000.0,0.0023,46.0,1150.0,0.9989983808929628,0.030646747470674737,0.030646747470674737,0.9989983808929628,0.9989983808929628
500000.0,20000.0,0.0023,46.0,1196.0,0.9989146211260292,0.031859709894626394,0.031859709894626394,0.9989146211260292,0.9989146211260292
520000.0,20000.0,0.0023,46.0,1242.0,0.9988276172971783,0.033067691812601996,0.033067691812601996,0.9988276172971783,0.9988276172971783
540000.0,20000.0,0.0023,46.0,1288.0,0.9987373827331819,0.0342707088766507,0.0342707088766507,0.9987373827331819,0.9987373827331819
560000.0,20000.0,0.0023,46.0,1334.0,0.9986439307189252,0.035468776693820356,0.035468776693820356,0.9986439307189252,0.9986439307189252
580000.0,20000.0,0.0023,46.0,1380.0,0.9985472744975267,0.03666191082628267,0.03666191082628267,0.9985472744975267,0.9985472744975267
600000.0,20000.0,0.0023,46.0,1426.0,0.9984474272704579,0.037850126791457335,0.037850126791457335,0.9984474272704579,0.9984474272704579
620000.0,20000.0,0.0023,46.0,1472.0,0.9983444021976635,0.039033440062135646,0.039033440062135646,0.9983444021976635,0.9983444021976635
640000.0,20000.0,0.0023,46.0,1518.0,0.9982382123976812,0.04021186606660464,0.04021186606660464,0.9982382123976813,0.9982382123976813
660000.0,20000.0,0.0023,46.0,1564.0,0.99812887094776,0.04138542018876994,0.04138542018876994,0.99812887094776,0.99812887094776
680000.0,20000.0,0.0023,46.0,1610.0,0.9980163908839796,0.04255411776827861,0.04255411776827861,0.9980163908839796,0.9980163908839796
700000.0,20000.0,0.0023,46.0,1656.0,0.9979007852013683,0.043717974100642036,0.043717974100642036,0.9979007852013683,0.9979007852013683
720000.0,20000.0,0.0023,46.0,1702.0,0.9977820668540215,0.044877004437358335,0.044877004437358335,0.9977820668540216,0.9977820668540216
740000.0,20000.0,0.0023,46.0,1748.0,0.9976602487552203,0.046031223986033494,0.046031223986033494,0.9976602487552201,0.9976602487552201
760000.0,20000.0,0.0023,46.0,1794.0,0.997535343777546,0.04718064791050378,0.04718064791050378,0.9975353437775462,0.9975353437775462
780000.0,20000.0,0.0023,46.0,1840.0,0.997407364753002,0.048325291330956595,0.048325291330956595,0.9974073647530021,0.9974073647530021
800000.0,20000.0,0.0023,46.0,1886.0,0.997276324473126,0.049465169324051594,0.049465169324051594,0.997276324473126,0.997276324473126
820000.0,20000.0,0.0023,46.0,1932.0,0.9971422356891092,0.05060029692304083,0.05060029692304083,0.9971422356891092,0.9971422356891092
840000.0,20000.0,0.0023,46.0,1978.0,0.9970051111119116,0.05173068911788971,0.05173068911788971,0.9970051111119116,0.9970051111119116
860000.0,20000.0,0.0023,46.0,2024.0,0.996864963412378,0.052856360855396446,0.052856360855396446,0.996864963412378,0.996864963412378
880000.0,20000.0,0.0023,46.0,2070.0,0.9967218052213532,0.05397732703931174,0.05397732703931174,0.9967218052213532,0.9967218052213532
900000.0,20000.0,0.0023,46.0,2116.0,0.9965756491297981,0.05509360253045831,0.05509360253045831,0.9965756491297981,0.9965756491297981
920000.0,20000.0,0.0023,46.0,2162.0,0.9964265076889035,0.05620520214684958,0.05620520214684958,0.9964265076889035,0.9964265076889035
940000.0,20000.0,0.0023,46.0,2208.0,0.9962743934102053,0.057312140663808284,0.057312140663808284,0.9962743934102053,0.9962743934102053
960000.0,20000.0,0.0023,46.0,2254.0,0.9961193187656984,0.05841443281408522,0.05841443281408522,0.9961193187656985,0.9961193187656985
980000.0,20000.0,0.0023,46.0,2300.0,0.9959612961879514,0.05951209328797663,0.05951209328797663,0.9959612961879514,0.9959612961879514
1000000.0,20000.0,0.0023,46.0,2346.0,0.995800338070219,0.06060513673344249,0.06060513673344249,0.9958003380702191,0.9958003380702191
1020000.0,20000.0,0.0023,46.0,2392.0,0.9956364567665565,0.06169357775622339,0.06169357775622339,0.9956364567665565,0.9956364567665565
1040000.0,20000.0,0.0023,46.0,2438.0,0.9954696645919318,0.06277743091995769,0.06277743091995769,0.9954696645919319,0.9954696645919319
1060000.0,20000.0,0.0023,46.0,2484.0,0.995299973822339,0.06385671074629838,0.06385671074629838,0.995299973822339,0.995299973822339
1080000.0,20000.0,0.0023,46.0,2530.0,0.9951273966949099,0.06493143171502938,0.06493143171502938,0.9951273966949099,0.9951273966949099
1100000.0,20000.0,0.0023,46.0,2576.0,0.9949519454080267,0.06600160826418161,0.06600160826418161,0.9949519454080267,0.9949519454080267
1120000.0,20000.0,0.0023,46.0,2622.0,0.9947736321214334,0.06706725479014881,0.06706725479014881,0.9947736321214334,0.9947736321214334
1140000.0,20000.0,0.0023,46.0,2668.0,0.9945924689563472,0.06812838564780276,0.06812838564780276,0.9945924689563473,0.9945924689563473
1160000.0,20000.0,0.0023,46.0,2714.0,0.9944084679955701,0.06918501515060896,0.06918501515060896,0.9944084679955703,0.9944084679955703
1180000.0,20000.0,0.0023,46.0,2760.0,0.9942216412835994,0.07023715757074067,0.07023715757074067,0.9942216412835994,0.9942216412835994
1200000.0,20000.0,0.0023,46.0,2806.0,0.9940320008267373,0.07128482713919417,0.07128482713919417,0.9940320008267374,0.9940320008267374
1220000.0,20000.0,0.0023,46.0,2852.0,0.9938395585932032,0.07232803804590243,0.07232803804590243,0.9938395585932032,0.9938395585932032
1240000.0,20000.0,0.0023,46.0,2898.0,0.9936443265132414,0.07336680443984933,0.07336680443984933,0.9936443265132415,0.9936443265132415
1260000.0,20000.0,0.0023,46.0,2944.0,0.9934463164792325,0.07440114042918299,0.07440114042918299,0.9934463164792325,0.9934463164792325
1280000.0,20000.0,0.0023,46.0,2990.0,0.9932455403458011,0.07543106008132915,0.07543106008132915,0.9932455403458011,0.9932455403458011
1300000.0,20000.0,0.0023,46.0,3036.0,0.993042009929926,0.07645657742310433,0.07645657742310433,0.993042009929926,0.993042009929926
1320000.0,20000.0,0.0023,46.0,3082.0,0.9928357370110482,0.07747770644082798,0.07747770644082798,0.9928357370110482,0.9928357370110482
1340000.0,20000.0,0.0023,46.0,3128.0,0.9926267333311798,0.07849446108043519,0.07849446108043519,0.9926267333311798,0.9926267333311798
1360000.0,20000.0,0.0023,46.0,3174.0,0.9924150105950112,0.07950685524758887,0.07950685524758887,0.9924150105950112,0.9924150105950112
1380000.0,20000.0,0.0023,46.0,3220.0,0.9922005804700204,0.08051490280779094,0.08051490280779094,0.9922005804700204,0.9922005804700204
1400000.0,20000.0,0.0023,46.0,3266.0,0.9919834545865783,0.08151861758649441,0.08151861758649441,0.9919834545865784,0.9919834545865784
1420000.0,20000.0,0.0023,46.0,3312.0,0.9917636445380587,0.08251801336921391,0.08251801336921391,0.9917636445380587,0.9917636445380587
1440000.0,20000.0,0.0023,46.0,3358.0,0.9915411618809419,0.08351310390163694,0.08351310390163694,0.9915411618809419,0.9915411618809419
1460000.0,20000.0,0.0023,46.0,3404.0,0.9913160181349243,0.08450390288973415,0.08450390288973415,0.9913160181349243,0.9913160181349243
1480000.0,20000.0,0.0023,46.0,3450.0,0.9910882247830226,0.08549042399986964,0.08549042399986964,0.9910882247830227,0.9910882247830227
1500000.0,20000.0,0.0023,46.0,3496.0,0.9908577932716814,0.08647268085891104,0.08647268085891104,0.9908577932716814,0.9908577932716814
1520000.0,20000.0,0.0023,46.0,3542.0,0.9906247350108772,0.08745068705433875,0.08745068705433875,0.9906247350108773,0.9906247350108773
1540000.0,20000.0,0.0023,46.0,3588.0,0.9903890613742254,0.08842445613435548,0.08842445613435548,0.9903890613742254,0.9903890613742254
1560000.0,20000.0,0.0023,46.0,3634.0,0.9901507836990844,0.0893940016079956,0.0893940016079956,0.9901507836990844,0.9901507836990844
1580000.0,20000.0,0.0023,46.0,3680.0,0.9899099132866609,0.09035933694523308,0.09035933694523308,0.9899099132866607,0.9899099132866607
1600000.0,20000.0,0.0023,46.0,3726.0,0.9896664614021136,0.09132047557709055,0.09132047557709055,0.9896664614021136,0.9896664614021136
1620000.0,20000.0,0.0023,46.0,3772.0,0.9894204392746594,0.09227743089574758,0.09227743089574758,0.9894204392746594,0.9894204392746594
1640000.0,20000.0,0.0023,46.0,3818.0,0.9891718580976753,0.09323021625464765,0.09323021625464765,0.9891718580976753,0.9891718580976753
1660000.0,20000.0,0.0023,46.0,3864.0,0.9889207290288028,0.09417884496860665,0.09417884496860665,0.9889207290288028,0.9889207290288028
1680000.0,20000.0,0.0023,46.0,3910.0,0.9886670631900517,0.09512333031391951,0.09512333031391951,0.9886670631900517,0.9886670631900517
1700000.0,20000.0,0.0023,46.0,3956.0,0.9884108716679025,0.09606368552846747,0.09606368552846747,0.9884108716679025,0.9884108716679025
1720000.0,20000.0,0.0023,46.0,4002.0,0.9881521655134098,0.09699992381182472,0.09699992381182472,0.9881521655134099,0.9881521655134099
1740000.0,20000.0,0.0023,46.0,4048.0,0.9878909557423045,0.09793205832536464,0.09793205832536464,0.9878909557423045,0.9878909557423045
1760000.0,20000.0,0.0023,46.0,4094.0,0.9876272533350957,0.09886010219236592,0.09886010219236592,0.9876272533350957,0.9876272533350957
1780000.0,20000.0,0.0023,46.0,4140.0,0.9873610692371736,0.09978406849811848,0.09978406849811848,0.9873610692371736,0.9873610692371736
1800000.0,20000.0,0.0023,46.0,4186.0,0.9870924143589104,0.10070397029002882,0.10070397029002882,0.9870924143589104,0.9870924143589104
1820000.0,20000.0,0.0023,46.0,4232.0,0.9868212995757616,0.10161982057772553,0.10161982057772553,0.9868212995757617,0.9868212995757617
1840000.0,20000.0,0.0023,46.0,4278.0,0.9865477357283681,0.10253163233316367,0.10253163233316367,0.9865477357283681,0.9865477357283681
1860000.0,20000.0,0.0023,46.0,4324.0,0.9862717336226555,0.10343941849073016,0.10343941849073016,0.9862717336226555,0.9862717336226555
1880000.0,20000.0,0.0023,46.0,4370.0,0.9859933040299362,0.1043431919473475,0.1043431919473475,0.9859933040299362,0.9859933040299362
1900000.0,20000.0,0.0023,46.0,4416.0,0.9857124576870083,0.10524296556257826,0.10524296556257826,0.9857124576870083,0.9857124576870083
1920000.0,20000.0,0.0023,46.0,4462.0,0.9854292052962567,0.10613875215872862,0.10613875215872862,0.9854292052962567,0.9854292052962567
1940000.0,20000.0,0.0023,46.0,4508.0,0.985143557525752,0.10703056452095212,0.10703056452095212,0.985143557525752,0.985143557525752
1960000.0,20000.0,0.0023,46.0,4554.0,0.9848555250093506,0.10791841539735252,0.10791841539735252,0.9848555250093506,0.9848555250093506
1980000.0,20000.0,0.0023,46.0,4600.0,0.9845651183467932,0.10880231749908734,0.10880231749908734,0.9845651183467932,0.9845651183467932
2000000.0,20000.0,0.0023,46.0,4646.0,0.984272348103804,0.10968228350047006,0.10968228350047006,0.984272348103804,0.984272348103804
2020000.0,20000.0,0.0023,46.0,4692.0,0.9839772248121896,0.11055832603907238,0.11055832603907238,0.9839772248121896,0.9839772248121896
2040000.0,20000.0,0.0023,46.0,4738.0,0.9836797589699371,0.11143045771582699,0.11143045771582699,0.9836797589699369,0.9836797589699369
2060000.0,20000.0,0.0023,46.0,4784.0,0.9833799610413106,0.11229869109512883,0.11229869109512883,0.9833799610413108,0.9833799610413108
2080000.0,20000.0,0.0023,46.0,4830.0,0.9830778414569532,0.11316303870493666,0.11316303870493666,0.9830778414569532,0.9830778414569532
2100000.0,20000.0,0.0023,46.0,4876.0,0.9827734106139795,0.11402351303687476,0.11402351303687476,0.9827734106139795,0.9827734106139795
2120000.0,20000.0,0.0023,46.0,4922.0,0.982466678876076,0.11488012654633359,0.11488012654633359,0.982466678876076,0.982466678876076
2140000.0,20000.0,0.0023,46.0,4968.0,0.982157656573597,0.11573289165257047,0.11573289165257047,0.982157656573597,0.982157656573597
2160000.0,20000.0,0.0023,46.0,5014.0,0.9818463540036616,0.1165818207388104,0.1165818207388104,0.9818463540036616,0.9818463540036616
2180000.0,20000.0,0.0023,46.0,5060.0,0.9815327814302501,0.11742692615234573,0.11742692615234573,0.9815327814302501,0.9815327814302501
2200000.0,20000.0,0.0023,46.0,5106.0,0.9812169490843,0.11826822020463648,0.11826822020463648,0.9812169490843,0.9812169490843
2220000.0,20000.0,0.0023,46.0,5152.0,0.9808988671638018,0.11910571517140991,0.11910571517140991,0.9808988671638019,0.9808988671638019
2240000.0,20000.0,0.0023,46.0,5198.0,0.9805785458338955,0.11993942329275961,0.11993942329275961,0.9805785458338955,0.9805785458338955
2260000.0,20000.0,0.0023,46.0,5244.0,0.9802559952269642,0.12076935677324489,0.12076935677324489,0.9802559952269642,0.9802559952269642
2280000.0,20000.0,0.0023,46.0,5290.0,0.9799312254427313,0.12159552778198944,0.12159552778198944,0.9799312254427313,0.9799312254427313
2300000.0,20000.0,0.0023,46.0,5336.0,0.9796042465483537,0.12241794845278006,0.12241794845278006,0.9796042465483537,0.9796042465483537
2320000.0,20000.0,0.0023,46.0,5382.0,0.9792750685785171,0.12323663088416476,0.12323663088416476,0.9792750685785171,0.9792750685785171
2340000.0,20000.0,0.0023,46.0,5428.0,0.9789437015355307,0.12405158713955056,0.12405158713955056,0.9789437015355307,0.9789437015355307
2360000.0,20000.0,0.0023,46.0,5474.0,0.97861015538942,0.12486282924730199,0.12486282924730199,0.97861015538942,0.97861015538942
2380000.0,20000.0,0.0023,46.0,5520.0,0.9782744400780219,0.12567036920083768,0.12567036920083768,0.9782744400780219,0.9782744400780219
2400000.0,20000.0,0.0023,46.0,5566.0,0.9779365655070772,0.12647421895872818,0.12647421895872818,0.9779365655070773,0.9779365655070773
2420000.0,20000.0,0.0023,46.0,5612.0,0.9775965415503248,0.12727439044479266,0.12727439044479266,0.9775965415503248,0.9775965415503248
2440000.0,20000.0,0.0023,46.0,5658.0,0.977254378049594,0.1280708955481956,0.1280708955481956,0.977254378049594,0.977254378049594
2460000.0,20000.0,0.0023,46.0,5704.0,0.9769100848148973,0.12886374612354343,0.12886374612354343,0.9769100848148973,0.9769100848148973
2480000.0,20000.0,0.0023,46.0,5750.0,0.9765636716245231,0.1296529539909802,0.1296529539909802,0.9765636716245232,0.9765636716245232
2500000.0,20000.0,0.0023,46.0,5796.0,0.9762151482251283,0.1304385309362842,0.1304385309362842,0.9762151482251283,0.9762151482251283
2520000.0,20000.0,0.0023,46.0,5842.0,0.9758645243318295,0.13122048871096287,0.13122048871096287,0.9758645243318295,0.9758645243318295
2540000.0,20000.0,0.0023,46.0,5888.0,0.9755118096282949,0.13199883903234852,0.13199883903234852,0.9755118096282949,0.9755118096282949
2560000.0,20000.0,0.0023,46.0,5934.0,0.9751570137668363,0.13277359358369353,0.13277359358369353,0.9751570137668363,0.9751570137668363
2580000.0,20000.0,0.0023,46.0,5980.0,0.9748001463684998,0.13354476401426502,0.13354476401426502,0.9748001463684998,0.9748001463684998
2600000.0,20000.0,0.0023,46.0,6026.0,0.974441217023157,0.13431236193943957,0.13431236193943957,0.974441217023157,0.974441217023157
2620000.0,20000.0,0.0023,46.0,6072.0,0.9740802352895952,0.1350763989407975,0.1350763989407975,0.9740802352895953,0.9740802352895953
2640000.0,20000.0,0.0023,46.0,6118.0,0.973717210695609,0.13583688656621673,0.13583688656621673,0.9737172106956091,0.9737172106956091
2660000.0,20000.0,0.0023,46.0,6164.0,0.9733521527380892,0.13659383632996724,0.13659383632996724,0.9733521527380892,0.9733521527380892
2680000.0,20000.0,0.0023,46.0,6210.0,0.9729850708831134,0.1373472597128038,0.1373472597128038,0.9729850708831131,0.9729850708831131
2700000.0,20000.0,0.0023,46.0,6256.0,0.9726159745660348,0.13809716816205989,0.13809716816205989,0.9726159745660349,0.9726159745660349
2720000.0,20000.0,0.0023,46.0,6302.0,0.9722448731915743,0.1388435730917407,0.1388435730917407,0.9722448731915743,0.9722448731915743
2740000.0,20000.0,0.0023,46.0,6348.0,0.9718717761339061,0.13958648588261555,0.13958648588261555,0.9718717761339062,0.9718717761339062
2760000.0,20000.0,0.0023,46.0,6394.0,0.9714966927367495,0.14032591788231083,0.14032591788231083,0.9714966927367493,0.9714966927367493
2780000.0,20000.0,0.0023,46.0,6440.0,0.9711196323134551,0.14106188040540224,0.14106188040540224,0.9711196323134551,0.9711196323134551
2800000.0,20000.0,0.0023,46.0,6486.0,0.9707406041470962,0.1417943847335065,0.1417943847335065,0.9707406041470962,0.9707406041470962
