Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,C,X,Z
880000.0,20000.0,0.0023,46.0,2070.0,0.0,0.0,0.0,0.0,0.0
900000.0,20000.0,0.0023,46.0,2116.0,0.0,0.0,0.0,0.0,0.0
920000.0,20000.0,0.0023,46.0,2162.0,0.0,0.0,0.0,0.0,0.0
940000.0,20000.0,0.0023,46.0,2208.0,0.0,0.0,0.0,0.0,0.0
960000.0,20000.0,0.0023,46.0,2254.0,0.0,0.0,0.0,0.0,0.0
980000.0,20000.0,0.0023,46.0,2300.0,0.0,0.0,0.0,0.0,0.0
1000000.0,20000.0,0.0023,46.0,2346.0,0.0,0.0,0.0,0.0,0.0
1020000.0,20000.0,0.0023,46.0,2392.0,0.0,0.0,0.0,0.0,0.0
1040000.0,20000.0,0.0023,46.0,2438.0,0.0,0.0,0.0,0.0,0.0
1060000.0,20000.0,0.0023,46.0,2484.0,0.0,0.0,0.0,0.0,0.0
1080000.0,20000.0,0.0023,46.0,2530.0,0.0,0.0,0.0,0.0,0.0
1100000.0,20000.0,0.0023,46.0,2576.0,0.0,0.0,0.0,0.0,0.0
1120000.0,20000.0,0.0023,46.0,2622.0,0.0,0.0,0.0,0.0,0.0
1140000.0,20000.0,0.0023,46.0,2668.0,0.0,0.0,0.0,0.0,0.0
1160000.0,20000.0,0.0023,46.0,2714.0,0.0,0.0,0.0,0.0,0.0
1180000.0,20000.0,0.0023,46.0,2760.0,0.0,0.0,0.0,0.0,0.0
1200000.0,20000.0,0.0023,46.0,2806.0,0.0,0.0,0.0,0.0,0.0
1220000.0,20000.0,0.0023,46.0,2852.0,0.0,0.0,0.0,0.0,0.0
1240000.0,20000.0,0.0023,46.0,2898.0,0.0,0.0,0.0,0.0,0.0
1260000.0,20000.0,0.0023,46.0,2944.0,0.0,0.0,0.0,0.0,0.0
1280000.0,20000.0,0.0023,46.0,2990.0,0.0,0.0,0.0,0.0,0.0
1300000.0,20000.0,0.0023,46.0,3036.0,0.0,0.0,0.0,0.0,0.0
1320000.0,20000.0,0.0023,46.0,3082.0,0.0,0.0,0.0,0.0,0.0
1340000.0,20000.0,0.0023,46.0,3128.0,0.0,0.0,0.0,0.0,0.0
1360000.0,20000.0,0.0023,46.0,3174.0,0.0,0.0,0.0,0.0,0.0
1380000.0,20000.0,0.0023,46.0,3220.0,0.0,0.0,0.0,0.0,0.0
1400000.0,20000.0,0.0023,46.0,3266.0,0.0,0.0,0.0,0.0,0.0
1420000.0,20000.0,0.0023,46.0,3312.0,0.0,0.0,0.0,0.0,0.0
1440000.0,20000.0,0.0023,46.0,3358.0,0.0,0.0,0.0,0.0,0.0
1460000.0,20000.0,0.0023,46.0,3404.0,0.0,0.0,0.0,0.0,0.0
1480000.0,20000.0,0.0023,46.0,3450.0,0.0,0.0,0.0,0.0,0.0
1500000.0,20000.0,0.0023,46.0,3496.0,0.0,0.0,0.0,0.0,0.0
1520000.0,20000.0,0.0023,46.0,3542.0,0.0,0.0,0.0,0.0,0.0
1540000.0,20000.0,0.0023,46.0,3588.0,0.0,0.0,0.0,0.0,0.0
1560000.0,20000.0,0.0023,46.0,3634.0,0.0,0.0,0.0,0.0,0.0
1580000.0,20000.0,0.0023,46.0,3680.0,0.0,0.0,0.0,0.0,0.0
1600000.0,20000.0,0.0023,46.0,3726.0,0.0,0.0,0.0,0.0,0.0
1620000.0,20000.0,0.0023,46.0,3772.0,0.0,0.0,0.0,0.0,0.0
1640000.0,20000.0,0.0023,46.0,3818.0,0.0,0.0,0.0,0.0,0.0
1660000.0,20000.0,0.0023,46.0,3864.0,0.0,0.0,0.0,0.0,0.0
1680000.0,20000.0,0.0023,46.0,3910.0,0.0,0.0,0.0,0.0,0.0
1700000.0,20000.0,0.0023,46.0,3956.0,0.0,0.0,0.0,0.0,0.0
1720000.0,20000.0,0.0023,46.0,4002.0,0.0,0.0,0.0,0.0,0.0
1740000.0,20000.0,0.0023,46.0,4048.0,0.0,0.0,0.0,0.0,0.0
1760000.0,20000.0,0.0023,46.0,4094.0,0.0,0.0,0.0,0.0,0.0
1780000.0,20000.0,0.0023,46.0,4140.0,0.0,0.0,0.0,0.0,0.0
1800000.0,20000.0,0.0023,46.0,4186.0,0.0,0.0,0.0,0.0,0.0
1820000.0,20000.0,0.0023,46.0,4232.0,0.0,0.0,0.0,0.0,0.0
1840000.0,20000.0,0.0023,46.0,4278.0,0.0,0.0,0.0,0.0,0.0
1860000.0,20000.0,0.0023,46.0,4324.0,0.0,0.0,0.0,0.0,0.0
1880000.0,20000.0,0.0023,46.0,4370.0,0.0,0.0,0.0,0.0,0.0
1900000.0,20000.0,0.0023,46.0,4416.0,0.0,0.0,0.0,0.0,0.0
1920000.0,20000.0,0.0023,46.0,4462.0,0.0,0.0,0.0,0.0,0.0
1940000.0,20000.0,0.0023,46.0,4508.0,0.0,0.0,0.0,0.0,0.0
1960000.0,20000.0,0.0023,46.0,4554.0,0.0,0.0,0.0,0.0,0.0
1980000.0,20000.0,0.0023,46.0,4600.0,0.0,0.0,0.0,0.0,0.0
2000000.0,20000.0,0.0023,46.0,4646.0,0.0,0.0,0.0,0.0,0.0
2020000.0,20000.0,0.0023,46.0,4692.0,0.0,0.0,0.0,0.0,0.0
2040000.0,20000.0,0.0023,46.0,4738.0,0.0,0.0,0.0,0.0,0.0
2060000.0,20000.0,0.0023,46.0,4784.0,0.0,0.0,0.0,0.0,0.0
2080000.0,20000.0,0.0023,46.0,4830.0,0.0,0.0,0.0,0.0,0.0
2100000.0,20000.0,0.0023,46.0,4876.0,0.0,0.0,0.0,0.0,0.0
2120000.0,20000.0,0.0023,46.0,4922.0,0.0,0.0,0.0,0.0,0.0
2140000.0,20000.0,0.0023,46.0,4968.0,0.0,0.0,0.0,0.0,0.0
2160000.0,20000.0,0.0023,46.0,5014.0,0.0,0.0,0.0,0.0,0.0
2180000.0,20000.0,0.0023,46.0,5060.0,0.0,0.0,0.0,0.0,0.0
2200000.0,20000.0,0.0023,46.0,5106.0,0.0,0.0,0.0,0.0,0.0
2220000.0,20000.0,0.0023,46.0,5152.0,0.0,0.0,0.0,0.0,0.0
2240000.0,20000.0,0.0023,46.0,5198.0,0.0,0.0,0.0,0.0,0.0
2260000.0,20000.0,0.0023,46.0,5244.0,0.0,0.0,0.0,0.0,0.0
2280000.0,20000.0,0.0023,46.0,5290.0,0.0,0.0,0.0,0.0,0.0
2300000.0,20000.0,0.0023,46.0,5336.0,0.0,0.0,0.0,0.0,0.0
2320000.0,20000.0,0.0023,46.0,5382.0,0.0,0.0,0.0,0.0,0.0
2340000.0,20000.0,0.0023,46.0,5428.0,0.0,0.0,0.0,0.0,0.0
2360000.0,20000.0,0.0023,46.0,5474.0,0.0,0.0,0.0,0.0,0.0
2380000.0,20000.0,0.0023,46.0,5520.0,0.0,0.0,0.0,0.0,0.0
2400000.0,20000.0,0.0023,46.0,5566.0,0.0,0.0,0.0,0.0,0.0
2420000.0,20000.0,0.0023,46.0,5612.0,0.0,0.0,0.0,0.0,0.0
2440000.0,20000.0,0.0023,46.0,5658.0,0.0,0.0,0.0,0.0,0.0
2460000.0,20000.0,0.0023,46.0,5704.0,0.0,0.0,0.0,0.0,0.0
2480000.0,20000.0,0.0023,46.0,5750.0,0.0,0.0,0.0,0.0,0.0
2500000.0,20000.0,0.0023,46.0,5796.0,0.0,0.0,0.0,0.0,0.0
2520000.0,20000.0,0.0023,46.0,5842.0,0.0,0.0,0.0,0.0,0.0
2540000.0,20000.0,0.0023,46.0,5888.0,0.0,0.0,0.0,0.0,0.0
2560000.0,20000.0,0.0023,46.0,5934.0,0.0,0.0,0.0,0.0,0.0
2580000.0,20000.0,0.0023,46.0,5980.0,0.0,0.0,0.0,0.0,0.0
2600000.0,20000.0,0.0023,46.0,6026.0,0.0,0.0,0.0,0.0,0.0
2620000.0,20000.0,0.0023,46.0,6072.0,0.0,0.0,0.0,0.0,0.0
2640000.0,20000.0,0.0023,46.0,6118.0,0.0,0.0,0.0,0.0,0.0
2660000.0,20000.0,0.0023,46.0,6164.0,0.0,0.0,0.0,0.0,0.0
2680000.0,20000.0,0.0023,46.0,6210.0,0.0,0.0,0.0,0.0,0.0
2700000.0,20000.0,0.0023,46.0,6256.0,0.0,0.0,0.0,0.0,0.0
2720000.0,20000.0,0.0023,46.0,6302.0,0.0,0.0,0.0,0.0,0.0
2740000.0,20000.0,0.0023,46.0,6348.0,0.0,0.0,0.0,0.0,0.0
2760000.0,20000.0,0.0023,46.0,6394.0,0.0,0.0,0.0,0.0,0.0
2780000.0,20000.0,0.0023,46.0,6440.0,0.0,0.0,0.0,0.0,0.0
2800000.0,20000.0,0.0023,46.0,6486.0,0.0,0.0,0.0,0.0,0.0
2820000.0,20000.0,0.0023,46.0,6532.0,0.0,0.0,0.0,0.0,0.0
2840000.0,20000.0,0.0023,46.0,6578.0,0.0,0.0,0.0,0.0,0.0
2860000.0,20000.0,0.0023,46.0,6624.0,0.0,0.0,0.0,0.0,0.0
2880000.0,20000.0,0.0023,46.0,6670.0,0.0,0.0,0.0,0.0,0.0
2900000.0,20000.0,0.0023,46.0,6716.0,0.0,0.0,0.0,0.0,0.0
2920000.0,20000.0,0.0023,46.0,6762.0,0.0,0.0,0.0,0.0,0.0
2940000.0,20000.0,0.0023,46.0,6808.0,0.0,0.0,0.0,0.0,0.0
2960000.0,20000.0,0.0023,46.0,6854.0,0.0,0.0,0.0,0.0,0.0
2980000.0,20000.0,0.0023,46.0,6900.0,0.0,0.0,0.0,0.0,0.0
3000000.0,20000.0,0.0023,46.0,6946.0,0.0,0.0,0.0,0.0,0.0
3020000.0,20000.0,0.0023,46.0,6992.0,0.0,0.0,0.0,0.0,0.0
3040000.0,20000.0,0.0023,46.0,7038.0,0.0,0.0,0.0,0.0,0.0
3060000.0,20000.0,0.0023,46.0,7084.0,0.0,0.0,0.0,0.0,0.0
3080000.0,20000.0,0.0023,46.0,7130.0,0.0,0.0,0.0,0.0,0.0
3100000.0,20000.0,0.0023,46.0,7176.0,0.0,0.0,0.0,0.0,0.0
3120000.0,20000.0,0.0023,46.0,7222.0,0.0,0.0,0.0,0.0,0.0
3140000.0,20000.0,0.0023,46.0,7268.0,0.0,0.0,0.0,0.0,0.0
3160000.0,20000.0,0.0023,46.0,7314.0,0.0,0.0,0.0,0.0,0.0
3180000.0,20000.0,0.0023,46.0,7360.0,0.0,0.0,0.0,0.0,0.0
3200000.0,20000.0,0.0023,46.0,7406.0,0.0,0.0,0.0,0.0,0.0
3220000.0,20000.0,0.0023,46.0,7452.0,0.0,0.0,0.0,0.0,0.0
3240000.0,20000.0,0.0023,46.0,7498.0,0.0,0.0,0.0,0.0,0.0
3260000.0,20000.0,0.0023,46.0,7544.0,0.0,0.0,0.0,0.0,0.0
3280000.0,20000.0,0.0023,46.0,7590.0,0.0,0.0,0.0,0.0,0.0
3300000.0,20000.0,0.0023,46.0,7636.0,0.0,0.0,0.0,0.0,0.0
3320000.0,20000.0,0.0023,46.0,7682.0,0.0,0.0,0.0,0.0,0.0
3340000.0,20000.0,0.0023,46.0,7728.0,0.0,0.0,0.0,0.0,0.0
