Time (s),Time Step (s),Dose Rate (rad/s),Dose (rad),Total Dose (rad),A,B,C,X,Z
14340000.0,20000.0,0.0023,46.0,33028.0,0.999974512345115,0.6174056540302105,0.028862489032139005,0.01781986391782756,0.9999749665316566
14360000.0,20000.0,0.0023,46.0,33074.0,0.9999759866049207,0.6179179871139818,0.030745733805071784,0.018998341945172262,0.9999764428196121
14380000.0,20000.0,0.0023,46.0,33120.0,0.9999773778910193,0.6184296341311881,0.03272676456188589,0.020239201034304623,0.9999778357444308
14400000.0,20000.0,0.0023,46.0,33166.0,0.9999786907254948,0.618940596000543,0.03480890406842313,0.021544643830235535,0.9999791498262245
14420000.0,20000.0,0.0023,46.0,33212.0,0.9999799293933243,0.6194508736395296,0.036995477509857544,0.022916880864192822,0.9999803893490263
14440000.0,20000.0,0.0023,46.0,33258.0,0.9999810979542284,0.6199604679644026,0.03928980507457458,0.02435812594026342,0.9999815583726399
14460000.0,20000.0,0.0023,46.0,33304.0,0.999982200253966,0.6204693798901898,0.04169519424542523,0.025870591317859997,0.9999826607439211
14480000.0,20000.0,0.0023,46.0,33350.0,0.9999832399350951,0.6209776103306937,0.04421493181594993,0.02745648270000315,0.9999837001075272
14500000.0,20000.0,0.0023,46.0,33396.0,0.9999842204472245,0.6214851601984928,0.04685227565107658,0.02911799403867327,0.999984679916148
14520000.0,20000.0,0.0023,46.0,33442.0,0.9999851450567782,0.6219920304049438,0.04961044621356925,0.030857302169673192,0.9999856034402499
14540000.0,20000.0,0.0023,46.0,33488.0,0.9999860168562937,0.622498221860183,0.0524926178793953,0.03267656129070962,0.999986473777346
14560000.0,20000.0,0.0023,46.0,33534.0,0.9999868387732751,0.6230037354731279,0.0555019100668,0.03457789729751,0.9999872938608209
14580000.0,20000.0,0.0023,46.0,33580.0,0.9999876135786192,0.623508572151479,0.058641378205599504,0.03656340199396821,0.9999880664683233
14600000.0,20000.0,0.0023,46.0,33626.0,0.9999883438946369,0.6240127328017212,0.06191400457475171,0.03863512719338909,0.9999887942297502
14620000.0,20000.0,0.0023,46.0,33672.0,0.9999890322026836,0.6245162183291253,0.06532268903766458,0.040795078728891696,0.9999894796348389
14640000.0,20000.0,0.0023,46.0,33718.0,0.999989680850421,0.6250190296377502,0.06887023970619865,0.04304521039208754,0.9999901250403858
14660000.0,20000.0,0.0023,46.0,33764.0,0.9999902920587224,0.625521167630444,0.07255936356538156,0.045387417819939366,0.9999907326771091
14680000.0,20000.0,0.0023,46.0,33810.0,0.9999908679282408,0.6260226332088457,0.07639265709206194,0.047823532350593015,0.9999913046561698
14700000.0,20000.0,0.0023,46.0,33856.0,0.9999914104456542,0.6265234272733871,0.08037259690165494,0.05035531486968726,0.999991842975368
14720000.0,20000.0,0.0023,46.0,33902.0,0.9999919214896026,0.6270235507232942,0.08450153045798081,0.05298444966931572,0.9999923495250301
14740000.0,20000.0,0.0023,46.0,33948.0,0.999992402836331,0.6275230044565887,0.08878166688172934,0.055712538342286816,0.9999928260936031
14760000.0,20000.0,0.0023,46.0,33994.0,0.9999928561650528,0.6280217893700899,0.09321506789373579,0.05854109373487837,0.9999932743729641
14780000.0,20000.0,0.0023,46.0,34040.0,0.9999932830630456,0.6285199063594162,0.09780363892940758,0.06147153398152141,0.999993695963464
14800000.0,20000.0,0.0023,46.0,34086.0,0.9999936850304914,0.6290173563189867,0.10254912046086662,0.06450517664513163,0.9999940923787151
14820000.0,20000.0,0.0023,46.0,34132.0,0.9999940634850759,0.6295141401420223,0.10745307956333588,0.0676432329869257,0.999994465050138
14840000.0,20000.0,0.0023,46.0,34178.0,0.9999944197663547,0.6300102587205486,0.11251690176194623,0.0708868023894783,0.9999948153312744
14860000.0,20000.0,0.0023,46.0,34224.0,0.9999947551398999,0.6305057129453959,0.11774178319489087,0.07423686695675691,0.9999951445018812
14880000.0,20000.0,0.0023,46.0,34270.0,0.9999950708012363,0.6310005037062022,0.1231287231280524,0.07769428631450258,0.9999954537718163
14900000.0,20000.0,0.0023,46.0,34316.0,0.9999953678795781,0.6314946318914137,0.12867851685564713,0.08125979263408996,0.9999957442847232
14920000.0,20000.0,0.0023,46.0,34362.0,0.9999956474413745,0.6319880983882873,0.13439174902022505,0.084933985902368,0.9999960171215274
14940000.0,20000.0,0.0023,46.0,34408.0,0.9999959104936749,0.6324809040828914,0.14026878738436122,0.08871732945947165,0.9999962733037548
14960000.0,20000.0,0.0023,46.0,34454.0,0.9999961579873211,0.6329730498601083,0.14630977708494708,0.09261014582581154,0.9999965137966755
14980000.0,20000.0,0.0023,46.0,34500.0,0.9999963908199752,0.6334645366036347,0.1525146353994879,0.09661261283860889,0.9999967395122875
15000000.0,20000.0,0.0023,46.0,34546.0,0.999996609838991,0.6339553651959846,0.15888304705215678,0.10072476011740086,0.9999969513121455
