Time (s),A,B,C,X,Z
11900000.0,0.9999999947499104,7.510220414673549e-11,7.510221244699455e-11,7.510221244695894e-11,1.0
11920000.0,0.9999999936253107,8.737482781242562e-11,8.737488123501819e-11,8.737488123500431e-11,1.0
11940000.0,0.9999999922705997,1.01493126691292e-10,1.0149315583343215e-10,1.0149315583341886e-10,1.0
11960000.0,0.999999990640995,1.1770807449912573e-10,1.1770805543805481e-10,1.1770805543804556e-10,1.0
11980000.0,0.9999999886834696,1.3630064073283246e-10,1.363006284148018e-10,1.3630062841484833e-10,1.0
12000000.0,0.9999999863353265,1.575850110888291e-10,1.5758495056804735e-10,1.5758495056800465e-10,1.0
12020000.0,0.9999999835225416,1.819113271414601e-10,1.8191134651717882e-10,1.8191134651713867e-10,1.0
12040000.0,0.9999999801578483,2.0966974542253566e-10,2.096698349566031e-10,2.096698349565966e-10,1.0
12060000.0,0.9999999761385122,2.412939569973744e-10,2.4129380813973384e-10,2.412938081397743e-10,1.0
12080000.0,0.999999971343769,2.77263979175112e-10,2.7726394354772694e-10,2.7726394354771453e-10,1.0
12100000.0,0.9999999656318608,3.181122622635976e-10,3.181123539156972e-10,3.181123539156866e-10,1.0
12120000.0,0.9999999588366275,3.6442683607435967e-10,3.6442697431340976e-10,3.644269743134595e-10,1.0
12140000.0,0.9999999507635827,4.168560329874429e-10,4.168561830480882e-10,4.168561830480509e-10,1.0
12160000.0,0.9999999411854108,4.761137973016627e-10,4.76113652796079e-10,4.761136527960602e-10,1.0
12180000.0,0.9999999298367986,5.429833996304651e-10,5.429834269184684e-10,5.429834269184346e-10,1.0
12200000.0,0.999999916408527,6.183254199446011e-10,6.183252078475678e-10,6.183252078475508e-10,1.0
12220000.0,0.9999999005407073,7.03079770200556e-10,7.030798456996708e-10,7.030798456996949e-10,1.0
12240000.0,0.9999998818150692,7.982750499256217e-10,7.982750133021008e-10,7.982750133020888e-10,1.0
12260000.0,0.9999998597461692,9.050310629765682e-10,9.050310433265559e-10,9.050310433265238e-10,1.0
12280000.0,0.9999998337713897,1.0245668638181058e-09,1.0245669099534382e-09,1.0245669099533745e-09,1.0
12300000.0,0.9999998032395746,1.1582062123829044e-09,1.1582063213547742e-09,1.1582063213548032e-09,1.0
12320000.0,0.9999997673981396,1.3073838119407056e-09,1.3073838957678628e-09,1.3073838957679203e-09,1.0
12340000.0,0.999999725378475,1.4736513923075142e-09,1.473651384702036e-09,1.4736513847020426e-09,1.0
12360000.0,0.9999996761794373,1.6586838888706442e-09,1.6586839010025068e-09,1.6586839010025145e-09,1.0
12380000.0,0.9999996186487082,1.864286032314711e-09,1.864286108916811e-09,1.8642861089169114e-09,1.0
12400000.0,0.9999995514617797,2.0923984070753587e-09,2.092398328066655e-09,2.0923983280665705e-09,1.0
12420000.0,0.9999994730982972,2.34510247137069e-09,2.345102494179958e-09,2.3451024941799606e-09,1.0
12440000.0,0.9999993818154725,2.62462793708188e-09,2.624627922059831e-09,2.624627922059725e-09,1.0
12460000.0,0.999999275618244,2.9333567807532394e-09,2.9333568067046067e-09,2.9333568067047262e-09,1.0
12480000.0,0.9999991522258388,3.2738294231879425e-09,3.273829396349355e-09,3.2738293963494103e-09,1.0
12500000.0,0.9999990090343656,3.648748728689487e-09,3.648748766617141e-09,3.6487487666171948e-09,1.0
12520000.0,0.9999988430750218,4.060984910351102e-09,4.060985123784303e-09,4.060985123784629e-09,1.0
12540000.0,0.9999986509674806,4.5135796367901075e-09,4.51357955590347e-09,4.513579555903516e-09,1.0
12560000.0,0.9999984288679726,5.0097471171930106e-09,5.009747156746773e-09,5.009747156746601e-09,1.0
12580000.0,0.9999981724115569,5.552879502877858e-09,5.552879435296268e-09,5.552879435296462e-09,1.0
12600000.0,0.9999978766480169,6.146545839708984e-09,6.146545930393897e-09,6.1465459303937346e-09,1.0
12620000.0,0.9999975359708013,6.794495078077303e-09,6.7944949427928375e-09,6.794494942792149e-09,1.0
12640000.0,0.9999971440383575,7.500653308340638e-09,7.500653300152088e-09,7.500653300151729e-09,1.0
12660000.0,0.999996693687193,8.26912505060757e-09,8.269125069194743e-09,8.269125069194568e-09,1.0
12680000.0,0.9999961768359347,9.104189131813622e-09,9.10418913060384e-09,9.104189130603685e-09,1.0
12700000.0,0.9999955843796162,1.0010295619315948e-08,1.0010295535451616e-08,1.001029553545163e-08,1.0
12720000.0,0.9999949060733807,1.099206062628428e-08,1.099206056230491e-08,1.0992060562304944e-08,1.0
12740000.0,0.999994130404735,1.2054260316425498e-08,1.2054260401675468e-08,1.2054260401674771e-08,1.0
12760000.0,0.9999932444534441,1.3201823335449235e-08,1.3201823396276964e-08,1.320182339627699e-08,1.0
12780000.0,0.9999922337381165,1.4439820763245331e-08,1.4439820772830581e-08,1.443982077283205e-08,1.0
12800000.0,0.9999910820484632,1.5773456004479515e-08,1.5773455809004676e-08,1.5773455809004445e-08,1.0
12820000.0,0.9999897712621926,1.7208051476062037e-08,1.7208051385251993e-08,1.720805138525179e-08,1.0
12840000.0,0.9999882811454431,1.874903585643606e-08,1.8749035882220012e-08,1.874903588221946e-08,1.0
12860000.0,0.9999865891356121,2.0401927340849522e-08,2.040192739286171e-08,2.040192739286373e-08,1.0
12880000.0,0.9999846701054093,2.2172316283885302e-08,2.217231623147183e-08,2.217231623146818e-08,1.0
12900000.0,0.999982496106909,2.4065845617199734e-08,2.4065845731322472e-08,2.4065845731321466e-08,1.0
12920000.0,0.9999800360943614,2.608819128226748e-08,2.6088191338371626e-08,2.6088191338373175e-08,1.0
12940000.0,0.9999772556244687,2.8245038038301058e-08,2.8245038019582222e-08,2.824503801958338e-08,1.0
12960000.0,0.9999741165328297,3.0542056035045215e-08,3.0542056020573664e-08,3.0542056020569336e-08,1.0
12980000.0,0.9999705765852146,3.298487505678174e-08,3.298487502174628e-08,3.2984875021745444e-08,1.0
13000000.0,0.9999665891023374,3.557905668196959e-08,3.5579056757137375e-08,3.557905675713465e-08,1.0
13020000.0,0.9999621025567675,3.833006615726228e-08,3.833006617701207e-08,3.8330066177006805e-08,1.0
13040000.0,0.9999570601406393,4.12432412659227e-08,4.1243241250636376e-08,4.1243241250631995e-08,1.0
13060000.0,0.9999513993028153,4.432376154227522e-08,4.4323761522104465e-08,4.432376152211065e-08,1.0
13080000.0,0.9999450512541845,4.757661556556497e-08,4.7576615548639204e-08,4.757661554863548e-08,1.0
13100000.0,0.9999379404398038,5.1006567361058976e-08,5.100656736551078e-08,5.100656736551486e-08,1.0
13120000.0,0.9999299839766356,5.4618122164104076e-08,5.461812213923499e-08,5.4618122139232396e-08,1.0
13140000.0,0.9999210910556714,5.841549115444718e-08,5.841549118327515e-08,5.8415491183266436e-08,1.0
13160000.0,0.9999111623073267,6.240255639278082e-08,6.240255652691566e-08,6.24025565269185e-08,1.0
