Time (s),A,B,C,X,Z
5420000.0,0.9999999922332954,0.0,0.30451093942011936,0.9999999922332954,0.9999999922332954
5440000.0,0.999999990389373,0.0,0.30544227005641533,0.999999990389373,0.999999990389373
5460000.0,0.9999999881324149,0.0,0.30637235341470703,0.9999999881324149,0.9999999881324149
5480000.0,0.9999999853756182,0.0,0.3073011911372348,0.9999999853756182,0.9999999853756182
5500000.0,0.9999999820151874,0.0,0.30822878485844657,0.9999999820151874,0.9999999820151874
5520000.0,0.9999999779272647,0.0,0.3091551362039727,0.9999999779272646,0.9999999779272647
5540000.0,0.9999999729643553,0.0,0.3100802467894307,0.9999999729643552,0.9999999729643553
5560000.0,0.9999999669511742,0.0,0.311004118219028,0.9999999669511741,0.9999999669511742
5580000.0,0.9999999596798304,0.0,0.31192675208393617,0.9999999596798304,0.9999999596798304
5600000.0,0.9999999509042533,0.0,0.3128481499604025,0.9999999509042533,0.9999999509042533
5620000.0,0.9999999403337592,0.0,0.3137683134075615,0.9999999403337592,0.9999999403337592
5640000.0,0.999999927625636,0.0,0.31468724396490205,0.9999999276256359,0.999999927625636
5660000.0,0.999999912376618,0.0,0.31560494314934434,0.9999999123766179,0.999999912376618
5680000.0,0.9999998941131016,0.0,0.31652141245187326,0.9999998941131015,0.9999998941131016
5700000.0,0.9999998722799412,0.0,0.31743665333366716,0.9999998722799412,0.9999998722799412
5720000.0,0.9999998462276442,0.0,0.3183506672216577,0.999999846227644,0.9999998462276442
5740000.0,0.9999998151977637,0.0,0.31926345550344576,0.9999998151977637,0.9999998151977637
5760000.0,0.9999997783062743,0.0,0.32017501952149213,0.9999997783062742,0.9999997783062743
5780000.0,0.9999997345246825,0.0,0.32108536056649356,0.9999997345246827,0.9999997345246825
5800000.0,0.9999996826586113,0.0,0.321994479869844,0.9999996826586112,0.9999996826586113
5820000.0,0.9999996213235661,0.0,0.32290237859507115,0.9999996213235661,0.9999996213235661
5840000.0,0.9999995489175649,0.0,0.32380905782813,0.9999995489175648,0.9999995489175649
5860000.0,0.9999994635902861,0.0,0.3247145185664191,0.9999994635902861,0.9999994635902861
5880000.0,0.9999993632083608,0.0,0.32561876170637866,0.9999993632083608,0.9999993632083608
5900000.0,0.999999245316398,0.0,0.32652178802951165,0.999999245316398,0.999999245316398
5920000.0,0.9999991070933069,0.0,0.32742359818665817,0.9999991070933067,0.9999991070933069
5940000.0,0.9999989453034355,0.0,0.32832419268034035,0.9999989453034355,0.9999989453034355
5960000.0,0.999998756242021,0.0,0.3292235718449738,0.999998756242021,0.999998756242021
5980000.0,0.9999985356743974,0.0,0.3301217358247343,0.9999985356743974,0.9999985356743974
6000000.0,0.9999982787683769,0.0,0.3310186845488449,0.9999982787683769,0.9999982787683769
6020000.0,0.9999979800191768,0.0,0.33191441770403485,0.9999979800191767,0.9999979800191768
6040000.0,0.9999976331662269,0.0,0.3328089347039044,0.9999976331662269,0.9999976331662269
6060000.0,0.9999972311011477,0.0,0.3337022346549081,0.9999972311011479,0.9999972311011477
6080000.0,0.9999967657661504,0.0,0.33459431631865566,0.9999967657661504,0.9999967657661504
6100000.0,0.9999962280420694,0.0,0.33548517807020534,0.9999962280420694,0.9999962280420694
6120000.0,0.9999956076251939,0.0,0.336374817852008,0.9999956076251939,0.9999956076251939
6140000.0,0.9999948928920255,0.0,0.337263233123143,0.9999948928920255,0.9999948928920255
6160000.0,0.99999407075105,0.0,0.33815042080346175,0.99999407075105,0.99999407075105
6180000.0,0.9999931264805711,0.0,0.33903637721224184,0.9999931264805711,0.9999931264805711
6200000.0,0.999992043551618,0.0,0.3399210980009305,0.999992043551618,0.999992043551618
6220000.0,0.9999908034349015,0.0,0.34080457807954356,0.9999908034349015,0.9999908034349015
6240000.0,0.999989385390766,0.0,0.34168681153626074,0.999989385390766,0.999989385390766
6260000.0,0.9999877662410493,0.0,0.342567791549749,0.9999877662410493,0.9999877662410493
6280000.0,0.9999859201217429,0.0,0.34344751029372367,0.9999859201217429,0.9999859201217429
6300000.0,0.9999838182153179,0.0,0.34432595883324707,0.9999838182153178,0.9999838182153179
6320000.0,0.9999814284615713,0.0,0.3452031270122481,0.9999814284615712,0.9999814284615713
6340000.0,0.9999787152458334,0.0,0.3460790033317358,0.9999787152458334,0.9999787152458334
6360000.0,0.9999756390633705,0.0,0.34695357481817346,0.9999756390633705,0.9999756390633705
6380000.0,0.9999721561588228,0.0,0.34782682688146865,0.9999721561588228,0.9999721561588228
6400000.0,0.9999682181395231,0.0,0.3486987431620336,0.9999682181395231,0.9999682181395231
6420000.0,0.9999637715615605,0.0,0.349569305366367,0.9999637715615605,0.9999637715615605
6440000.0,0.999958757487477,0.0,0.35043849309061165,0.9999587574874769,0.999958757487477
6460000.0,0.9999531110145214,0.0,0.3513062836315468,0.9999531110145214,0.9999531110145214
6480000.0,0.9999467607724274,0.0,0.3521726517844826,0.9999467607724276,0.9999467607724274
6500000.0,0.9999396283897366,0.0,0.3530375696275374,0.9999396283897366,0.9999396283897366
6520000.0,0.9999316279277546,0.0,0.35390100629179616,0.9999316279277545,0.9999316279277546
6540000.0,0.9999226652813031,0.0,0.3547629277168702,0.9999226652813031,0.9999226652813031
6560000.0,0.9999126375455176,0.0,0.35562329639140217,0.9999126375455176,0.9999126375455176
6580000.0,0.9999014323480432,0.0,0.3564820710780977,0.9999014323480431,0.9999014323480432
6600000.0,0.9998889271460915,0.0,0.3573392065228948,0.9998889271460917,0.9998889271460915
6620000.0,0.9998749884879472,0.0,0.3581946531479291,0.9998749884879472,0.9998749884879472
6640000.0,0.9998594712386502,0.0,0.3590483567279994,0.9998594712386502,0.9998594712386502
6660000.0,0.9998422177697313,0.0,0.3599002580502913,0.9998422177697311,0.9998422177697313
6680000.0,0.9998230571130415,0.0,0.3607502925571761,0.9998230571130415,0.9998230571130415
6700000.0,0.9998018040788934,0.0,0.3615983899719663,0.9998018040788936,0.9998018040788934
6720000.0,0.9997782583389183,0.0,0.3624444739075831,0.9997782583389183,0.9997782583389183
6740000.0,0.9997522034742524,0.0,0.3632884614581653,0.9997522034742524,0.9997522034742524
