Time (s),A,B,C,X,Z
0.0,1.0,0.0,0.0,1.0,1.0
20000.0,1.0,0.0,0.001339102600882991,1.0,1.0
40000.0,1.0,0.0,0.0026764120059903362,1.0,1.0
60000.0,1.0,0.0,0.004011930616595105,1.0,1.0
80000.0,1.0,0.0,0.005345660830754939,1.0,1.0
100000.0,1.0,0.0,0.006677605043316048,1.0,1.0
120000.0,1.0,0.0,0.008007765645917875,1.0,1.0
140000.0,1.0,0.0,0.0093361450269972,1.0,1.0
160000.0,1.0,0.0,0.010662745571792365,1.0,1.0
180000.0,1.0,0.0,0.011987569662347706,1.0,1.0
200000.0,1.0,0.0,0.013310619677517566,1.0,1.0
220000.0,1.0,0.0,0.014631897992971044,1.0,1.0
240000.0,1.0,0.0,0.015951406981195904,1.0,1.0
260000.0,1.0,0.0,0.01726914901150267,1.0,1.0
280000.0,1.0,0.0,0.0185851264500293,1.0,1.0
300000.0,1.0,0.0,0.019899341659745384,1.0,1.0
320000.0,1.0,0.0,0.021211797000455945,1.0,1.0
340000.0,1.0,0.0,0.022522494828806305,1.0,1.0
360000.0,1.0,0.0,0.023831437498285646,1.0,1.0
380000.0,1.0,0.0,0.025138627359232,1.0,1.0
400000.0,1.0,0.0,0.026444066758835594,1.0,1.0
420000.0,1.0,0.0,0.02774775804114393,1.0,1.0
440000.0,1.0,0.0,0.029049703547065486,1.0,1.0
460000.0,1.0,0.0,0.030349905614373673,1.0,1.0
480000.0,1.0,0.0,0.03164836657771197,1.0,1.0
500000.0,1.0,0.0,0.03294508876859714,1.0,1.0
520000.0,1.0,0.0,0.03424007451542377,1.0,1.0
540000.0,1.0,0.0,0.035533326143468824,1.0,1.0
560000.0,1.0,0.0,0.036824845974895104,1.0,1.0
580000.0,1.0,0.0,0.038114636328756,1.0,1.0
600000.0,1.0,0.0,0.03940269952099951,1.0,1.0
620000.0,1.0,0.0,0.04068903786447209,1.0,1.0
640000.0,1.0,0.0,0.04197365366892336,1.0,1.0
660000.0,1.0,0.0,0.043256549241009856,1.0,1.0
680000.0,1.0,0.0,0.04453772688429902,1.0,1.0
700000.0,1.0,0.0,0.045817188899273775,1.0,1.0
720000.0,1.0,0.0,0.047094937583336716,1.0,1.0
740000.0,1.0,0.0,0.04837097523081346,1.0,1.0
760000.0,1.0,0.0,0.049645304132957646,1.0,1.0
780000.0,1.0,0.0,0.05091792657795457,1.0,1.0
800000.0,1.0,0.0,0.05218884485092557,1.0,1.0
820000.0,1.0,0.0,0.053458061233931604,1.0,1.0
840000.0,1.0,0.0,0.054725578005978104,1.0,1.0
860000.0,1.0,0.0,0.05599139744301851,1.0,1.0
880000.0,1.0,0.0,0.057255521817958455,1.0,1.0
900000.0,1.0,0.0,0.058517953400660135,1.0,1.0
920000.0,1.0,0.0,0.05977869445794604,1.0,1.0
940000.0,1.0,0.0,0.061037747253603,1.0,1.0
960000.0,1.0,0.0,0.062295114048386724,1.0,1.0
980000.0,1.0,0.0,0.0635507971000252,1.0,1.0
1000000.0,1.0,0.0,0.06480479866322342,1.0,1.0
1020000.0,1.0,0.0,0.06605712098966687,1.0,1.0
1040000.0,1.0,0.0,0.06730776632802582,1.0,1.0
1060000.0,1.0,0.0,0.06855673692395936,1.0,1.0
1080000.0,1.0,0.0,0.06980403502011945,1.0,1.0
1100000.0,1.0,0.0,0.07104966285615488,1.0,1.0
1120000.0,1.0,0.0,0.07229362266871542,1.0,1.0
1140000.0,1.0,0.0,0.07353591669145543,1.0,1.0
1160000.0,1.0,0.0,0.07477654715503868,1.0,1.0
1180000.0,1.0,0.0,0.07601551628714132,1.0,1.0
1200000.0,1.0,0.0,0.07725282631245678,1.0,1.0
1220000.0,1.0,0.0,0.07848847945269921,1.0,1.0
1240000.0,1.0,0.0,0.0797224779266078,1.0,1.0
1260000.0,1.0,0.0,0.08095482394995046,1.0,1.0
1280000.0,1.0,0.0,0.08218551973552801,1.0,1.0
1300000.0,1.0,0.0,0.08341456749317833,1.0,1.0
1320000.0,1.0,0.0,0.08464196942977975,1.0,1.0
1340000.0,1.0,0.0,0.08586772774925544,1.0,1.0
1360000.0,1.0,0.0,0.08709184465257758,1.0,1.0
1380000.0,1.0,0.0,0.08831432233777059,1.0,1.0
1400000.0,1.0,0.0,0.08953516299991593,1.0,1.0
1420000.0,1.0,0.0,0.09075436883115529,1.0,1.0
1440000.0,1.0,0.0,0.09197194202069503,1.0,1.0
1460000.0,1.0,0.0,0.09318788475480988,1.0,1.0
1480000.0,1.0,0.0,0.0944021992168469,1.0,1.0
1500000.0,1.0,0.0,0.09561488758722958,1.0,1.0
1520000.0,1.0,0.0,0.09682595204346145,1.0,1.0
1540000.0,1.0,0.0,0.09803539476013001,1.0,1.0
1560000.0,1.0,0.0,0.09924321790891123,1.0,1.0
1580000.0,1.0,0.0,0.10044942365857246,1.0,1.0
1600000.0,1.0,0.0,0.10165401417497698,1.0,1.0
1620000.0,1.0,0.0,0.10285699162108819,1.0,1.0
1640000.0,1.0,0.0,0.1040583581569724,1.0,1.0
1660000.0,1.0,0.0,0.10525811593980383,1.0,1.0
1680000.0,1.0,0.0,0.1064562671238678,1.0,1.0
1700000.0,1.0,0.0,0.10765281386056491,1.0,1.0
1720000.0,1.0,0.0,0.10884775829841487,1.0,1.0
1740000.0,1.0,0.0,0.11004110258306021,1.0,1.0
1760000.0,1.0,0.0,0.11123284885727025,1.0,1.0
1780000.0,1.0,0.0,0.1124229992609449,1.0,1.0
1800000.0,1.0,0.0,0.11361155593111849,1.0,1.0
1820000.0,1.0,0.0,0.11479852100196387,1.0,1.0
1840000.0,1.0,0.0,0.11598389660479558,1.0,1.0
1860000.0,1.0,0.0,0.11716768486807459,1.0,1.0
1880000.0,1.0,0.0,0.11834988791741131,1.0,1.0
1900000.0,1.0,0.0,0.11953050787556994,1.0,1.0
1920000.0,1.0,0.0,0.12070954686247193,1.0,1.0
1940000.0,1.0,0.0,0.12188700699520007,1.0,1.0
1960000.0,1.0,0.0,0.12306289038800189,1.0,1.0
1980000.0,1.0,0.0,0.12423719915229413,1.0,1.0
2000000.0,1.0,0.0,0.125409935396666,1.0,1.0
2020000.0,1.0,0.0,0.1265811012268827,1.0,1.0
2040000.0,1.0,0.0,0.12775069874589018,1.0,1.0
2060000.0,1.0,0.0,0.12891873005381804,1.0,1.0
2080000.0,1.0,0.0,0.1300851972479834,1.0,1.0
2100000.0,1.0,0.0,0.13125010242289525,1.0,1.0
2120000.0,1.0,0.0,0.13241344767025764,1.0,1.0
2140000.0,1.0,0.0,0.1335752350789735,1.0,1.0
2160000.0,1.0,0.0,0.1347354667351488,1.0,1.0
2180000.0,1.0,0.0,0.1358941447220956,1.0,1.0
2200000.0,1.0,0.0,0.13705127112033644,1.0,1.0
2220000.0,1.0,0.0,0.13820684800760796,1.0,1.0
2240000.0,1.0,0.0,0.13936087745886416,1.0,1.0
2260000.0,1.0,0.0,0.1405133615462807,1.0,1.0
2280000.0,1.0,0.0,0.1416643023392582,1.0,1.0
2300000.0,1.0,0.0,0.14281370190442644,1.0,1.0
2320000.0,1.0,0.0,0.1439615623056476,1.0,1.0
2340000.0,1.0,0.0,0.14510788560401988,1.0,1.0
2360000.0,1.0,0.0,0.146252673857882,1.0,1.0
2380000.0,1.0,0.0,0.14739592912281585,1.0,1.0
2400000.0,1.0,0.0,0.14853765345165093,1.0,1.0
2420000.0,1.0,0.0,0.14967784889446778,1.0,1.0
2440000.0,1.0,0.0,0.1508165174986016,1.0,1.0
2460000.0,1.0,0.0,0.15195366130864618,1.0,1.0
2480000.0,1.0,0.0,0.15308928236645702,1.0,1.0
2500000.0,1.0,0.0,0.15422338271115588,1.0,1.0
2520000.0,1.0,0.0,0.15535596437913346,1.0,1.0
2540000.0,1.0,0.0,0.15648702940405368,1.0,1.0
2560000.0,1.0,0.0,0.15761657981685728,1.0,1.0
2580000.0,1.0,0.0,0.1587446176457652,1.0,1.0
2600000.0,1.0,0.0,0.15987114491628263,1.0,1.0
2620000.0,1.0,0.0,0.16099616365120217,1.0,1.0
2640000.0,1.0,0.0,0.1621196758706076,1.0,1.0
2660000.0,1.0,0.0,0.16324168359187807,1.0,1.0
2680000.0,1.0,0.0,0.16436218882969067,1.0,1.0
2700000.0,1.0,0.0,0.16548119359602498,1.0,1.0
2720000.0,1.0,0.0,0.1665986999001664,1.0,1.0
