Time (s),Altitude (km),L-shell,Dose Rate (rad/s),Total Dose (rad)
2580000.0,35786.0,6.75,0.0023,5980.0
2600000.0,35786.0,6.75,0.0023,6026.0
2620000.0,35786.0,6.75,0.0023,6072.0
2640000.0,35786.0,6.75,0.0023,6118.0
2660000.0,35786.0,6.75,0.0023,6164.0
2680000.0,35786.0,6.75,0.0023,6210.0
2700000.0,35786.0,6.75,0.0023,6256.0
2720000.0,35786.0,6.75,0.0023,6302.0
2740000.0,35786.0,6.75,0.0023,6348.0
2760000.0,35786.0,6.75,0.0023,6394.0
2780000.0,35786.0,6.75,0.0023,6440.0
2800000.0,35786.0,6.75,0.0023,6486.0
2820000.0,35786.0,6.75,0.0023,6532.0
2840000.0,35786.0,6.75,0.0023,6578.0
2860000.0,35786.0,6.75,0.0023,6624.0
2880000.0,35786.0,6.75,0.0023,6670.0
2900000.0,35786.0,6.75,0.0023,6716.0
2920000.0,35786.0,6.75,0.0023,6762.0
2940000.0,35786.0,6.75,0.0023,6808.0
2960000.0,35786.0,6.75,0.0023,6854.0
2980000.0,35786.0,6.75,0.0023,6900.0
3000000.0,35786.0,6.75,0.0023,6946.0
3020000.0,35786.0,6.75,0.0023,6992.0
3040000.0,35786.0,6.75,0.0023,7038.0
3060000.0,35786.0,6.75,0.0023,7084.0
3080000.0,35786.0,6.75,0.0023,7130.0
3100000.0,35786.0,6.75,0.0023,7176.0
3120000.0,35786.0,6.75,0.0023,7222.0
3140000.0,35786.0,6.75,0.0023,7268.0
3160000.0,35786.0,6.75,0.0023,7314.0
3180000.0,35786.0,6.75,0.0023,7360.0
3200000.0,35786.0,6.75,0.0023,7406.0
3220000.0,35786.0,6.75,0.0023,7452.0
3240000.0,35786.0,6.75,0.0023,7498.0
3260000.0,35786.0,6.75,0.0023,7544.0
3280000.0,35786.0,6.75,0.0023,7590.0
3300000.0,35786.0,6.75,0.0023,7636.0
3320000.0,35786.0,6.75,0.0023,7682.0
3340000.0,35786.0,6.75,0.0023,7728.0
3360000.0,35786.0,6.75,0.0023,7774.0
3380000.0,35786.0,6.75,0.0023,7820.0
3400000.0,35786.0,6.75,0.0023,7866.0
3420000.0,35786.0,6.75,0.0023,7912.0
3440000.0,35786.0,6.75,0.0023,7958.0
3460000.0,35786.0,6.75,0.0023,8004.0
3480000.0,35786.0,6.75,0.0023,8050.0
3500000.0,35786.0,6.75,0.0023,8096.0
3520000.0,35786.0,6.75,0.0023,8142.0
3540000.0,35786.0,6.75,0.0023,8188.0
3560000.0,35786.0,6.75,0.0023,8234.0
3580000.0,35786.0,6.75,0.0023,8280.0
3600000.0,35786.0,6.75,0.0023,8326.0
3620000.0,35786.0,6.75,0.0023,8372.0
3640000.0,35786.0,6.75,0.0023,8418.0
3660000.0,35786.0,6.75,0.0023,8464.0
3680000.0,35786.0,6.75,0.0023,8510.0
3700000.0,35786.0,6.75,0.0023,8556.0
3720000.0,35786.0,6.75,0.0023,8602.0
3740000.0,35786.0,6.75,0.0023,8648.0
3760000.0,35786.0,6.75,0.0023,8694.0
3780000.0,35786.0,6.75,0.0023,8740.0
3800000.0,35786.0,6.75,0.0023,8786.0
3820000.0,35786.0,6.75,0.0023,8832.0
3840000.0,35786.0,6.75,0.0023,8878.0
3860000.0,35786.0,6.75,0.0023,8924.0
3880000.0,35786.0,6.75,0.0023,8970.0
3900000.0,35786.0,6.75,0.0023,9016.0
3920000.0,35786.0,6.75,0.0023,9062.0
3940000.0,35786.0,6.75,0.0023,9108.0
3960000.0,35786.0,6.75,0.0023,9154.0
3980000.0,35786.0,6.75,0.0023,9200.0
4000000.0,35786.0,6.75,0.0023,9246.0
4020000.0,35786.0,6.75,0.0023,9292.0
4040000.0,35786.0,6.75,0.0023,9338.0
4060000.0,35786.0,6.75,0.0023,9384.0
4080000.0,35786.0,6.75,0.0023,9430.0
4100000.0,35786.0,6.75,0.0023,9476.0
4120000.0,35786.0,6.75,0.0023,9522.0
4140000.0,35786.0,6.75,0.0023,9568.0
4160000.0,35786.0,6.75,0.0023,9614.0
4180000.0,35786.0,6.75,0.0023,9660.0
