Time (s),A,B,C,X,Z
0.0,0.0,0.001339102600882991,0.0,0.0,0.0
20000.0,0.0,0.001339102600882991,0.0,0.0,0.0
40000.0,0.0,0.0013373094051073453,0.0,0.0,0.0
60000.0,0.0,0.001335518610604769,0.0,0.0,0.0
80000.0,0.0,0.001333730214159834,0.0,0.0,0.0
100000.0,0.0,0.0013319442125611092,0.0,0.0,0.0
120000.0,0.0,0.0013301606026018264,0.0,0.0,0.0
140000.0,0.0,0.0013283793810793254,0.0,0.0,0.0
160000.0,0.0,0.0013266005447951645,0.0,0.0,0.0
180000.0,0.0,0.0013248240905553432,0.0,0.0,0.0
200000.0,0.0,0.0013230500151698577,0.0,0.0,0.0
220000.0,0.0,0.001321278315453478,0.0,0.0,0.0
240000.0,0.0,0.00131950898822486,0.0,0.0,0.0
260000.0,0.0,0.0013177420303067677,0.0,0.0,0.0
280000.0,0.0,0.0013159774385266276,0.0,0.0,0.0
300000.0,0.0,0.0013142152097160853,0.0,0.0,0.0
320000.0,0.0,0.001312455340710561,0.0,0.0,0.0
340000.0,0.0,0.00131069782835036,0.0,0.0,0.0
360000.0,0.0,0.0013089426694793405,0.0,0.0,0.0
380000.0,0.0,0.0013071898609463561,0.0,0.0,0.0
400000.0,0.0,0.0013054393996035918,0.0,0.0,0.0
420000.0,0.0,0.001303691282308339,0.0,0.0,0.0
440000.0,0.0,0.0013019455059215534,0.0,0.0,0.0
460000.0,0.0,0.001300202067308187,0.0,0.0,0.0
480000.0,0.0,0.0012984609633382993,0.0,0.0,0.0
500000.0,0.0,0.001296722190885169,0.0,0.0,0.0
520000.0,0.0,0.0012949857468266268,0.0,0.0,0.0
540000.0,0.0,0.0012932516280450557,0.0,0.0,0.0
560000.0,0.0,0.00129151983142628,0.0,0.0,0.0
580000.0,0.0,0.001289790353860898,0.0,0.0,0.0
600000.0,0.0,0.0012880631922435049,0.0,0.0,0.0
620000.0,0.0,0.0012863383434725817,0.0,0.0,0.0
640000.0,0.0,0.0012846158044512723,0.0,0.0,0.0
660000.0,0.0,0.0012828955720864954,0.0,0.0,0.0
680000.0,0.0,0.0012811776432891664,0.0,0.0,0.0
700000.0,0.0,0.0012794620149747526,0.0,0.0,0.0
720000.0,0.0,0.0012777486840629404,0.0,0.0,0.0
740000.0,0.0,0.0012760376474767465,0.0,0.0,0.0
760000.0,0.0,0.001274328902144184,0.0,0.0,0.0
780000.0,0.0,0.0012726224449969292,0.0,0.0,0.0
800000.0,0.0,0.001270918272970989,0.0,0.0,0.0
820000.0,0.0,0.0012692163830060332,0.0,0.0,0.0
840000.0,0.0,0.0012675167720465064,0.0,0.0,0.0
860000.0,0.0,0.0012658194370404052,0.0,0.0,0.0
880000.0,0.0,0.0012641243749399456,0.0,0.0,0.0
900000.0,0.0,0.001262431582701673,0.0,0.0,0.0
920000.0,0.0,0.001260741057285908,0.0,0.0,0.0
940000.0,0.0,0.0012590527956569675,0.0,0.0,0.0
960000.0,0.0,0.0012573667947837208,0.0,0.0,0.0
980000.0,0.0,0.0012556830516384787,0.0,0.0,0.0
1000000.0,0.0,0.0012540015631982149,0.0,0.0,0.0
1020000.0,0.0,0.0012523223264434558,0.0,0.0,0.0
1040000.0,0.0,0.0012506453383589466,0.0,0.0,0.0
1060000.0,0.0,0.0012489705959335407,0.0,0.0,0.0
1080000.0,0.0,0.0012472980961600877,0.0,0.0,0.0
1100000.0,0.0,0.0012456278360354345,0.0,0.0,0.0
1120000.0,0.0,0.0012439598125605356,0.0,0.0,0.0
1140000.0,0.0,0.0012422940227400092,0.0,0.0,0.0
