Time (s),A,B,Z
8600000.0,-0.08221596021686811,-0.3739020041345915,-0.5201859322669857
8620000.0,-0.08512461169975416,-0.37218492020725047,-0.5238471996220737
8640000.0,-0.08809087931384046,-0.3704074945218961,-0.5275650752784903
8660000.0,-0.09111410544892506,-0.3685698037973298,-0.5313389029756206
8680000.0,-0.09419356263238332,-0.36667198500157044,-0.5351679565886207
8700000.0,-0.09732845399987844,-0.36471423583584994,-0.5390514405991292
8720000.0,-0.10051791391382098,-0.36269681509799073,-0.5429884907137299
8740000.0,-0.10376100872826116,-0.36062004292370387,-0.546978174628846
8760000.0,-0.10705673769840574,-0.35848430090474964,-0.5510194929402602
8780000.0,-0.11040403403252608,-0.35629003208326937,-0.555111380195024
8800000.0,-0.11380176608361153,-0.3540377408219534,-0.5592527060831145
8820000.0,-0.1172487386776373,-0.35172799255014303,-0.5634422767657041
8840000.0,-0.12074369457495338,-0.3493614133863019,-0.5676788363365524
8860000.0,-0.12428531606093257,-0.3469386896376463,-0.5719610684126557
8880000.0,-0.12787222666154852,-0.34446056717817247,-0.5762875978498281
8900000.0,-0.1315029929792847,-0.3419278507065967,-0.5806569925786131
8920000.0,-0.13517612664440343,-0.339341402886126,-0.5850677655555545
8940000.0,-0.13889008637629363,-0.3367021433682963,-0.5895183768245462
8960000.0,-0.14264328014929106,-0.3340110477034941,-0.594007235682656
8980000.0,-0.14643406745715648,-0.33126914614103,-0.5985327029446048
9000000.0,-0.15026076167006097,-0.3284775223220322,-0.6030930932997555
9020000.0,-0.15412163247779959,-0.32563731186863004,-0.6076866777553279
9040000.0,-0.15801490841266919,-0.3227497008732606,-0.6123116861592797
9060000.0,-0.1619387794453384,-0.3198159242921353,-0.6169663097961787
9080000.0,-0.16589139964683475,-0.31683726424720005,-0.6216487040491918
9100000.0,-0.16987088990966126,-0.31381504824114326,-0.6263569911212048
9120000.0,-0.1738753407210426,-0.3107506472901517,-0.6310892628080698
9140000.0,-0.17790281498103094,-0.3076454739794646,-0.6358435833167144
9160000.0,-0.18195135085841618,-0.30450098044674995,-0.6406179921210541
9180000.0,-0.18601896467710743,-0.3013186562986762,-0.6454105068483753
9200000.0,-0.19010365382584565,-0.2981000264660505,-0.6502191261890513
9220000.0,-0.19420339968404016,-0.29484664900307533,-0.6550418328223807
9240000.0,-0.19831617055657846,-0.2915601128363753,-0.6598765963513997
