Time (s),dose,REG_SET,MCU_SEFI,REG_DSEE,SRAM_SEL,MCU_SEL,DOSE (rad)
0.0,,0.00011283365168371988,4.4568171347016976e-05,2.5759221517404756e-11,8.302615900225682e-05,1.578994714180342e-05,0.0002858823863929351
59.0,,0.0001415641796639708,5.592229949231371e-05,2.8716232805824013e-11,0.00010414203675415752,1.981669796890425e-05,0.0003577222061310842
120.0,,0.00020338587446641144,8.035798634573094e-05,3.429208469044798e-11,0.0001495647958785971,2.8485920939045322e-05,0.0005114612269262411
179.0,,0.00032534668237372237,0.00012857657080859173,4.349372656693422e-11,0.0002391360123926163,4.560209052009483e-05,0.0008121055915786386
240.0,,0.0005733847053512644,0.00022667522637647328,5.868147326476298e-11,0.00042120731050761105,8.045057708392355e-05,0.0014157213070584965
299.0,,0.0010805231132154235,0.0004273375688704639,8.360511738579023e-11,0.0007932537285056967,0.00015180492828921024,0.0026279011124398254
360.0,,0.0021010392328833566,0.0008313537920438267,1.243919416638965e-10,0.001541471216296077,0.0002956511886597168,0.00500967045292202
419.0,,0.004071007445038047,0.0016117622456727672,1.9078632378384144e-10,0.0029849544019546572,0.0005739298987563885,0.009469964590638234
480.0,,0.007527072495588259,0.0029819056263190283,2.94652905817573e-10,0.005516017657226239,0.0010633494477391896,0.017013550907027202
540.0,,0.013088559658038552,0.005188527785037417,4.537896694313158e-10,0.009587135257387597,0.0018530912038639377,0.02864623945372481
599.0,,0.02105462133022974,0.008351960136015817,6.857951483027286e-10,0.015416268283035627,0.002987642384589589,0.04452660332538174
660.0,,0.03127852682166,0.012415709525969707,1.007948724531332e-09,0.02289535944702374,0.004448290650555686,0.06386077781608365
719.0,,0.04310417520391365,0.017120520132440958,1.4320084687690325e-09,0.03154416312047183,0.006143177710437899,0.084986928335615
780.0,,0.055676898610531766,0.022127350028985932,1.9652329157846715e-09,0.04073757612085328,0.007950998558766782,0.10611927404805957
839.0,,0.06812877257291386,0.027090911986539682,2.6067368330299483e-09,0.04984095597378933,0.009747325785754985,0.12572267881262336
900.0,,0.07977666220307408,0.03173862698675842,3.3467160257974027e-09,0.05835475290659674,0.01143319468320223,0.14281197256236927
959.0,,0.09024876105936089,0.035921393570307075,4.16928612823046e-09,0.06600688416592589,0.01295376729491804,0.15705392903545767
1020.0,,0.09946787331645826,0.03960730893417445,5.053089706028909e-09,0.07274038537795519,0.014296389000776247,0.16863320558274292
1080.0,,0.10736649582806018,0.042767926280451854,5.940295792499318e-09,0.07850530488130801,0.015449308811545394,0.17784739124672774
1139.0,,0.11420797992692543,0.04550706981835767,6.7819384215109544e-09,0.08349345217697698,0.01644898419757926,0.18540021553042987
1200.0,,0.11988231367499182,0.04778015249229541,7.527013716200244e-09,0.08762486243681264,0.017278716926601424,0.1912843008994878
