Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
35819.0,0.0,-1.405926979652498e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.405926979652498e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.405926979652498e-05
36359.0,0.0,-1.496138375009627e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.496138375009627e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.496138375009627e-05
36899.0,0.0,-1.756681794020675e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.756681794020675e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.756681794020675e-05
37439.0,0.0,-2.188525338399435e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.188525338399435e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.188525338399435e-05
37979.0,0.0,-2.306136118216954e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.306136118216954e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.306136118216954e-05
38519.0,0.0,-2.310543053386916e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.310543053386916e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.310543053386916e-05
39058.0,0.0,-2.311687164352558e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.311687164352558e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.311687164352558e-05
39598.0,0.0,-2.337585868924222e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.337585868924222e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.337585868924222e-05
40138.0,0.0,-2.610320807847984e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.610320807847984e-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.610320807847984e-05
40678.0,0.0,-3.03849084621982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.03849084621982e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.03849084621982e-05
41218.0,0.0,-3.245004223402518e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.245004223402518e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.245004223402518e-05
41758.0,0.0,-3.318429985349428e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.318429985349428e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.318429985349428e-05
42298.0,0.0,-3.34088611290918e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.34088611290918e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.34088611290918e-05
42838.0,0.0,-3.347938211241183e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.347938211241183e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.347938211241183e-05
43378.0,0.0,-3.351106669248423e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.351106669248423e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.351106669248423e-05
43918.0,0.0,-3.353531767742245e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.353531767742245e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.353531767742245e-05
44458.0,0.0,-3.356227988151778e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.356227988151778e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.356227988151778e-05
45538.0,0.0,-3.36291263497123e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.36291263497123e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.36291263497123e-05
47698.0,0.0,-3.389306942580936e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.389306942580936e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.389306942580936e-05
49858.0,0.0,-3.418436889123762e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.418436889123762e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.418436889123762e-05
52018.0,0.0,-3.444749268908114e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.444749268908114e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.444749268908114e-05
54178.0,0.0,-3.469105869204221e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.469105869204221e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.469105869204221e-05
56338.0,0.0,-3.492991935477748e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.492991935477748e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.492991935477748e-05
58498.0,0.0,-3.517023160076245e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.517023160076245e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.517023160076245e-05
60658.0,0.0,-3.541068379115842e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.541068379115842e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.541068379115842e-05
62818.0,0.0,-3.564956990369998e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.564956990369998e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.564956990369998e-05
64978.0,0.0,-3.589268202165088e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.589268202165088e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.589268202165088e-05
67138.0,0.0,-3.61556993428506e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.61556993428506e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.61556993428506e-05
69298.0,0.0,-3.644754140468398e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.644754140468398e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.644754140468398e-05
71458.0,0.0,-3.669998710169438e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.669998710169438e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.669998710169438e-05
72177.0,0.0,-3.675892642317206e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.675892642317206e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.675892642317206e-05
72717.0,0.0,-3.678431431088743e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.678431431088743e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.678431431088743e-05
73257.0,0.0,-3.680980288814974e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.680980288814974e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.680980288814974e-05
73797.0,0.0,-3.685312523345524e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.685312523345524e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.685312523345524e-05
74337.0,0.0,-3.698093079957111e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.698093079957111e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.698093079957111e-05
74877.0,0.0,-3.744370706871742e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.744370706871742e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.744370706871742e-05
75417.0,0.0,-3.892124916691476e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.892124916691476e-05,0.0,0.0,0.0,0.0,0.0,0.0,-3.892124916691476e-05
75957.0,0.0,-4.26715703092858e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.26715703092858e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.26715703092858e-05
76497.0,0.0,-4.588743813936303e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.588743813936303e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.588743813936303e-05
77037.0,0.0,-4.62036335047742e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.62036335047742e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.62036335047742e-05
77577.0,0.0,-4.62152406828545e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.62152406828545e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.62152406828545e-05
78116.0,0.0,-4.625117284699726e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.625117284699726e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.625117284699726e-05
78656.0,0.0,-4.720657893303372e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.720657893303372e-05,0.0,0.0,0.0,0.0,0.0,0.0,-4.720657893303372e-05
79196.0,0.0,-5.129898827013735e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.129898827013735e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.129898827013735e-05
79736.0,0.0,-5.465428344164182e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.465428344164182e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.465428344164182e-05
80276.0,0.0,-5.598429865434806e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.598429865434806e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.598429865434806e-05
80816.0,0.0,-5.64247306491477e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.64247306491477e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.64247306491477e-05
81356.0,0.0,-5.655575338369597e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.655575338369597e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.655575338369597e-05
81896.0,0.0,-5.660223637251214e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.660223637251214e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.660223637251214e-05
82436.0,0.0,-5.662867112437465e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.662867112437465e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.662867112437465e-05
82976.0,0.0,-5.665329532160064e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.665329532160064e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.665329532160064e-05
83516.0,0.0,-5.66833596484136e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.66833596484136e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.66833596484136e-05
85316.0,0.0,-5.684105218906544e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.684105218906544e-05,0.0,0.0,0.0,0.0,0.0,0.0,-5.684105218906544e-05
