Time (s),REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540.0,0.0,5.4722192005433075e-08,0.0,0.1289757337320792,0.0,0.3214446439572002,0.0,0.5124140474358853,5.472219200543e-08,0.0,0.0,0.0,0.0,0.0,0.0,5.472219200543e-08
1080.0,0.0,1.3004367259222785e-06,0.0,0.9883589197775472,0.0,0.9999957937202548,0.0,0.9999999998718242,1.30043672592228e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.30043672592228e-06
1620.0,0.0,5.593081339578377e-06,0.0,0.9999991295914544,0.0,1.0,0.0,1.0,5.59308133957838e-06,0.0,0.0,0.0,0.0,0.0,0.0,5.59308133957838e-06
2160.0,0.0,8.665930795423262e-06,0.0,0.9999999993587414,0.0,1.0,0.0,1.0,8.66593079542326e-06,0.0,0.0,0.0,0.0,0.0,0.0,8.66593079542326e-06
2700.0,0.0,9.849561123048052e-06,0.0,0.999999999968465,0.0,1.0,0.0,1.0,9.84956112304805e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.84956112304805e-06
3240.0,0.0,1.02345432348441e-05,0.0,0.9999999999866952,0.0,1.0,0.0,1.0,1.02345432348441e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.02345432348441e-05
3780.0,0.0,1.0349319307298374e-05,0.0,0.9999999999890068,0.0,1.0,0.0,1.0,1.034931930729837e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.034931930729837e-05
4320.0,0.0,1.0391744276170764e-05,0.0,0.9999999999894011,0.0,1.0,0.0,0.9999999999999996,1.039174427617076e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.039174427617076e-05
4860.0,0.0,1.0417425662804175e-05,0.0,0.9999999999894716,0.0,1.0,0.0,0.9999999999999996,1.041742566280418e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.041742566280418e-05
5400.0,0.0,1.044237285785213e-05,0.0,0.9999999999894852,0.0,0.9999999999999996,0.0,1.0,1.044237285785213e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.044237285785213e-05
5940.0,0.0,1.0473380311531295e-05,0.0,0.9999999999894884,0.0,0.9999999999999998,0.0,0.9999999999999996,1.04733803115313e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.04733803115313e-05
7920.0,0.0,1.0657390218631506e-05,0.0,0.9999999999894906,0.0,0.9999999999999996,0.0,0.9999999999999996,1.065739021863151e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.065739021863151e-05
10080.0,0.0,1.0950362871958712e-05,0.0,0.9999999999894916,0.0,0.9999999999999996,0.0,0.9999999999999998,1.095036287195871e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.095036287195871e-05
12240.0,0.0,1.1226769132433966e-05,0.0,0.9999999999894968,0.0,1.0,0.0,1.0,1.122676913243397e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.122676913243397e-05
14400.0,0.0,1.147690108763568e-05,0.0,0.9999999999895076,0.0,0.9999999999999996,0.0,0.9999999999999998,1.147690108763568e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.147690108763568e-05
16560.0,0.0,1.1716508993316222e-05,0.0,0.9999999999895214,0.0,0.9999999999999994,0.0,1.0,1.171650899331622e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.171650899331622e-05
