Run,REG_TID,REG_DSEE,MCU_TID,MCU_SEL,WDT_TID,MCU_SEFI,SRAM_TID,SRAM_SEL,REG,WDT,Harden_MCU_SEFI,Harden_SRAM_SEL,Harden_MCU_SEL,SRAM,MCU,Payload
45,1127264.9007303372,4736605502.8098135,739373.2813409427,925.2544810002651,inf,599.2062131054355,inf,420.8061797161174,1127264.9007303372,inf,inf,inf,inf,inf,739373.2813409427,739373.2813409427
46,1007512.1716022159,7369118888.871763,619628.0174259989,645.3843763023197,inf,796.3300754016819,inf,270.79038105027035,1007512.1716022159,inf,inf,inf,inf,inf,619628.0174259989,619628.0174259989
47,1271777.2247627326,2956413708.2832584,738895.0888468247,994.4112097522252,inf,515.5839132264548,inf,592.8804031706393,1271777.2247627326,inf,inf,inf,inf,inf,738895.0888468247,738895.0888468247
48,1324317.0333975165,48312737.203236364,855314.5640924264,1014.902581384799,inf,229.4790693942047,inf,850.8399301549925,1324317.0333975165,inf,inf,inf,inf,inf,855314.5640924264,855314.5640924264
49,893909.7548781749,4675566384.726141,814099.684362938,586.1227982042906,inf,599.9530854103798,inf,621.8337014932736,893909.7548781749,inf,inf,inf,inf,inf,814099.684362938,814099.684362938
50,1350371.1952698915,3001748357.4769998,700178.506832531,1522.512880459876,inf,1028.3802736591995,inf,610.5526396674028,1350371.1952698915,inf,inf,inf,inf,inf,700178.506832531,700178.506832531
51,1090604.7063284114,5908516587.481596,735898.7016288924,760.1518889532836,inf,808.8361391215619,inf,215.023136628681,1090604.7063284114,inf,inf,inf,inf,inf,735898.7016288924,735898.7016288924
52,1178721.1442989227,3509043456.234516,852146.2811447675,889.4630270408906,inf,1017.4921610227211,inf,415.1637021372684,1178721.1442989227,inf,inf,inf,inf,inf,852146.2811447675,852146.2811447675
53,1163120.204029095,5101629533.178472,660362.4982224944,1009.4647041039092,inf,681.4430665187449,inf,190.33703929111678,1163120.204029095,inf,inf,inf,inf,inf,660362.4982224944,660362.4982224944
54,891373.1010414961,1399790677.8532734,778016.7112429735,970.520233222617,inf,522.5641786954792,inf,373.1988066617349,891373.1010414961,inf,inf,inf,inf,inf,778016.7112429735,778016.7112429735
55,1088832.921338821,1564577265.9935355,774180.3524208994,1027.4645282802649,inf,684.8053475714003,inf,398.1861146339485,1088832.921338821,inf,inf,inf,inf,inf,774180.3524208994,774180.3524208994
56,1088445.5592421559,3229423714.1878386,812821.0158621022,826.9425424332154,inf,1077.2433097164708,inf,643.1559272525883,1088445.5592421559,inf,inf,inf,inf,inf,812821.0158621022,812821.0158621022
57,1344964.8742319013,6595508184.637379,735791.9161652869,623.9600864640094,inf,564.6633376476098,inf,488.3674256853592,1344964.8742319013,inf,inf,inf,inf,inf,735791.9161652869,735791.9161652869
58,1123400.2435103639,4930443584.172582,852343.9807474032,1001.2139465911415,inf,22.7177191735049,inf,898.2093753968466,1123400.2435103639,inf,inf,inf,inf,inf,852343.9807474032,852343.9807474032
