Time (s),REG_SET,MCU_SEFI,REG_DSEE,SRAM_SEL,MCU_SEL,SRAM_TID,MCU_TID,REG_TID,WDT_TID
374801.0,0.9999999999999988,0.9999999999999997,0.00022064863752070392,0.9999999999999996,1.0,0.0,3.4137137561174313e-12,0.0,0.0
375041.0,0.9999999999999989,0.9999999999999996,0.0002206757579327629,0.9999999999999997,1.0,0.0,3.4137137561174313e-12,0.0,0.0
375282.0,0.9999999999999988,0.9999999999999996,0.00022070318205372053,0.9999999999999996,1.0,0.0,3.4137692672686626e-12,0.0,0.0
375522.0,0.9999999999999989,0.9999999999999996,0.00022073093791737816,0.9999999999999994,1.0,0.0,3.4137692672686626e-12,0.0,0.0
375762.0,0.9999999999999989,0.9999999999999994,0.0002207588238293904,0.9999999999999993,1.0,0.0,3.4137692672686626e-12,0.0,0.0
376001.0,0.9999999999999989,0.9999999999999993,0.0002207869820851435,0.9999999999999993,1.0,0.0,3.413824778419894e-12,0.0,0.0
376241.0,0.999999999999999,0.9999999999999993,0.00022081532286498073,0.9999999999999993,1.0,0.0,3.413824778419894e-12,0.0,0.0
376482.0,0.9999999999999989,0.9999999999999993,0.00022084411065385854,0.9999999999999992,1.0,0.0,3.413824778419894e-12,0.0,0.0
376722.0,0.999999999999999,0.9999999999999994,0.00022087337404410167,0.9999999999999992,1.0,0.0,3.413824778419894e-12,0.0,0.0
376961.0,0.9999999999999991,0.9999999999999993,0.00022090289422152575,0.9999999999999992,1.0,0.0,3.413824778419894e-12,0.0,0.0
377201.0,0.999999999999999,0.9999999999999993,0.00022093268848377974,0.9999999999999991,1.0,0.0,3.413880289571125e-12,0.0,0.0
377442.0,0.999999999999999,0.9999999999999993,0.0002209630211330778,0.9999999999999991,1.0,0.0,3.413880289571125e-12,0.0,0.0
377682.0,0.9999999999999991,0.9999999999999993,0.00022099390662116996,0.9999999999999991,1.0,0.0,3.413880289571125e-12,0.0,0.0
377922.0,0.9999999999999992,0.9999999999999993,0.0002210250892840731,0.999999999999999,1.0,0.0,3.413880289571125e-12,0.0,0.0
378161.0,0.9999999999999992,0.9999999999999993,0.00022105669004849522,0.999999999999999,0.9999999999999999,0.0,3.413880289571125e-12,0.0,0.0
378401.0,0.9999999999999992,0.9999999999999994,0.00022108855583327883,0.9999999999999991,0.9999999999999999,0.0,3.413880289571125e-12,0.0,0.0
378642.0,0.9999999999999993,0.9999999999999994,0.00022112091791998432,0.9999999999999991,1.0,0.0,3.413880289571125e-12,0.0,0.0
378882.0,0.9999999999999994,0.9999999999999993,0.00022115372662685748,0.9999999999999991,1.0,0.0,3.413880289571125e-12,0.0,0.0
379121.0,0.9999999999999993,0.9999999999999993,0.00022118663690525155,0.9999999999999991,1.0,0.0,3.413880289571125e-12,0.0,0.0
